,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
30,Total Liabilities,-,799.54,806.76,806.54,881.39,849.84,882.85,915.27,974.43,903.22,937.83,938.22,1058,1203,1073,-,1153
31,Common Stock,-,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,258.29,258.29,-,258.29
32,Additional Paid-In Capital,-,3511,3511,3511,3511,3511,3511,3511,3511,3511,3511,3511,3511,785.1,785.1,-,785.1
33,Retained Earnings,-,296.7,301.09,291.45,277.3,304.51,303.74,317.97,295.45,327.86,324.11,419.09,343.82,366.75,248.77,-,86.97
34,Comprehensive Income & Other,-,36.73,36.97,37.14,37.42,37.33,36.82,36.57,36.23,36.2,35.67,35.1,34.33,32.96,31.25,-,27.7
35,Shareholders' Equity,4189,4189,4194,4184,4170,4197,4196,4210,4187,4220,4215,4310,4234,1443,1323,1158,1158
36,Total Liabilities & Equity,-,4989,5000,4991,5052,5047,5079,5125,5162,5123,5153,5248,5292,2646,2396,-,2311
37,Total Debt,2.38,2.38,2.83,3.15,3.92,-,-,-,-,-,-,-,-,30,30,25,25
38,Net Cash (Debt),2551,2551,2596,2616,2815,3180,3199,3255,3345,3321,3366,3537,3642,604.98,589.07,581.53,581.53
39,Net Cash Growth,-9.37%,-19.77%,-18.85%,-19.64%,-15.87%,-4.27%,-4.96%,-7.95%,-8.14%,449.03%,471.42%,508.16%,526.29%,-,-,-,-
40,Net Cash Per Share,7.67,6.92,8.31,7.40,4.74,11.23,8.75,9.51,10.06,9.62,9.86,10.34,13.98,2.36,2.26,2.28,2.78
41,Filing Date Shares Outstanding,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,342.12,344.5,258.29,258.29,255.4,258.29
42,Total Common Shares Outstanding,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,344.5,342.12,344.5,258.29,258.29,255.4,258.29
43,Working Capital,-,3186,3209,3200,3312,3786,3800,3801,3789,3853,3862,3947,3888,1107,992.94,-,855.51
44,Book Value Per Share,12.16,12.16,12.17,12.15,12.11,12.18,12.18,12.22,12.15,12.25,12.24,12.60,12.29,5.59,5.12,4.48,4.48
45,Tangible Book Value,4108,4108,4111,4101,4086,4113,4110,4124,4101,4132,4127,4218,4141,1350,1229,1062,1062
46,Tangible Book Value Per Share,11.92,11.92,11.93,11.90,11.86,11.94,11.93,11.97,11.90,11.99,11.98,12.33,12.02,5.23,4.76,4.11,4.11
47,Buildings,-,-,516.53,-,517.02,-,500.5,-,465.25,-,427.59,-,429.51,423.75,420.32,-,376.49
48,Machinery,-,-,429.73,-,425.79,-,414.27,-,411.22,-,402.87,-,392.03,382.53,373.76,-,322.96
49,Construction In Progress,-,-,38.83,-,32.27,-,14.48,-,39.79,-,44.94,-,24.46,15.15,12,-,58.67
