,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
13,Currency Exchange Gain (Loss),-,-0.21,0.21,-,-0.03,-0.21,0.21,-,0.9,-0.12,0.12,-,-0.44,0.2,-0.2,-,-0.53
14,Other Non Operating Income (Expenses),3.46,-0.23,-0.18,0.12,-0.18,3.44,0.09,-0.11,0.39,0.04,-1.08,0.67,-0.24,-0.69,-0.18,0.01,3.99
15,EBT Excluding Unusual Items,21.17,13.51,-18.43,4.39,-69.69,16.78,-11.1,17.7,-83.41,25.86,-11.05,56.39,2.38,147.79,123.45,100.05,-0.37
16,Gain (Loss) on Sale of Investments,-27.14,9.39,7.99,9.76,-,-15.77,15.77,-,-,-,-,-,0.16,-,-0.16,-,-
17,Gain (Loss) on Sale of Assets,0.02,-0.02,0.01,-0.01,0.22,-,-,-,-8.45,-,19.31,19,0.6,-,-0.68,-,-0.49
18,Asset Writedown,2.38,-2.38,-,-,2.89,-2.89,-,-,-,-,-,-,6.86,-12.86,-,-,-0.61
19,Other Unusual Items,-2.87,-19.59,22.46,-0,50.22,-,-,-,45.24,-23.04,23.04,0,-,-,-,-,28.17
20,Pretax Income,-6.45,0.92,12.02,14.15,-16.35,-1.88,4.67,17.7,-46.62,2.82,31.3,75.39,10,134.94,122.61,100.05,26.96
21,Income Tax Expense,-2.78,-0.04,-0.48,-,5.47,-3.3,-6.53,0.58,-15.25,-0.93,10.86,0.12,-1.26,16.96,31.24,0.44,-3.06
22,Net Income,-3.67,0.95,12.5,14.15,-21.82,1.42,11.2,17.12,-31.38,3.75,20.43,75.27,11.26,117.98,91.37,99.61,30.01
23,Net Income to Common,-3.67,0.95,12.5,14.15,-21.82,1.42,11.2,17.12,-31.38,3.75,20.43,75.27,11.26,117.98,91.37,99.61,30.01
24,Net Income Growth,-,-32.57%,11.59%,-17.38%,-,-62.24%,-45.18%,-77.25%,-,-96.82%,-77.64%,-24.44%,-62.47%,-,-,-,-
25,Shares Outstanding (Basic),333,369,312,354,594,283,366,342,333,345,341,342,261,256,261,255,209
26,Shares Outstanding (Diluted),333,369,312,354,594,283,366,342,333,345,341,342,261,256,261,255,209
27,Shares Change (YoY),-43.97%,30.24%,-14.54%,3.27%,78.46%,-17.96%,7.09%,0.10%,27.66%,34.73%,30.95%,33.95%,24.47%,-,-,-,-
28,EPS (Basic),-0.01,0.00,0.04,0.04,-0.04,0.00,0.03,0.05,-0.09,0.01,0.06,0.22,0.04,0.46,0.35,0.39,0.14
29,EPS (Diluted),-0.01,0.00,0.04,0.04,-0.04,0.00,0.03,0.05,-0.09,0.01,0.06,0.22,0.04,0.46,0.35,0.39,0.14
30,EPS Growth,-,-48.22%,30.58%,-20.00%,-,-53.98%,-48.81%,-77.27%,-,-97.64%,-82.92%,-43.59%,-69.85%,-,-,-,-
31,Free Cash Flow,-,-32.37,-47.17,-91.3,36.88,-3.47,-68.12,-90.04,-18.28,-46.3,-34.86,-125.37,505.89,-126.88,14.37,37.66,26.74
32,Free Cash Flow Per Share,-,-0.09,-0.15,-0.26,0.06,-0.01,-0.19,-0.26,-0.05,-0.13,-0.10,-0.37,1.94,-0.50,0.06,0.15,0.13
33,Dividend Per Share,-,-,0.015,-,0.008,-,-,-,0.076,-,-,-,0.335,-,-,-,-
34,Dividend Growth,-,-,-,-,-89.04%,-,-,-,-77.40%,-,-,-,-,-,-,-,-
35,Gross Margin,205.02%,10.63%,18.83%,21.32%,7.66%,10.78%,5.25%,20.99%,1.08%,18.16%,23.64%,30.92%,29.92%,48.00%,46.55%,40.43%,15.69%
36,Operating Margin,16.83%,5.52%,-24.47%,-3.65%,-46.04%,-18.18%,-23.57%,5.36%,-78.68%,11.30%,-22.21%,18.19%,-2.67%,35.59%,36.74%,34.57%,-1.43%
37,Profit Margin,-1.36%,0.94%,10.52%,11.66%,-10.40%,1.70%,12.79%,8.93%,-22.98%,3.54%,17.65%,33.11%,4.26%,29.88%,27.83%,34.61%,9.35%
38,Free Cash Flow Margin,-,-31.77%,-39.71%,-75.24%,17.58%,-4.15%,-77.80%,-46.93%,-13.39%,-43.68%,-30.11%,-55.15%,191.45%,-32.13%,4.38%,13.09%,8.33%
39,EBITDA,58.85,19.14,-15.59,9.09,-83.09,-1.52,-6.9,23.95,-93.78,26.12,-12.13,55.5,7.28,155.31,134.17,121.43,43.76
40,EBITDA Margin,21.84%,18.78%,-13.12%,7.49%,-39.60%,-1.82%,-7.88%,12.48%,-68.68%,24.64%,-10.48%,24.41%,2.75%,39.33%,40.86%,42.19%,13.63%
41,D&A For EBITDA,13.51,13.51,13.48,13.51,13.51,13.67,13.74,13.67,13.67,14.14,13.58,14.14,14.34,14.78,13.53,21.94,48.35
42,EBIT,45.34,5.63,-29.07,-4.42,-96.61,-15.18,-20.64,10.28,-107.44,11.98,-25.72,41.36,-7.07,140.53,120.64,99.48,-4.59
43,EBIT Margin,16.83%,5.52%,-24.47%,-3.65%,-46.04%,-18.18%,-23.57%,5.36%,-78.68%,11.30%,-22.21%,18.19%,-2.67%,35.59%,36.74%,34.57%,-1.43%
44,Effective Tax Rate,-,-,-,-,-,-,-,3.27%,-,-,34.71%,0.16%,-,12.57%,25.48%,0.44%,-
45,Revenue as Reported,-,101.89,118.77,121.34,209.84,83.51,87.55,191.85,136.55,106.01,115.78,227.34,264.24,394.87,328.34,287.8,835.12
