,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2017,Q1 2017
18,Asset Writedown,-5.06,1.09,-1.12,7.48,-8.13,0.92,-0.92,-1.35,0.17,1.86,-1.89,2.36,2.1,-2.52,-2.21,-3.11,-3.11
19,Other Unusual Items,0.62,1.73,0,4.68,-,-,-,7.22,-,-,-,17.97,-,0.42,-,1.76,1.76
20,Pretax Income,-28.42,31.11,23.17,-22,-12.61,16.12,24.62,1.81,-16.64,50.76,23.73,19.95,34.49,44.99,32.64,43.14,43.14
21,Income Tax Expense,-17.25,9.6,2,-3.57,-3.71,-0.66,3.5,-1.71,-6.26,6.21,5.95,-2.56,6.24,0.94,4.23,6.14,6.14
22,Earnings From Continuing Operations,-11.17,21.5,21.16,-18.44,-8.9,16.78,21.12,3.52,-10.38,44.56,17.77,22.51,28.26,44.05,28.41,37,37
23,Minority Interest in Earnings,0,0.04,0.08,1.5,0.88,2.46,1.5,1.49,0.8,1.23,0.2,0.17,0.41,-1.38,-0.3,0.06,0.06
24,Net Income,-11.17,21.54,21.24,-16.93,-8.02,19.24,22.62,5.01,-9.58,45.78,17.97,22.68,28.66,42.67,28.11,37.06,37.06
25,Net Income to Common,-11.17,21.54,21.24,-16.93,-8.02,19.24,22.62,5.01,-9.58,45.78,17.97,22.68,28.66,42.67,28.11,37.06,37.06
26,Net Income Growth,-,11.99%,-6.08%,-,-,-57.98%,25.89%,-77.89%,-,7.29%,-36.07%,-38.81%,-22.65%,-,-,-,-
27,Shares Outstanding (Basic),108,108,112,123,107,113,108,101,92,84,82,84,82,82,83,82,82
28,Shares Outstanding (Diluted),108,108,112,123,107,113,108,101,92,84,82,84,82,82,83,82,82
29,Shares Change (YoY),0.50%,-4.42%,3.80%,22.43%,16.01%,34.17%,31.88%,20.33%,12.81%,2.25%,-1.20%,1.66%,-0.57%,-,-,-,-
30,EPS (Basic),-0.10,0.20,0.19,-0.14,-0.07,0.17,0.21,0.05,-0.10,0.55,0.22,0.27,0.35,0.52,0.34,0.45,0.45
31,EPS (Diluted),-0.10,0.20,0.19,-0.14,-0.07,0.17,0.21,0.05,-0.10,0.55,0.22,0.27,0.35,0.52,0.34,0.45,0.45
32,EPS Growth,-,17.17%,-9.52%,-,-,-68.68%,-4.55%,-81.62%,-,4.92%,-35.29%,-39.81%,-22.21%,-,-,-,-
33,Free Cash Flow,-86.93,72.99,19.75,-157.52,126.53,61,-26.37,-125.02,-71.29,171.18,-34.46,-84.93,0.76,-30.74,-13.49,36.09,36.09
34,Free Cash Flow Per Share,-0.81,0.68,0.18,-1.28,1.18,0.54,-0.24,-1.24,-0.77,2.04,-0.42,-1.01,0.01,-0.37,-0.16,0.44,0.44
35,Dividend Per Share,-,-,-,0.070,-,-,-,0.100,-,-,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-30.00%,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,23.12%,28.89%,25.95%,14.90%,31.89%,25.83%,24.48%,22.67%,23.47%,22.59%,15.14%,17.96%,16.44%,22.29%,21.76%,30.11%,30.11%
38,Operating Margin,-11.36%,6.37%,8.77%,-23.04%,4.98%,2.66%,7.28%,-4.17%,5.92%,10.66%,4.80%,0.04%,8.66%,11.65%,9.86%,17.76%,17.76%
39,Profit Margin,-4.93%,5.42%,5.94%,-8.29%,-4.81%,5.22%,6.44%,1.83%,-4.22%,9.27%,4.63%,7.54%,10.77%,10.47%,8.35%,14.34%,14.34%
40,Free Cash Flow Margin,-38.41%,18.36%,5.52%,-77.13%,75.84%,16.55%,-7.50%,-45.75%,-31.43%,34.65%,-8.88%,-28.25%,0.28%,-7.54%,-4.01%,13.97%,13.97%
41,EBITDA,-13.98,39.11,43.12,-35.32,18.29,21.38,35.58,-1.42,14.53,53.79,26.25,7.74,23.39,47.82,33.58,47.15,47.15
42,EBITDA Margin,-6.18%,9.84%,12.05%,-17.30%,10.97%,5.80%,10.12%,-0.52%,6.40%,10.89%,6.76%,2.57%,8.79%,11.73%,9.98%,18.24%,18.24%
43,D&A For EBITDA,11.74,13.77,11.74,11.74,9.99,11.58,9.99,9.99,1.1,1.1,7.63,7.63,0.35,0.35,0.4,1.24,1.24
44,EBIT,-25.73,25.34,31.38,-47.06,8.31,9.8,25.6,-11.4,13.43,52.69,18.62,0.11,23.04,47.47,33.18,45.9,45.9
45,EBIT Margin,-11.36%,6.37%,8.77%,-23.04%,4.98%,2.66%,7.28%,-4.17%,5.92%,10.66%,4.80%,0.04%,8.66%,11.65%,9.86%,17.76%,17.76%
46,Effective Tax Rate,-,30.87%,8.65%,-,-,-,14.23%,-,-,12.23%,25.09%,-,18.09%,2.08%,12.97%,14.24%,14.24%
47,Revenue as Reported,226.36,397.59,357.75,204.22,166.82,368.59,351.49,273.27,226.8,494.08,388.02,300.61,266.23,407.63,336.57,-,-
