,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
32,EPS Growth,-,-,-,-,-69.95%,-45.45%,16.56%,-,30.73%,-,-,-,-
33,Free Cash Flow,-,10.27,-79.76,-117.58,-167.7,-133.15,-28.63,4.62,36.06,-65.47,46.05,-42.44,37.8
34,Free Cash Flow Per Share,-,0.18,-1.42,-2.11,-2.97,-2.59,-0.69,0.11,0.87,-1.54,1.10,-1.01,0.90
35,Dividend Per Share,-,-,-,-,0.100,-,-,-,-,-,-,-,-
36,Gross Margin,-259.47%,7.35%,8.61%,12.11%,13.01%,12.82%,19.06%,13.58%,18.53%,35.31%,28.76%,25.94%,29.41%
37,Operating Margin,-114.89%,-1.48%,-28.71%,-12.68%,-0.47%,3.31%,9.93%,-2.72%,5.97%,16.82%,15.52%,-0.54%,20.43%
38,Profit Margin,-78.38%,-16.25%,-16.82%,-13.97%,5.14%,2.39%,9.62%,-2.31%,11.97%,7.34%,17.36%,-5.76%,17.59%
39,Free Cash Flow Margin,-,7.21%,-49.80%,-89.67%,-56.58%,-49.57%,-7.23%,2.93%,11.54%,-49.19%,24.24%,-54.01%,23.03%
40,EBITDA,-82.38,-1.16,-44.71,-15.68,-0.45,9.97,40.42,-3.66,19.14,22.84,29.93,-0.05,33.73
41,EBITDA Margin,-113.58%,-0.81%,-27.91%,-11.96%,-0.15%,3.71%,10.21%,-2.32%,6.13%,17.16%,15.75%,-0.07%,20.55%
42,D&A For EBITDA,0.95,0.95,1.28,0.95,0.95,1.08,1.08,0.62,0.49,0.45,0.45,0.37,0.2
43,EBIT,-83.33,-2.11,-45.99,-16.63,-1.4,8.89,39.34,-4.28,18.65,22.39,29.48,-0.43,33.53
44,EBIT Margin,-114.89%,-1.48%,-28.71%,-12.68%,-0.47%,3.31%,9.93%,-2.72%,5.97%,16.82%,15.52%,-0.54%,20.43%
45,Effective Tax Rate,-,-,-,-,30.76%,-,11.17%,-,9.98%,3.06%,12.38%,-,15.45%
46,Revenue as Reported,-,142.41,160.16,131.12,296.42,268.63,395.99,157.67,312.37,133.09,268.57,-,-
