,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021,Q4 2020,Q1 2020,Q4 2019,Q4 2018
18,Accrued Expenses,185291,210823,182097,-,196952,359218,257466,-,218522,-,-,-,46872,110830,-,52243,39204
19,Short-Term Debt,112259,1392257,2712083,-,3330395,1424042,1180,-,2080,-,-,-,1147278,177934,-,206072,223451
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,1112669,-,512869,-,-,-,-,-,-,-,-
21,Current Unearned Revenue,11895,22669,2956,-,1283,136.36,80093,-,81011,-,-,-,-,978.07,-,1051,-
22,Current Income Taxes Payable,52951,40301,25486,-,27408,18865,4935,-,8121,-,-,-,124.82,36867,-,9183,47376
23,Other Current Liabilities,94426,89057,93606,-,100280,84874,7584,-,11712,-,-,-,630203,79423,-,165576,90067
24,Total Current Liabilities,462261,1758121,3019845,-,3664488,1891322,1466989,-,838976,-,-,-,1824551,444628,-,462130,418952
25,Long-Term Debt,3661774,2517538,1424952,-,1062088,3364014,3365797,-,4072169,-,-,-,908418,1578866,-,554872,514074
26,Long-Term Deferred Tax Liabilities,37831,37961,39304,-,40466,44619,47637,-,49170,-,-,-,-,74688,-,71065,24206
27,Other Long-Term Liabilities,4011,4011,2420,-,1300,1300,1300,-,1295,-,-,-,-,82156,-,2156,500
28,Total Liabilities,4165877,4317631,4486521,-,4768342,5301255,4881724,-,4961610,-,-,-,2732969,2180338,-,1090223,957732
29,Common Stock,2138358,2138358,2138358,-,2138358,2138358,2138358,-,2138358,-,-,-,890982,890982,-,890982,890982
30,Additional Paid-In Capital,-,-,-,-,-,-,-,-,-,-,-,-,79885,79885,-,79885,79885
31,Retained Earnings,1976396,1845549,1722492,-,1608443,1359994,1223584,-,1231358,-,-,-,55696,541332,-,409559,484038
32,Treasury Stock,-,-,-,-,-23032,-,-,-,-,-,-,-,-35861,-35861,-,-35861,-35861
33,Comprehensive Income & Other,32686,32686,32686,-,32686,32359,32359,-,32318,-,-,-,587.4,13904,-,6155,6155
34,Total Common Equity,4147439,4016592,3893535,3756454,3756454,3530710,3394301,3402033,3402033,-,-,3364637,991290,1490243,-,1350720,1425199
35,Minority Interest,358858,341644,334537,-,309099,464640,456661,-,410608,-,-,-,-,463015,-,458764,278034
36,Shareholders' Equity,4506297,4358235,4228072,4065554,4065554,3995350,3850962,3812641,3812641,-,-,3733986,991290,1953258,-,1809485,1703233
37,Total Liabilities & Equity,8672174,8675866,8714593,-,8833896,9296605,8732686,-,8774251,-,-,-,3724259,4133596,-,2899708,2660965
38,Total Debt,3774033,3909795,4137035,4392482,4392482,4788056,4479646,4587117,4587117,-,-,4301788,2055696,1756800,-,760944,737526
39,Net Cash (Debt),-2960370,-3604778,-3536047,-3939527,-3939527,-4744449,-4446946,-3559493,-3559493,-,-,-4184042,-1498397,-1636129,-,-737849,-697978
40,Net Cash Per Share,-13841.90,-16854.33,-16516.74,-7284.81,-18520.39,-22206.41,-20796.08,-16645.92,-16736.39,-,-,-19566.62,-,-7800.94,-,-3520.27,-3330.36
41,Filing Date Shares Outstanding,213.84,213.84,213.84,213.82,213.84,213.84,213.84,213.84,213.84,214.01,214.16,213.84,-,209.73,-,213.84,209.58
42,Total Common Shares Outstanding,213.84,213.84,213.84,213.82,213.84,213.84,213.84,213.84,213.84,214.01,214.16,213.84,-,209.73,-,213.84,209.58
43,Working Capital,1493786,-182289,-1275062,-,-797788,1630108,1772546,-,2478074,-,-,-,206784,1173432,-,117787,163734
44,Book Value Per Share,19395.44,18783.54,18208.06,17567.01,17567.01,16511.32,15873.40,15909.56,15909.56,-,-,15734.68,-,7105.37,-,6316.62,6804.84
45,Tangible Book Value,4081164,3946088,3817623,3658327,3658327,3471066,3327498,3329638,3329638,-,-,3313255,991290,1331864,-,1214114,1333054
46,Tangible Book Value Per Share,19085.51,18453.83,17853.06,17108.12,17108.12,16232.39,15561.00,15571.01,15571.01,-,-,15494.39,-,6350.23,-,5677.79,6364.87
47,Buildings,-,-,-,-,-,-,842625,-,842625,-,-,-,-,-,-,-,-
48,Machinery,-,-,-,-,-,-,339800,-,338692,-,-,-,-,-,-,-,-
49,Construction In Progress,53062,47257,46418,-,44475,69528,67205,-,55551,-,-,-,7900,227666,-,322268,225337
