,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021,Q4 2020,Q1 2020,Q4 2019,Q4 2018
11,Other Non-Operating Income (Expenses),45176,-58507,-49491,-15529,1996,-8452,373.82,373.82,-213399,29022,1789,1789,1193,14100,-3024,-3745,-1999
12,EBT Excluding Unusual Items,175622,142040,98408,104556,194268,137635,52107,52107,-244751,141644,206211,206211,-19637,38631,-8037,25404,-46826
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-44141,-44141,-,-,-112439,-112439,-,-,-,-,-
14,Pretax Income,175622,142040,98408,104556,194268,137635,7966,7966,-244751,141644,93772,93772,-19637,38631,-8037,25404,-46826
15,Income Tax Expense,20060,12518,10548,8200,4621,4582,-479.71,-479.71,-61889,1293,3468,3468,-,1761,-,448.54,20957
16,Earnings From Continuing Ops.,155563,129522,87860,96355,189647,133053,8445,8445,-182862,140351,90304,90304,-19637,36870,-8037,24955,-67782
17,Minority Interest in Earnings,-26599,-6970,-21921,-13074,-7777,-10416,-5533,-5533,-5573,-10876,-12315,-12315,-,-4973,-,-3733,1677
18,Net Income,128964,122552,65939,83281,181870,122636,2912,2912,-188434,129475,77989,77989,-19637,31897,-8037,21222,-66105
19,Net Income to Common,128964,122552,65939,83281,181870,122636,2912,2912,-188434,129475,77989,77989,-19637,31897,-8037,21222,-66105
20,Net Income Growth,-29.09%,-0.07%,2164.52%,2760.09%,-,-5.28%,-96.27%,-96.27%,-,305.91%,-,267.49%,-,-,-,-,-
21,Shares Outstanding (Basic),214,214,214,214,213,214,214,214,213,214,214,214,-,210,-,210,210
22,Shares Outstanding (Diluted),214,214,214,541,213,214,214,214,213,214,214,214,-,210,-,210,210
23,Shares Change (YoY),0.54%,0.11%,0.12%,152.90%,0.02%,-0.17%,-0.15%,-,-,2.04%,-,2.02%,-,-,-,-,-
24,EPS (Basic),603.00,573.00,308.00,389.50,855.00,574.00,13.62,13.62,-886.00,605.00,364.16,364.71,-,152.08,-,101.25,-315.42
25,EPS (Diluted),603.00,573.00,308.00,154.00,855.00,574.00,13.62,13.62,-886.00,605.00,364.16,364.71,-,152.08,-,101.25,-315.42
26,EPS Growth,-29.47%,-0.17%,2161.85%,1030.92%,-,-5.12%,-96.26%,-96.27%,-,297.81%,-,260.21%,-,-,-,-,-
27,Free Cash Flow,336506,243393,-112973,-112973,-462197,39173,405538,405538,80708,-1312595,-19488,-19488,-706194,-,-16908,-,-
28,Free Cash Flow Per Share,1573.41,1137.99,-527.69,-208.90,-2172.87,183.35,1896.49,1896.49,379.48,-6133.40,-91.00,-91.14,-,-,-,-,-
29,Profit Margin,67.59%,101.94%,40.34%,66.89%,132.11%,127.09%,5.16%,5.16%,-255.94%,182.92%,103.87%,103.87%,-509.27%,40.55%,-207.12%,41.79%,-78.87%
30,Free Cash Flow Margin,176.36%,202.46%,-69.11%,-90.73%,-335.74%,40.60%,717.96%,717.96%,109.62%,-1854.42%,-25.96%,-25.96%,-18314.76%,-,-435.74%,-,-
31,EBITDA,109628,56870,88693,59361,46746,52929,24917,24917,28787,32998,45523,45523,-1559,48315,-1338,13640,13958
32,EBITDA Margin,57.45%,47.31%,54.25%,47.67%,33.96%,54.85%,44.11%,44.11%,39.10%,46.62%,60.63%,60.63%,-40.42%,61.41%,-34.49%,26.86%,16.65%
33,D&A For EBITDA,20362,19962,20142,20142,23267,20774,15439,15439,12791,16361,16164,16164,58.64,13386,58.64,13242,12589
34,EBIT,89266,36907,68550,39219,23479,32155,9478,9478,15996,16636,29360,29360,-1617,34929,-1397,398.88,1369
35,EBIT Margin,46.78%,30.70%,41.93%,31.50%,17.06%,33.32%,16.78%,16.78%,21.73%,23.50%,39.10%,39.10%,-41.94%,44.40%,-36.00%,0.79%,1.63%
36,Effective Tax Rate,11.42%,8.81%,10.72%,7.84%,2.38%,3.33%,-,-,-,0.91%,3.70%,3.70%,-,4.56%,-,1.77%,-
37,Revenue as Reported,190810,120219,163477,124513,137664,96492,56485,56485,73625,70782,75083,75083,3856,78671,3880,50786,83810
