,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
11,Earnings From Equity Investments,-,-,3.05,-3.05,-,-,3.54,-3.54,-,-,-,-,-,-,-,-,-,-
12,Other Non Operating Income (Expenses),0.08,0.03,-0.16,-0.01,2.39,-2.43,-0.12,-0.02,-1.95,-0.09,1.99,-0.01,-1.42,-0.09,1.53,-0.01,-0.03,0.01
13,EBT Excluding Unusual Items,-5.04,17.77,9.28,-3.88,28.83,10.19,33.05,7.24,33.61,23.22,45.94,8.17,52.98,2.82,32.56,11.32,44.12,8.33
14,Gain (Loss) on Sale of Investments,5.53,0.86,-6.38,-,-2.98,-3.42,-7.12,-,-2.61,-1.98,-2.68,-1.25,-2.18,-1.56,-2.03,-1.8,-7.27,-
15,Gain (Loss) on Sale of Assets,0.03,-,0.05,-0.08,0.05,-0.04,0.04,-,-,-,-,-,-,-,-,-,-,-
16,Asset Writedown,3.16,-3.1,1.66,-1.71,-0.15,0.04,-0.04,-,-0.05,-,-,-,-0.01,-,-,-,-,-
17,Other Unusual Items,-,-6.69,6.69,-,6.78,-0.36,0.36,-,5.36,-0.22,0.22,-,6.73,-0.86,0.86,-,3.39,-
18,Pretax Income,3.67,8.83,11.31,-5.68,32.54,6.41,26.29,7.24,36.31,21.02,43.48,6.92,57.53,0.4,31.4,9.52,40.25,8.33
19,Net Income,3.67,8.83,11.31,-5.68,32.54,6.41,26.29,7.24,36.31,21.02,43.48,6.92,57.53,0.4,31.4,9.52,40.25,8.33
20,Net Income to Common,3.67,8.83,11.31,-5.68,32.54,6.41,26.29,7.24,36.31,21.02,43.48,6.92,57.53,0.4,31.4,9.52,40.25,8.33
21,Net Income Growth,-88.73%,37.80%,-56.99%,-,-10.38%,-69.50%,-39.54%,4.67%,-36.88%,5150.00%,38.50%,-27.36%,42.94%,-95.19%,-,-,-,-
22,Shares Outstanding (Basic),287,245,177,199,218,212,216,203,211,215,218,194,155,165,165,156,161,-
23,Shares Outstanding (Diluted),287,245,177,199,218,212,216,203,211,215,218,194,155,165,165,156,161,-
24,Shares Change (YoY),31.29%,15.61%,-18.27%,-2.12%,3.40%,-1.64%,-0.70%,4.67%,36.62%,30.24%,31.87%,24.53%,-3.69%,-,-,-,-,-
25,EPS (Basic),0.01,0.04,0.06,-0.03,0.15,0.03,0.12,0.04,0.17,0.10,0.20,0.04,0.37,0.00,0.19,0.06,0.25,-
26,EPS (Diluted),0.01,0.04,0.06,-0.03,0.15,0.03,0.12,0.04,0.17,0.10,0.20,0.04,0.37,0.00,0.19,0.06,0.25,-
27,EPS Growth,-91.41%,19.19%,-47.38%,-,-13.33%,-68.99%,-39.11%,0%,-53.80%,3931.68%,5.03%,-41.67%,48.42%,-,-,-,-,-
28,Free Cash Flow,-,-144.8,15.7,-74.9,25.28,-27.66,11.1,-46.59,34.73,-21.49,-25.4,-3.59,7.4,-23.53,2.27,9.4,-9.99,-
29,Free Cash Flow Per Share,-,-0.59,0.09,-0.38,0.12,-0.13,0.05,-0.23,0.16,-0.10,-0.12,-0.02,0.05,-0.14,0.01,0.06,-0.06,-
30,Dividend Per Share,-,-,-,-,0.121,-,-,-,0.153,-,-,-,0.141,-,-,-,-,-
31,Dividend Growth,-,-,-,-,-20.71%,-,-,-,8.35%,-,-,-,-,-,-,-,-,-
32,Gross Margin,123.93%,86.71%,78.61%,87.56%,67.84%,89.47%,90.68%,88.35%,83.34%,86.31%,94.09%,89.02%,91.02%,83.53%,86.73%,86.51%,76.94%,100.00%
33,Operating Margin,10.02%,25.29%,1.02%,-20.25%,14.84%,2.39%,27.98%,2.09%,25.57%,29.64%,53.53%,23.59%,60.08%,17.05%,55.19%,40.32%,56.16%,34.71%
34,Profit Margin,3.03%,13.71%,17.63%,-10.54%,29.50%,10.82%,37.79%,17.38%,38.86%,47.43%,59.14%,22.08%,63.57%,2.45%,56.10%,34.28%,51.52%,34.76%
35,Free Cash Flow Margin,-,-224.72%,24.48%,-139.06%,22.92%,-46.67%,15.96%,-111.83%,37.18%,-48.50%,-34.54%,-11.46%,8.17%,-143.93%,4.06%,33.84%,-12.79%,-
36,EBITDA,14.67,18.82,3.81,-8.38,18.9,3.15,21.92,2.61,25.62,14.34,40.92,8.6,55.58,3.69,32.02,12.1,44.77,8.98
37,EBITDA Margin,12.11%,29.21%,5.94%,-15.56%,17.13%,5.32%,31.51%,6.26%,27.42%,32.36%,55.65%,27.44%,61.42%,22.55%,57.21%,43.56%,57.31%,37.49%
38,D&A For EBITDA,2.53,2.53,3.16,2.53,2.53,1.74,2.46,1.74,1.74,1.21,1.56,1.21,1.21,0.9,1.13,0.9,0.9,0.67
39,EBIT,12.14,16.3,0.66,-10.91,16.37,1.42,19.46,0.87,23.88,13.13,39.36,7.39,54.37,2.79,30.89,11.2,43.87,8.32
40,EBIT Margin,10.02%,25.29%,1.02%,-20.25%,14.84%,2.39%,27.98%,2.09%,25.57%,29.64%,53.53%,23.59%,60.08%,17.05%,55.19%,40.32%,56.16%,34.71%
41,Revenue as Reported,-,64.44,64.12,53.87,110.32,59.26,69.56,41.66,93.43,44.31,73.53,31.32,90.49,16.35,55.97,27.77,152.12,-
