,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
29,Other Long-Term Liabilities,1.19,1.12,0.92,1.23,1.27,1.04,0.68,0.8,0.85,-,-,1.09,0.71,0.71,0.78,0.78
30,Total Liabilities,60.99,63.68,56.97,72.22,55.93,53.73,48.09,55.59,38.52,-,-,59.85,46.66,46.66,40.38,40.38
31,Common Stock,100,100,100,100,100,100,100,100,100,-,-,75,75,75,75,75
32,Additional Paid-In Capital,799.35,799.08,798.66,797.98,797.57,797.16,796.75,796.34,795.93,-,-,240.07,238.29,238.29,235.43,235.43
33,Retained Earnings,157.96,154.34,184.9,187.27,182.7,172.04,202.58,195.83,183.39,-,-,140.48,72.58,72.58,43.43,43.43
34,Treasury Stock,-54.66,-54.66,-50,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-0.28,-0.24,-0.2,-0.17,0.01,-,-,-,-,-,-,-,-,-,-,-
36,Total Common Equity,1002,998.52,1033,1085,1080,1069,1099,1092,1079,-,455.55,455.55,385.87,385.87,353.86,353.86
37,Minority Interest,-9.35,-8.57,-7.65,-7.36,-8.06,-6.3,-6.1,-5.8,-5,-,-,-4.61,-3.4,-3.4,-2.07,-2.07
38,Shareholders' Equity,993.02,989.95,1026,1078,1072,1063,1093,1086,1074,-,450.94,450.94,382.46,382.46,351.79,351.79
39,Total Liabilities & Equity,1054,1054,1083,1150,1128,1117,1141,1142,1113,-,-,510.79,429.12,429.12,392.17,392.17
40,Total Debt,2.46,3.94,2.64,1.25,1.55,2.3,2.9,3.73,4.48,-,6.09,6.09,-,-,-,-
41,Net Cash (Debt),535.22,531.87,569.74,773.58,835.44,828.8,862.7,874.09,848.83,-,237.44,237.44,177.4,177.4,139.01,139.01
42,Net Cash Growth,-35.94%,-35.83%,-33.96%,-11.50%,-1.58%,-,263.33%,268.13%,378.48%,-,70.80%,70.80%,-,-,-,-
43,Net Cash Per Share,5.34,5.34,5.70,7.73,8.36,8.28,8.63,8.74,10.18,-,3.17,3.16,2.37,2.37,1.85,1.85
44,Filing Date Shares Outstanding,98,98,98.2,100,100,100,100,100,100,75,74.99,75,75,75,75,75
45,Total Common Shares Outstanding,98,98,98.2,100,100,100,100,100,100,75,74.99,75,75,75,75,75
46,Working Capital,526.03,528.55,567.5,759.34,815.95,814.05,845.83,855.29,851.82,-,-,225.98,167.86,167.86,138.65,138.65
47,Book Value Per Share,10.23,10.19,10.52,10.85,10.80,10.69,10.99,10.92,10.79,-,6.07,6.07,5.14,5.14,4.72,4.72
48,Tangible Book Value,786.16,783.57,819.3,870.23,879.02,868.58,898.76,892.37,880.87,-,258.84,258.84,190.06,190.06,158.97,158.97
49,Tangible Book Value Per Share,8.02,8.00,8.34,8.70,8.79,8.69,8.99,8.92,8.81,-,3.45,3.45,2.53,2.53,2.12,2.12
50,Buildings,-,199.1,-,56.88,-,-,-,-,-,-,-,-,-,-,-,-
51,Machinery,-,16.07,-,15.75,-,13.21,-,11.75,-,-,-,10.66,9.88,9.88,9.21,9.21
