,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
20,Income Tax Expense,0.63,-1.27,0.71,-0.73,1.87,1.15,0.92,0.4,2.88,1.71,1.51,4.32,2.78,2.78,1.7,1.7
21,Earnings From Continuing Operations,2.84,2.9,-2.66,2.34,8.89,19.26,6.45,11.65,16.65,13.24,12.63,25.41,13.31,13.31,10.49,10.49
22,Minority Interest in Earnings,0.78,0.92,0.29,2.22,1.76,0.2,0.29,0.8,0.15,0.14,0.11,0.54,1.27,1.27,0.5,0.5
23,Net Income,3.62,3.81,-2.37,4.57,10.65,19.47,6.75,12.45,16.79,13.38,12.73,25.95,14.58,14.58,10.99,10.99
24,Net Income to Common,3.62,3.81,-2.37,4.57,10.65,19.47,6.75,12.45,16.79,13.38,12.73,25.95,14.58,14.58,10.99,10.99
25,Net Income Growth,-66.02%,-80.40%,-,-63.31%,-36.55%,45.49%,-47.03%,-52.03%,15.21%,-8.21%,15.86%,136.08%,-,-,-,-
26,Shares Outstanding (Basic),100,100,100,100,100,100,100,100,83,75,75,75,75,75,75,75
27,Shares Outstanding (Diluted),100,100,100,100,100,100,100,100,83,75,75,75,75,75,75,75
28,Shares Change (YoY),0.33%,-0.51%,0.00%,0.07%,19.91%,33.45%,33.26%,33.28%,11.15%,-0.00%,-0.01%,0.03%,-,-,-,-
29,EPS (Basic),0.04,0.04,-0.02,0.05,0.11,0.19,0.07,0.12,0.20,0.18,0.17,0.35,0.19,0.19,0.15,0.15
30,EPS (Diluted),0.04,0.04,-0.02,0.05,0.11,0.19,0.07,0.12,0.20,0.18,0.17,0.35,0.19,0.19,0.15,0.15
31,EPS Growth,-66.14%,-80.30%,-,-63.33%,-47.09%,9.03%,-60.25%,-64.01%,3.65%,-8.21%,15.86%,136.00%,-,-,-,-
32,Free Cash Flow,-0,0.85,-153.24,-17.3,3.58,-9.54,1.36,29.79,25.76,7.02,-11.01,38.18,24.23,24.23,3,3
33,Free Cash Flow Per Share,-0.00,0.01,-1.53,-0.17,0.04,-0.10,0.01,0.30,0.31,0.09,-0.15,0.51,0.32,0.32,0.04,0.04
34,Dividend Per Share,-,-,-,0.350,-,-,-,0.500,-,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,-30.00%,-,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,80.40%,80.61%,78.02%,73.02%,81.28%,82.96%,83.16%,83.49%,87.77%,86.90%,82.23%,84.90%,80.43%,80.43%,85.44%,85.44%
37,Operating Margin,3.02%,-1.99%,-10.02%,-5.18%,13.14%,24.05%,4.79%,-0.33%,30.62%,30.35%,25.28%,39.22%,26.75%,26.75%,28.54%,28.54%
38,Profit Margin,7.77%,7.94%,-5.49%,7.90%,19.00%,32.51%,15.54%,22.57%,28.13%,29.41%,24.22%,38.73%,24.85%,24.85%,27.43%,27.43%
39,Free Cash Flow Margin,-0.00%,1.78%,-354.93%,-29.95%,6.39%,-15.92%,3.12%,54.02%,43.16%,15.43%,-20.93%,56.99%,41.30%,41.30%,7.48%,7.48%
40,EBITDA,3.87,2.98,-1.87,-0.53,9.73,16.83,4.44,2.18,20.7,16.22,15.72,28.7,18.2,18.2,14.2,14.2
41,EBITDA Margin,8.30%,6.21%,-4.32%,-0.92%,17.34%,28.10%,10.22%,3.95%,34.68%,35.64%,29.89%,42.84%,31.03%,31.03%,35.44%,35.44%
42,D&A For EBITDA,2.46,3.94,2.46,2.46,2.36,2.42,2.36,2.36,2.42,2.41,2.42,2.42,2.51,2.51,2.76,2.76
43,EBIT,1.41,-0.96,-4.33,-2.99,7.37,14.4,2.08,-0.18,18.28,13.81,13.29,26.27,15.69,15.69,11.44,11.44
44,EBIT Margin,3.02%,-1.99%,-10.02%,-5.18%,13.13%,24.05%,4.79%,-0.33%,30.62%,30.35%,25.28%,39.22%,26.75%,26.75%,28.54%,28.54%
45,Effective Tax Rate,18.06%,-,-,-,17.34%,5.64%,12.53%,3.33%,14.74%,11.47%,10.68%,14.53%,17.27%,17.27%,13.96%,13.96%
46,Revenue as Reported,46.61,48.03,43.18,57.77,56.09,59.88,43.4,55.16,59.69,45.5,52.59,66.99,-,-,-,-
