,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
12,Total Current Assets,67740,-,58475,-,56658,-,58770,-,57604,-,54413,-,45401,-,45605,-,29140,29140,-,-
13,"Property, Plant & Equipment",31830,-,32411,-,33420,-,32487,-,32443,-,24225,-,23575,-,22129,-,18838,18838,-,-
14,Long-Term Investments,1714,-,1603,-,1870,-,2394,-,2769,-,1536,-,1843,-,1358,-,1289,1289,-,-
15,Goodwill,6849,-,6849,-,6849,-,6849,-,6849,-,1499,-,1499,-,1499,-,1499,1499,-,-
16,Other Intangible Assets,3204,-,3498,-,3803,-,4118,-,4435,-,2278,-,2458,-,2629,-,2808,2808,-,-
17,Long-Term Deferred Tax Assets,357.59,-,91.12,-,87.17,-,130.3,-,150.46,-,64.61,-,87.79,-,31.97,-,43.11,43.11,-,-
18,Other Long-Term Assets,6172,-,8524,-,10214,-,2045,-,2447,-,2472,-,1932,-,1319,-,1106,1106,-,-
19,Total Assets,117868,-,111451,-,112902,-,106794,-,106697,-,86489,-,76795,-,74571,-,54723,54723,-,-
20,Accounts Payable,8568,-,7253,-,8730,-,8305,-,9100,-,8053,-,6773,-,6863,-,5812,5812,-,-
21,Accrued Expenses,18300,-,10726,-,11373,-,10004,-,10880,-,8421,-,7731,-,6211,-,6178,6178,-,-
22,Short-Term Debt,-,-,-,-,-,-,112.89,-,110.61,-,915.96,-,111.97,-,671.34,-,104.64,104.64,-,-
23,Current Portion of Long-Term Debt,4468,-,2580,-,4620,-,3088,-,1301,-,-,-,-,-,-,-,-,-,-,-
24,Current Portion of Leases,6509,-,6857,-,7106,-,7058,-,6863,-,5989,-,5764,-,5269,-,4619,4619,-,-
25,Current Income Taxes Payable,652.94,-,328.14,-,367.83,-,277.18,-,405.47,-,53.99,-,70.05,-,69.63,-,54.41,54.41,-,-
26,Current Unearned Revenue,382.08,-,299.96,-,298.31,-,221.19,-,192.79,-,167.79,-,125.64,-,80.41,-,67.55,67.55,-,-
27,Other Current Liabilities,831.06,-,7193,-,6836,-,5195,-,5394,-,4164,-,3971,-,3510,-,9503,9503,-,-
28,Total Current Liabilities,39712,-,35236,-,39331,-,34262,-,34246,-,27765,-,24546,-,22675,-,26339,26339,-,-
29,Long-Term Debt,2760,-,5250,-,5345,-,4406,-,5108,-,100,-,100,-,200,-,22118,22118,-,-
30,Long-Term Leases,9432,-,10045,-,10181,-,10265,-,10503,-,9186,-,9409,-,8990,-,7845,7845,-,-
31,Long-Term Deferred Tax Liabilities,1402,-,1385,-,1454,-,1459,-,1597,-,753.68,-,720.18,-,686.42,-,717.29,717.29,-,-
32,Other Long-Term Liabilities,1594,-,1265,-,1217,-,2076,-,2035,-,1084,-,1631,-,1614,-,597.38,597.38,-,-
33,Total Liabilities,54901,-,53182,-,57528,-,52467,-,53489,-,38889,-,36406,-,34166,-,57617,57617,-,-
34,Common Stock,1.05,-,1.04,-,1.04,-,1.04,-,1.04,-,1.04,-,0.97,-,0.97,-,0.61,0.61,-,-
35,Additional Paid-In Capital,-,-,67699,-,67430,-,67033,-,66850,-,66476,-,59479,-,58727,-,1616,1616,-,-
36,Retained Earnings,-20095,-,-26635,-,-28893,-,-29829,-,-29163,-,-28675,-,-27213,-,-26723,-,-11363,-11363,-,-
37,Treasury Stock,-0.06,-,-0.07,-,-0.07,-,-0.07,-,-0.07,-,-0.07,-,-0.07,-,-0.08,-,-,-,-,-
38,Comprehensive Income & Other,75414,-,9710,-,9620,-,10364,-,8892,-,7270,-,5671,-,6002,-,4605,4605,-,-
39,Total Common Equity,55320,50776,50776,48158,48158,-,47569,46581,46581,-,45073,37938,37938,-,38007,-5142,-5142,-5142,-,-2117
40,Minority Interest,7647,-,7493,-,7216,-,6758,-,6628,-,2528,-,2451,-,2399,-,2248,2248,-,-
41,Shareholders' Equity,62967,58269,58269,55374,55374,-,54327,53209,53209,-,47600,40389,40389,-,40406,-2894,-2894,-2894,-,-2085
42,Total Liabilities & Equity,117868,-,111451,-,112902,-,106794,-,106697,-,86489,-,76795,-,74571,-,54723,54723,-,-
43,Total Debt,23170,24732,24732,27253,27253,-,24931,23885,23885,-,16191,15385,15385,-,15130,34687,34687,34687,-,26746
44,Net Cash (Debt),16151,10906,10906,5820,5820,-,10621,11543,11543,-,19833,13529,13529,-,14337,-23803,-23803,-23803,-,-17472
45,Net Cash Growth,177.50%,-,2.69%,-49.58%,-49.58%,-,-46.45%,-14.68%,-14.68%,-,38.33%,-,-,-,-,-,-,-,-,-
46,Net Cash Per Share,2.60,-,-,-,0.95,-,-,-,1.92,-,3.39,-,2.39,-,2.53,-,-6.06,-6.06,-,-4.27
47,Filing Date Shares Outstanding,6219,-,-,-,6100,-,-,-,6087,-,5855,-,5661,-,5660,-,3932,3931,3924,3924
48,Total Common Shares Outstanding,6219,-,-,-,6100,-,-,-,6087,-,5855,-,5661,-,5660,-,3932,3931,3924,3924
49,Working Capital,28028,-,23238,-,17327,-,24509,-,23358,-,26648,-,20855,-,22931,-,2801,2801,-,-
50,Book Value Per Share,8.90,-,-,7.89,7.89,-,-,7.65,7.65,-,7.70,6.70,6.70,-,6.72,-1.31,-1.31,-1.31,-,-
51,Tangible Book Value,45266,40428,40428,37506,37506,-,36601,35297,35297,-,41295,33981,33981,-,33878,-9449,-9449,-9449,-,-2132
52,Tangible Book Value Per Share,7.28,-,-,6.15,6.15,-,-,5.80,5.80,-,7.05,6.00,6.00,-,5.99,-2.40,-2.40,-2.40,-,-
53,Buildings,-,-,-,-,132.93,-,-,-,276.67,-,-,-,38.48,-,-,-,38.48,38.48,-,-
54,Machinery,-,-,-,-,24159,-,-,-,20569,-,-,-,13380,-,-,-,9689,9689,-,-
55,Construction In Progress,-,-,-,-,1094,-,-,-,646.44,-,-,-,182.84,-,-,-,488.91,488.91,-,-
56,Leasehold Improvements,-,-,-,-,3056,-,-,-,2592,-,-,-,2025,-,-,-,1600,1600,-,-
