,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
17,Other Unusual Items,136.55,-,-136.55,-,17.38,-,-20.8,-,-221.44,-,-46.99,-,-,-,-12844,-,-2021,-2021,-409.09,-409.09
18,Pretax Income,2201,2625,2486,403.1,1409,591.66,630.77,-1013,620.53,-111.94,-22.5,-1300,625,-1064,-4209,-10952,-2347,-2347,322.08,322.08
19,Income Tax Expense,125.64,180.64,241.06,80.79,167.7,137.36,122.8,23.86,128.64,36.75,60.89,49.84,20.51,-12.95,5.4,47.41,-4.38,-4.38,-1.63,-1.63
20,Earnings From Continuing Operations,2075,2445,2245,322.31,1242,454.3,507.96,-1037,491.89,-148.69,-83.38,-1350,604.49,-1051,-4214,-11000,-2342,-2342,323.71,323.71
21,Minority Interest in Earnings,-346.75,-240.08,-219.28,-83.88,-202.67,-239.99,-156.29,47.95,-139.32,-138.66,7.05,-35.61,-16.25,-18.54,-77.54,-68.9,-49.87,-49.87,1.52,1.52
22,Net Income,1729,2205,2026,238.43,1039,214.31,351.67,-988.88,352.57,-287.35,-76.33,-1386,588.24,-1070,-4292,-11069,-2392,-2392,325.23,325.23
23,Net Income to Common,1729,2205,2026,238.43,1039,214.31,351.67,-988.88,352.57,-287.35,-76.33,-1386,588.24,-1070,-4292,-11069,-2392,-2392,325.23,325.23
24,Net Income Growth,66.36%,928.77%,476.04%,-,194.72%,-,-,-,-40.06%,-,-,-,-,-,-,-,-,-,-,-
25,Shares Outstanding (Basic),6219,-,-,-,6100,-,-,-,6004,-,5855,-,5661,-,5660,-,3931,3931,3924,3924
26,Shares Outstanding (Diluted),6219,-,-,-,6100,-,-,-,6004,-,5855,-,5661,-,5660,-,3931,3931,4096,4096
27,Shares Change (YoY),1.95%,-,-,-,1.60%,-,-,-,6.05%,-,3.44%,-,44.01%,-,38.20%,-,-,-,-,-
28,EPS (Basic),0.28,-,-,-,0.17,-,-,-,0.06,-,-0.01,-,0.10,-,-0.76,-,-0.61,-0.61,0.08,0.08
29,EPS (Diluted),0.28,-,-,-,0.17,-,-,-,0.06,-,-0.01,-,0.10,-,-0.76,-,-0.61,-0.61,0.08,0.08
30,EPS Growth,63.39%,-,-,-,189.37%,-,-,-,-43.48%,-,-,-,-,-,-,-,-,-,-,-
31,Free Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1621,1621,1891,1891
32,Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.41,0.41,0.46,0.46
33,Gross Margin,9.63%,11.71%,11.88%,7.67%,9.22%,7.92%,8.27%,4.45%,8.87%,7.41%,6.95%,5.34%,9.01%,4.93%,5.90%,1.03%,5.35%,5.35%,12.85%,12.85%
34,Operating Margin,3.38%,4.59%,5.02%,0.21%,2.56%,0.65%,0.83%,-3.54%,1.39%,-0.03%,-0.72%,-3.20%,1.40%,-3.93%,-2.31%,-8.62%,-2.15%,-2.15%,4.55%,4.55%
35,Profit Margin,3.32%,4.97%,4.58%,0.57%,2.20%,0.51%,0.86%,-2.69%,0.82%,-0.80%,-0.24%,-5.07%,1.93%,-4.15%,-16.47%,-49.39%,-11.44%,-11.44%,2.06%,2.06%
36,Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.75%,7.75%,11.99%,11.99%
37,EBITDA,3000,3177,3449,1228,2348,1130,1457,-440.51,1460,554.02,458.06,-311.4,989.5,-619.3,-52.03,-1540,-65.47,-65.47,1117,1117
38,EBITDA Margin,5.76%,7.16%,7.80%,2.91%,4.97%,2.71%,3.55%,-1.20%,3.39%,1.55%,1.46%,-1.14%,3.25%,-2.41%,-0.20%,-6.87%,-0.31%,-0.31%,7.08%,7.08%
39,D&A For EBITDA,1241,1140,1228,1140,1140,860.31,1116,860.31,860.31,563.47,683.68,563.47,563.47,391.85,549.13,391.85,384.05,384.05,399.65,399.65
40,EBIT,1759,2037,2221,87.68,1208,270.17,341.17,-1301,599.64,-9.45,-225.62,-874.87,426.02,-1011,-601.17,-1932,-449.52,-449.52,717.22,717.22
41,EBIT Margin,3.38%,4.59%,5.02%,0.21%,2.56%,0.65%,0.83%,-3.54%,1.39%,-0.03%,-0.72%,-3.20%,1.40%,-3.93%,-2.31%,-8.62%,-2.15%,-2.15%,4.55%,4.55%
42,Effective Tax Rate,5.71%,6.88%,9.70%,20.04%,11.90%,23.22%,19.47%,-,20.73%,-,-,-,3.28%,-,-,-,-,-,-,-
