,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
33,Total Liabilities,-,16199,19343,18777,15722,18021,19489,21998,18753,-,-,-
34,Common Stock,-,7054,7054,7046,7045,7043,7022,5076,5076,-,-,-
35,Additional Paid-In Capital,-,10043,9738,9489,9480,9447,9403,461.22,451.36,-,-,-
36,Retained Earnings,-,-4726,-4513,-4284,-4042,-3445,-3192,-2583,-2084,-,-,-
37,Treasury Stock,-,-399.39,-270.01,-,-,-,-,-,-,-,-,-
38,Total Common Equity,11972,11972,12009,12251,12483,13045,13233,2954,3444,-,-,4478
39,Minority Interest,-,4890,4782,3920,3365,3701,4011,3542,3662,-,-,-
40,Shareholders' Equity,16862,16862,16791,16171,15848,16746,17244,6496,7106,-,-,4307
41,Total Liabilities & Equity,-,33061,36134,34948,31570,34768,36733,28494,25860,-,-,-
42,Total Debt,12244,12244,15549,14149,11298,11500,13627,14445,13353,-,-,5583
43,Net Cash (Debt),-7495,-7495,-7495,-8293,-7102,-6210,-4432,-11665,-10347,-,-,-4926
44,Net Cash Per Share,-1.05,-1.06,-1.39,-1.03,-1.06,-0.86,-0.80,-2.33,-1.92,-,-,-0.95
45,Filing Date Shares Outstanding,7059,7075,6986,7046,7045,7043,7022,6768,5076,4934,5215,5199
46,Total Common Shares Outstanding,7059,7075,6986,7046,7045,7043,7022,5076,5076,4934,5215,5199
47,Working Capital,-,931.61,4011,3693,228.52,8.13,4322,-3549,-2283,-,-,-
48,Book Value Per Share,1.69,1.69,1.72,1.74,1.77,1.85,1.88,0.58,0.68,-,-,0.88
49,Tangible Book Value,11090,11090,11098,11313,11505,12032,12195,1974,2451,-,-,3458
50,Tangible Book Value Per Share,1.57,1.57,1.59,1.61,1.63,1.71,1.74,0.39,0.48,-,-,0.68
51,Buildings,-,-,2043,-,2007,-,1988,-,884.24,-,-,-
52,Machinery,-,-,23274,-,22604,-,17313,-,12119,-,-,-
53,Construction In Progress,-,-,1195,-,1252,-,3061,-,5535,-,-,-
