,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
17,Gain (Loss) on Sale of Assets,0.02,-0,-0,-0.01,-0.07,0.01,-0.01,-,-0.08,0.04,-0.01,0.02,-,0.03,-,-
18,Asset Writedown,19.1,-19.1,7.61,-7.61,18.51,-18.51,3.79,-3.79,7.17,-7.17,2.6,-2.6,9.53,-9.62,-0.03,-0.03
19,Other Unusual Items,0.61,-15.64,15.53,-0.5,11.46,-,-,-,12.98,-,-,-,0.72,0.52,-0.26,-0.26
20,Pretax Income,-25.92,-11.12,-10.98,-5.5,-5.67,0.83,1.21,9.84,-1.82,22.14,38.31,47.56,24.11,88.33,31.9,31.9
21,Income Tax Expense,10.63,-1.77,-4.7,-2.87,-2.63,-2.68,-0.01,-1.3,-2.44,3.34,6.97,7.59,2.92,13.78,5.27,5.27
22,Net Income,-36.55,-9.35,-6.28,-2.63,-3.03,3.52,1.22,11.14,0.62,18.8,31.34,39.96,21.19,74.55,26.63,26.63
23,Net Income to Common,-36.55,-9.35,-6.28,-2.63,-3.03,3.52,1.22,11.14,0.62,18.8,31.34,39.96,21.19,74.55,26.63,26.63
24,Net Income Growth,-,-,-,-,-,-81.30%,-96.11%,-72.12%,-97.09%,-74.78%,17.68%,50.06%,-,-,-,-
25,Shares Outstanding (Basic),70,74,71,66,75,70,68,70,70,52,53,53,51,54,27,27
26,Shares Outstanding (Diluted),70,74,71,66,75,70,68,70,70,52,53,53,51,54,27,27
27,Shares Change (YoY),-5.96%,5.61%,5.24%,-5.56%,6.69%,32.99%,27.62%,32.43%,37.94%,-3.63%,94.64%,92.93%,-,-,-,-
28,EPS (Basic),-0.52,-0.13,-0.09,-0.04,-0.04,0.05,0.02,0.16,0.01,0.36,0.59,0.76,0.42,1.37,0.98,0.98
29,EPS (Diluted),-0.52,-0.13,-0.09,-0.04,-0.04,0.05,0.02,0.16,0.01,0.36,0.59,0.76,0.42,1.37,0.98,0.98
30,EPS Growth,-,-,-,-,-,-85.94%,-96.95%,-78.95%,-97.89%,-73.83%,-39.54%,-22.22%,-,-,-,-
31,Free Cash Flow,-,-24.22,8.48,0.94,-15.41,2.91,15.07,21.65,-13.72,-7.65,0.01,-12.03,3.53,-64.74,31.11,31.11
32,Free Cash Flow Per Share,-,-0.33,0.12,0.01,-0.21,0.04,0.22,0.31,-0.20,-0.15,0.00,-0.23,0.07,-1.19,1.14,1.14
33,Dividend Per Share,-,-,-,-,0.500,-,-,-,0.500,-,-,-,-,-,-,-
34,Gross Margin,192.32%,111.24%,16.53%,68.28%,-20.57%,114.54%,40.86%,86.13%,34.21%,109.28%,78.94%,91.00%,66.80%,95.59%,79.60%,79.60%
35,Operating Margin,-49.62%,47.60%,-126.53%,-29.87%,-107.19%,21.37%,-49.02%,9.66%,-57.99%,61.24%,41.84%,57.95%,22.34%,66.39%,49.24%,49.24%
36,Profit Margin,-103.34%,-28.85%,-18.69%,-10.08%,-7.14%,9.76%,3.85%,25.91%,1.19%,40.62%,39.93%,45.49%,32.95%,50.90%,40.63%,40.63%
37,Free Cash Flow Margin,-,-74.68%,25.26%,3.61%,-36.27%,8.08%,47.57%,50.34%,-26.42%,-16.52%,0.01%,-13.70%,5.49%,-44.20%,47.46%,47.46%
38,EBITDA,-15.03,17.95,-39.72,-5.28,-43.02,9.83,-13.06,6.28,-27.98,29.31,34.78,51.86,15.32,97.98,33.01,33.01
39,EBITDA Margin,-42.50%,55.36%,-118.32%,-20.22%,-101.27%,27.28%,-41.22%,14.61%,-53.89%,63.31%,44.31%,59.04%,23.83%,66.89%,50.35%,50.35%
40,D&A For EBITDA,2.52,2.52,2.75,2.52,2.52,2.13,2.47,2.13,2.13,0.96,1.94,0.96,0.96,0.73,0.73,0.73
41,EBIT,-17.55,15.44,-42.47,-7.79,-45.54,7.7,-15.53,4.15,-30.11,28.35,32.84,50.9,14.37,97.25,32.28,32.28
42,EBIT Margin,-49.62%,47.60%,-126.53%,-29.87%,-107.19%,21.37%,-49.02%,9.66%,-57.99%,61.24%,41.84%,57.95%,22.34%,66.39%,49.24%,49.24%
43,Effective Tax Rate,-,-,-,-,-,-,-,-,-,15.07%,18.20%,15.97%,12.10%,15.60%,16.51%,16.51%
44,Revenue as Reported,-,32.42,33.57,26.09,42.48,36.02,31.69,43,51.92,46.29,78.49,87.84,64.31,146.48,65.55,65.55
