,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
31,Treasury Stock,-,-10.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Comprehensive Income & Other,-,0.18,0.17,0.16,0.18,0.17,0.17,0.18,0.18,0.18,-,-,0.19,-,0.19,0.19
33,Shareholders' Equity,2135,2135,2151,2189,2188,2185,2179,2212,2200,2197,-,359.77,359.77,-,260.66,260.66
34,Total Liabilities & Equity,-,2244,2296,2310,2299,2301,2305,2353,2333,2363,-,-,513.1,-,362.73,362.73
35,Total Debt,74.01,74.01,78.39,82.67,73.31,71.34,73.84,76.55,83.15,81.54,-,87.04,87.04,-,16.9,16.9
36,Net Cash (Debt),594.94,594.94,1053,1311,1412,1835,1828,1841,1814,1850,-,102.36,102.36,-,236.77,236.77
37,Net Cash Growth,-57.87%,-67.57%,-42.43%,-28.82%,-22.14%,-0.83%,-,1698.99%,1671.86%,-,-,-56.77%,-,-,-,-
38,Net Cash Per Share,8.45,8.08,14.77,19.93,18.87,26.31,27.01,26.44,25.85,35.28,-,1.95,2.01,-,8.69,8.69
39,Filing Date Shares Outstanding,70.39,69.83,70.18,70.18,70.18,70.18,70.18,70.18,70.18,70.18,70.18,52.58,52.63,54.42,52.63,52.63
40,Total Common Shares Outstanding,70.39,69.83,70.18,70.18,70.18,70.18,70.18,70.18,70.18,70.18,52.63,52.58,52.63,54.42,52.63,52.63
41,Working Capital,-,1915,1961,2008,2020,2045,2046,2081,2071,2072,-,-,260.44,-,224,224
42,Book Value Per Share,30.57,30.57,30.65,31.19,31.19,31.14,31.05,31.52,31.35,31.31,-,6.84,6.84,-,4.95,4.95
43,Tangible Book Value,2116,2116,2133,2170,2170,2167,2161,2194,2182,2179,-,353.06,353.06,-,260.57,260.57
44,Tangible Book Value Per Share,30.31,30.31,30.39,30.93,30.92,30.89,30.79,31.26,31.09,31.05,-,6.71,6.71,-,4.95,4.95
45,Machinery,-,-,76.69,-,64.44,-,62.6,-,59.66,-,-,-,42.2,-,26.36,26.36
46,Construction In Progress,-,-,36.47,-,31.26,-,19.55,-,17.73,-,-,-,21.16,-,-,-
