,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
13,Other Intangible Assets,2.99,3.26,3.52,3.78,2.55,2.73,2.81,2.98,3.03,3.26,-,3.12,3.19
14,Long-Term Deferred Tax Assets,1.53,1.6,1.64,1.68,1.95,1.85,4.49,4.52,5.08,4.97,-,5.04,0.52
15,Long-Term Deferred Charges,1.44,1.6,1.72,1.84,1.97,2.03,2.16,2.29,1.17,1.12,-,1.96,3.48
16,Other Long-Term Assets,92.97,68.53,179.65,201.41,156.06,209.51,336.03,396.8,478.88,577.13,-,531.45,234.62
17,Total Assets,8119,8054,7595,7899,7422,7337,7362,7037,6736,6649,-,5729,4969
18,Accounts Payable,1160,1091,937.12,881.8,971.6,1076,983.3,925.16,1099,942.29,-,815.67,868.91
19,Accrued Expenses,51.93,42.86,20.04,11.35,65.92,52.77,24.87,22.51,51.74,38.73,-,10,17.79
20,Short-Term Debt,511.72,360.2,150.1,150.1,-,-,30.03,30.03,250.22,381.3,-,401.61,280
21,Current Portion of Long-Term Debt,13.59,50.77,80.64,66.9,39.33,30.48,25.68,15.61,111.66,2,-,1.64,-
22,Current Portion of Leases,-,12,-,13.8,-,10.58,-,10.4,-,13.56,-,9.62,10.2
23,Current Income Taxes Payable,45.5,10.65,14.26,10.96,27.58,38.1,71.6,60.57,38.99,74.96,-,58.96,81.92
24,Current Unearned Revenue,1.41,2.55,3.54,2.97,5.33,4.58,5.31,8.3,6.76,6.08,-,1.94,2.34
25,Other Current Liabilities,485.02,324.6,184.2,708.32,396.39,278.47,271.8,167.69,191.77,237.54,-,275.7,475.04
26,Total Current Liabilities,2269,1895,1390,1846,1506,1491,1413,1240,1750,1696,-,1575,1736
27,Long-Term Debt,35,446,435,435,486.4,486.4,501.4,501.4,816.4,965.4,-,593.36,150
28,Long-Term Leases,1.63,6.15,7.94,10.4,16.38,21.26,19.88,19.57,23.46,25.04,-,18.89,27.47
29,Long-Term Deferred Tax Liabilities,160.72,169.04,167.74,171.23,84.07,85.4,81.9,81.85,85.82,58.55,-,42.02,9.22
30,Other Long-Term Liabilities,-,-,-,-,-,-,20.2,20.2,37.64,37.64,-,37.64,20.2
31,Total Liabilities,2467,2516,2001,2463,2093,2084,2036,1863,2714,2783,-,2267,1943
32,Common Stock,1309,1309,1309,1309,1309,1309,1309,1309,1178,1178,-,1178,1178
33,Additional Paid-In Capital,2392,2392,2393,2393,2393,2393,2393,2393,1498,1498,-,1499,1499
34,Retained Earnings,1909,1781,1822,1656,1540,1459,1510,1353,1226,1075,-,683.16,259.52
35,Comprehensive Income & Other,36.51,49.82,63.13,71.2,77.94,83.14,103.98,107,107.66,102.31,-,90.62,77.36
36,Total Common Equity,5646,5531,5587,5428,5320,5243,5316,5162,4010,3854,3450,3450,3014
37,Minority Interest,7.31,7,7.86,8.33,9.2,9.91,10.34,11.94,11.96,11.83,-,11.99,12.42
38,Shareholders' Equity,5653,5538,5595,5437,5329,5253,5326,5174,4022,3865,3462,3462,3026
39,Total Liabilities & Equity,8119,8054,7595,7899,7422,7337,7362,7037,6736,6649,-,5729,4969
40,Total Debt,561.94,875.11,673.68,676.19,542.11,548.72,576.99,577.01,1202,1387,1025,1025,467.67
41,Net Cash (Debt),646.16,614.98,498.27,743.76,1079,1189,1209,985.35,-25.02,-334.92,-404.23,-404.23,517.07
42,Net Cash Growth,-40.12%,-48.29%,-58.78%,-24.52%,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,0.50,0.45,0.39,0.58,0.89,0.87,0.92,0.85,-0.02,-0.29,-0.34,-0.32,0.48
44,Filing Date Shares Outstanding,1309,1309,1309,1309,1309,1309,1309,1309,1178,1178,1202,1178,1178
45,Total Common Shares Outstanding,1309,1309,1309,1309,1309,1309,1309,1309,1178,1178,1202,1178,1178
46,Working Capital,531.45,1011,1033,845.18,1269,1436,1567,1557,724.47,644.36,-,234.6,310.05
47,Book Value Per Share,4.31,4.23,4.27,4.15,4.07,4.01,4.06,3.94,3.40,3.27,2.93,2.93,2.56
48,Tangible Book Value,5641,5527,5582,5423,5316,5239,5312,5157,4006,3849,3446,3446,3009
49,Tangible Book Value Per Share,4.31,4.22,4.27,4.14,4.06,4.00,4.06,3.94,3.40,3.27,2.93,2.93,2.55
50,Buildings,-,54.76,-,54.76,-,56.38,-,56.38,-,57.07,-,57.07,65.66
51,Machinery,-,6200,-,5593,-,4647,-,4343,-,4351,-,3487,3024
52,Construction In Progress,-,70.09,-,444.11,-,446.27,-,305.12,-,69.85,-,490.84,164.02
