,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
34,Free Cash Flow Per Share,-0.63,0.10,0.51,0.02,-0.35,-0.29,-0.10,0.38,-0.77,-0.21,-0.21,0.28,0.28,0.21,0.21
35,Dividend Per Share,-,-,-,0.257,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,20.37%,18.40%,15.89%,13.70%,22.80%,17.77%,19.33%,15.17%,20.56%,17.56%,17.56%,18.28%,18.28%,15.98%,15.98%
37,Operating Margin,10.85%,7.83%,4.81%,1.43%,12.52%,5.09%,8.98%,-0.97%,4.40%,7.39%,7.39%,7.55%,9.02%,10.04%,10.04%
38,Profit Margin,10.07%,10.11%,9.74%,5.64%,9.90%,7.69%,7.02%,12.32%,-0.19%,5.49%,5.49%,8.41%,9.66%,9.69%,9.69%
39,Free Cash Flow Margin,-13.97%,3.12%,19.82%,0.63%,-10.01%,-8.02%,-4.32%,13.47%,-31.99%,-10.17%,-10.17%,9.12%,9.12%,7.66%,7.66%
40,EBITDA,86.75,54.29,28.31,15.09,76.42,31.09,30.26,2.63,18.99,23.75,23.75,33.17,39.19,38.04,38.04
41,EBITDA Margin,12.01%,10.04%,6.84%,3.23%,13.55%,6.87%,11.12%,0.80%,6.22%,9.64%,9.64%,8.80%,10.40%,11.59%,11.59%
42,D&A For EBITDA,8.41,11.92,8.41,8.41,5.82,8.09,5.82,5.82,5.55,5.55,5.55,4.71,5.18,5.08,5.08
43,EBIT,78.34,42.36,19.9,6.68,70.6,23,24.44,-3.19,13.45,18.2,18.2,28.46,34.01,32.96,32.96
44,EBIT Margin,10.85%,7.83%,4.81%,1.43%,12.52%,5.09%,8.98%,-0.97%,4.40%,7.39%,7.39%,7.55%,9.02%,10.04%,10.04%
45,Effective Tax Rate,10.78%,11.78%,13.81%,-,13.31%,7.53%,7.74%,7.86%,129.64%,-,-,12.72%,13.02%,17.26%,17.26%
46,Revenue as Reported,722.28,540.9,414.06,467.67,563.91,452.31,272.04,327.68,305.27,246.38,246.38,376.98,376.98,328.34,328.34
