,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
15,Total Assets,1205,1220,1189,1235,1189,1141,1135,1148,1145,1126,1101,1073,1111,1112,681.58,616.31,-,601.06,-,603.58
16,Accounts Payable,156.32,152.05,158.99,191.38,176.17,146.68,137.74,146.01,171.8,177.35,163.81,155.78,160.8,167.12,83.69,63.91,-,73.07,-,85.48
17,Accrued Expenses,6.97,9.91,3.52,9.63,6.68,10.72,4.46,13.31,9.21,11.55,4.59,9.74,8.08,23.96,34.48,38.04,-,92.73,-,34.22
18,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,40,40,40,40,-,55.71,-,62.83
19,Current Income Taxes Payable,9.63,2.27,1.08,0.72,5.38,1.96,1.6,3.58,4.04,2.02,4.64,2.12,6.16,7.83,6.25,2.46,-,2.5,-,5.63
20,Current Unearned Revenue,2.38,4.72,2.65,2.74,2.29,2.45,2.2,2.6,3.23,2.03,3.72,3.16,2.49,2.38,2.49,2.44,-,0.28,-,0.56
21,Other Current Liabilities,0.84,1.16,1.09,13.76,1.73,1.58,1.88,1.1,1.19,0.68,1.6,0.69,9.62,12.26,67.73,62.37,-,35.34,-,105.25
22,Total Current Liabilities,176.14,170.1,167.34,218.24,192.25,163.38,147.88,166.6,189.48,193.63,178.36,171.49,227.15,253.54,234.64,209.21,-,259.63,-,293.97
23,Long-Term Unearned Revenue,5.44,5.53,5.62,5.71,5.8,5.89,5.98,6.07,6.16,6.25,6.34,6.43,6.53,6.62,6.71,6.8,-,7.78,-,7.96
24,Total Liabilities,181.58,175.63,172.95,223.95,198.05,169.27,153.86,172.67,195.64,199.88,184.71,177.93,233.68,260.16,241.35,216,-,267.41,-,301.92
25,Common Stock,156,120,120,120,120,120,120,120,120,120,120,120,120,120,90,90,-,90,-,90
26,Additional Paid-In Capital,386.48,422.48,418.99,418.99,415.71,415.71,412.44,412.44,410.8,409.16,405.88,405.88,405.19,409.4,69.9,68.27,-,64.99,-,61.71
27,Retained Earnings,473.65,495.36,471.49,467.09,451.08,431.44,444.07,439.26,414.51,393.66,386.9,366.45,348.63,319.71,277.61,239.55,-,178.66,-,147.63
28,Comprehensive Income & Other,6.67,6.42,5.36,4.75,4.02,4.15,4.37,4.01,4.07,3.67,3.41,3.03,3.4,3.11,2.72,2.48,-,-,-,2.31
29,Total Common Equity,1023,1044,1016,1011,990.81,971.3,980.87,975.71,949.38,926.48,916.19,895.37,877.22,852.22,440.24,400.3,-,333.65,301.65,301.65
30,Minority Interest,0.21,0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,Shareholders' Equity,1023,1044,1016,1011,990.81,971.3,980.87,975.71,949.38,926.48,916.19,895.37,877.22,852.22,440.24,400.3,-,333.65,301.65,301.65
32,Total Liabilities & Equity,1205,1220,1189,1235,1189,1141,1135,1148,1145,1126,1101,1073,1111,1112,681.58,616.31,-,601.06,-,603.58
33,Total Debt,-,-,-,-,-,-,-,-,-,-,-,-,40,40,40,40,-,55.71,62.83,62.83
34,Net Cash (Debt),606.25,639.64,588.84,622.05,625.77,609.46,614.12,675.89,526.53,499.69,537.62,586.55,387.55,417.47,53.93,108.2,-,-39.36,5.66,5.66
35,Net Cash Growth,-3.12%,4.95%,-4.12%,-7.97%,18.85%,21.97%,14.23%,15.23%,35.86%,19.69%,896.91%,442.10%,-,-,852.44%,1810.91%,-,-,-,-
36,Net Cash Per Share,6.78,3.92,4.12,3.87,4.35,3.67,3.94,4.39,3.32,3.27,3.45,3.78,4.89,2.16,0.46,0.93,-,-0.34,0.05,0.05
37,Filing Date Shares Outstanding,156,156,156,156,156,156,156,156,158.82,156,156,156,79.22,156,117,117,117,117,117.73,117
38,Total Common Shares Outstanding,156,156,156,156,156,156,156,156,158.82,156,156,156,79.22,156,117,117,117,117,117.73,117
39,Working Capital,794.57,811.95,779.37,774.19,761.07,744.06,752.64,747.58,718.77,694.25,682.1,661.23,641.65,635,223.93,185.42,-,126.2,-,101.08
40,Book Value Per Share,6.56,6.69,6.51,6.48,6.35,6.23,6.29,6.25,5.98,5.94,5.87,5.74,11.07,5.46,3.76,3.42,-,2.85,2.58,2.58
41,Tangible Book Value,986.09,1007,977.88,976.47,956.31,940.23,949.48,943.9,917.21,894.83,884.25,863.11,844.51,819.65,407.43,367.2,-,300.48,268.22,268.22
42,Tangible Book Value Per Share,6.32,6.45,6.27,6.26,6.13,6.03,6.09,6.05,5.78,5.74,5.67,5.53,10.66,5.25,3.48,3.14,-,2.57,2.29,2.29
43,Buildings,-,220.31,-,220.55,-,203.49,-,203.49,-,171.62,-,171.62,-,104.37,104.37,104.37,-,103.77,-,103.56
44,Machinery,-,100.19,-,100.16,-,94.99,-,95.65,-,91.51,-,90.54,-,81.31,82.85,82.27,-,71.69,-,69.43
45,Construction In Progress,-,1.51,-,0.85,-,9.21,-,3.11,-,35.47,-,30.78,-,83.9,82,78.81,-,77.79,-,68.95
