,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
40,Shareholders' Equity,1462,1440,1465,1437,1417,-,441.36,441.36,-,-,349.3,315.56,315.56
41,Total Liabilities & Equity,1674,1644,1661,1647,1617,-,-,726.31,-,-,-,485.82,485.82
42,Total Debt,0.05,0.2,0.2,0.22,5.01,-,79.66,79.66,-,-,41.17,48.07,48.07
43,Net Cash (Debt),953.71,934.35,936.15,973.02,962.41,-,55.84,55.84,-,-,46.06,13.2,13.2
44,Net Cash Growth,-0.90%,-,1576.44%,1642.45%,-,-,21.24%,322.99%,-,-,-,-,-
45,Net Cash Per Share,11.10,10.61,10.76,11.28,9.07,-,0.86,0.86,-,-,-,0.20,0.20
46,Filing Date Shares Outstanding,87,87,87,87,87,65.25,64.87,65.25,65.41,-,-,65.25,65.25
47,Total Common Shares Outstanding,87,87,87,87,87,65.25,64.87,65.25,65.41,-,-,65.25,65.25
48,Working Capital,1253,1235,1268,1251,1237,-,-,310.3,-,-,-,209.26,209.26
49,Book Value Per Share,16.77,16.51,16.81,16.47,16.24,-,6.70,6.70,-,-,5.31,4.78,4.78
50,Tangible Book Value,1438,1418,1444,1414,1395,-,419.02,419.02,-,-,334.96,301.9,301.9
51,Tangible Book Value Per Share,16.53,16.30,16.59,16.26,16.03,-,6.42,6.42,-,-,5.15,4.63,4.63
52,Buildings,-,64.28,-,64.18,-,-,-,61.48,-,-,-,60.9,60.9
53,Machinery,-,199.38,-,192.23,-,-,-,182.38,-,-,-,118.12,118.12
54,Construction In Progress,-,25.2,-,16.08,-,-,-,2.7,-,-,-,3.1,3.1
