,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
32,Free Cash Flow Per Share,0.80,0.04,-1.30,-1.46,-2.25,-2.08,-0.96,-0.28,2.39,0.22,-1.87,0.63,-1.66,-0.37,-0.22,2.66,-0.86,-0.35,-0.35,-
33,Dividend Per Share,-,-,-,0.281,-,-,-,0.125,-,-,-,1.250,-,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,124.60%,-,-,-,-90.00%,-,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,12.99%,14.03%,13.94%,37.50%,15.40%,12.89%,10.84%,10.09%,14.68%,12.02%,13.12%,6.76%,14.16%,17.80%,16.77%,13.69%,17.60%,16.53%,16.53%,19.11%
36,Operating Margin,5.39%,6.44%,7.97%,2.67%,9.05%,6.73%,5.43%,1.13%,8.97%,7.47%,6.57%,-1.08%,9.60%,11.40%,10.51%,8.34%,12.58%,10.98%,10.98%,5.47%
37,Profit Margin,3.60%,4.82%,6.11%,-4.04%,7.03%,5.75%,4.91%,1.36%,8.44%,6.80%,5.85%,-0.03%,7.91%,8.46%,9.12%,6.21%,9.54%,8.40%,8.40%,3.12%
38,Free Cash Flow Margin,15.19%,0.97%,-30.64%,-92.65%,-37.96%,-35.07%,-18.13%,-5.53%,55.97%,4.06%,-51.92%,13.44%,-29.15%,-9.54%,-5.04%,54.86%,-15.68%,-7.15%,-7.15%,-
39,EBITDA,24.3,25.19,30.24,4.2,45.93,32.93,23.89,5.15,31.38,32.93,20.15,-2.78,33.13,27.95,28.39,25.24,41.7,33.15,33.15,31.03
40,EBITDA Margin,5.54%,6.54%,8.14%,3.16%,9.19%,6.97%,5.59%,1.31%,9.23%,7.63%,6.87%,-0.82%,9.80%,11.83%,10.78%,8.58%,12.78%,11.20%,11.20%,5.58%
41,D&A For EBITDA,0.65,0.38,0.65,0.65,0.7,1.14,0.7,0.7,0.88,0.69,0.88,0.88,0.7,1.01,0.7,0.7,0.65,0.65,0.65,0.62
42,EBIT,23.66,24.81,29.6,3.56,45.22,31.78,23.19,4.45,30.5,32.25,19.27,-3.66,32.43,26.94,27.68,24.54,41.05,32.49,32.49,30.41
43,EBIT Margin,5.39%,6.44%,7.97%,2.67%,9.05%,6.73%,5.43%,1.13%,8.97%,7.47%,6.57%,-1.08%,9.60%,11.40%,10.51%,8.34%,12.58%,10.98%,10.98%,5.47%
44,Effective Tax Rate,7.58%,9.86%,13.19%,-,16.16%,15.37%,12.30%,22.73%,10.47%,11.83%,15.12%,365.70%,14.50%,16.09%,18.02%,11.61%,18.42%,19.09%,19.09%,21.05%
45,Revenue as Reported,439.05,385.32,371.57,133.09,499.79,472.22,427.33,394.48,339.87,431.59,293.31,338.2,337.91,236.28,263.32,294.24,918.02,-,-,-
