,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
14,EV/FCF Ratio,213.37,-,-,-,-54.44,-11.06,-5.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.32,0.32,0.24,0.16,0.21,0.25,0.34,0.30,0.12,0.36,0.34,0.31,0.31,-,-,-,-,-,-,-,-
16,Debt / EBITDA Ratio,4.97,3.24,3.86,4.23,2.70,3.29,4.72,5.76,1.54,1.26,1.97,1.67,1.59,-,-,-,-,-,-,-,-
17,Debt / FCF Ratio,41.73,-,-,-,-10.05,-2.08,-1.44,-,-,-,-,-,1.75,-,-,-,-,-,-,-,-
18,Asset Turnover,1.14,1.14,0.78,0.78,0.78,0.86,0.68,0.80,1.88,-,-,-,1.59,1.87,1.57,-,2.00,-,-,-,
19,Inventory Turnover,3.05,3.79,4.04,2.66,2.47,2.31,2.65,2.66,3.39,7.56,-,-,-,9.89,10.88,7.77,-,10.52,-,-,-
20,Quick Ratio,1.94,1.94,2.25,3.03,2.89,2.60,2.14,2.27,3.79,0.88,1.04,-,1.31,2.31,2.31,1.76,1.76,1.54,1.54,-,-
21,Current Ratio,3.07,3.07,3.62,4.73,4.61,4.12,3.54,4.04,5.69,1.97,2.08,-,2.07,2.87,2.87,2.47,2.47,2.12,2.12,-,-
22,Return on Equity (ROE),4.43%,3.66%,2.75%,5.10%,4.54%,3.54%,2.83%,9.95%,22.51%,14.29%,9.97%,-,15.29%,17.98%,18.69%,-,15.54%,-,-,-,
23,Return on Assets (ROA),3.64%,1.67%,1.10%,2.58%,2.80%,2.47%,1.86%,3.85%,10.08%,-,-,-,8.67%,10.18%,11.63%,-,8.50%,-,-,-,
24,Return on Capital (ROIC),4.14%,1.90%,1.23%,2.84%,3.04%,2.64%,2.01%,4.40%,12.18%,6.63%,7.46%,-,11.86%,13.95%,15.96%,-,12.24%,-,-,-,
25,Return on Capital Employed (ROCE),4.19%,4.48%,4.06%,4.42%,4.79%,4.92%,6.18%,6.21%,7.08%,15.03%,11.34%,-,8.40%,18.44%,16.82%,21.68%,20.06%,20.28%,15.39%,-,-
26,Earnings Yield,2.36%,3.06%,3.91%,3.36%,2.85%,2.97%,3.71%,3.73%,4.03%,-,-,-,-,-,-,-,-,-,-,-,-
27,FCF Yield,0.44%,0.56%,10.19%,15.23%,-1.49%,-7.92%,-15.10%,-17.50%,-5.97%,-,-,-,-,-,-,-,-,-,-,-,-
28,Dividend Yield,0.73%,-,2.85%,-,1.68%,-,-,-,1.47%,-,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,73.69%,9.83%,276.16%,22.46%,21.49%,49.00%,270.48%,20.49%,9.93%,3.50%,11.15%,12.96%,10.28%,2.68%,2.68%,-,-,27.47%,27.47%,7.69%,7.69%
30,Buyback Yield / Dilution,-1.19%,4.19%,6.66%,-2.80%,-15.63%,-35.31%,-38.49%,-28.61%,-10.68%,-10.54%,-11.29%,-14.34%,-12.89%,-1.46%,-1.46%,7.83%,7.83%,-,-,-,-
31,Total Shareholder Return,-0.45%,4.19%,9.51%,-2.80%,-13.95%,-35.31%,-38.49%,-28.61%,-9.21%,-10.54%,-11.29%,-14.34%,-12.89%,-1.46%,-1.46%,7.83%,7.83%,-,-,-,-
