,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
9,Operating Expenses,101.19,24.93,30,16.54,21.7,32.64,32.4,32.15,38.13,28.78,37.04,25.36,22.17,19.79,24.08,24.85,15.07,28.68
10,Operating Income,17.28,-2.72,-0.88,-1.02,12.98,-7.35,-11.31,-13.38,-21.87,-3.76,41.48,13.78,20.53,7.4,44.56,-2,10.45,25.61
11,Interest Expense,-11.3,-0.09,-0.11,-0.14,-0.12,-0.14,-0.16,-0.18,-0.12,-0.1,-0.24,-,-0.12,-0.12,-0.26,-,-,-
12,Interest & Investment Income,0.33,3.13,3.64,4.53,6.09,4.77,4.38,4.16,4.5,4.67,4.48,1.03,0.43,0.85,0.69,0.58,0.69,0.22
13,Currency Exchange Gain (Loss),-,-0.52,0.52,-,0.72,-1.99,1.99,-,2.23,-1.14,1.14,-,-0.26,0.08,-0.08,-,-0.46,-
14,Other Non Operating Income (Expenses),1.01,-1.27,-0.13,0.12,-1.63,1.9,-0.46,-0.51,-2.84,2.82,-3.78,3.72,0.31,-0.34,-0.04,0.03,0.06,0.09
15,EBT Excluding Unusual Items,7.32,-1.46,3.04,3.48,18.03,-2.81,-5.55,-9.9,-18.1,2.5,43.09,18.53,20.89,7.86,44.86,-1.39,10.75,25.92
16,Gain (Loss) on Sale of Assets,-0,0.02,-0.02,-,2.68,0.03,0.04,0.39,-0.04,-,-,-,-0.01,0,-0,-,-,-
17,Asset Writedown,2.76,-2.76,1.35,-1.35,2.13,-2.12,1.19,-1.19,3,-3,0.2,-0.46,1.08,-1.08,0.23,-0.23,0.72,0.08
18,Other Unusual Items,0.23,-0.73,0.46,0.04,0.63,0,-0,-,11.17,2.27,-2.27,-,1.1,0.2,-0.2,-,0.09,-
19,Pretax Income,10.31,-4.93,4.83,2.17,23.48,-4.89,-4.32,-10.7,-3.97,1.77,41.02,18.07,23.06,6.99,44.88,-1.62,11.56,26
20,Income Tax Expense,-0.04,-1.84,-0.39,-0.64,2.39,-2.66,-4.68,-0.47,-2.65,-1.39,4.68,2.22,2.41,-0.69,5.71,-0.15,-2.3,4.57
21,Net Income,10.35,-3.09,5.22,2.81,21.09,-2.24,0.36,-10.23,-1.32,3.16,36.34,15.85,20.65,7.68,39.17,-1.46,13.86,21.43
22,Net Income to Common,10.35,-3.09,5.22,2.81,21.09,-2.24,0.36,-10.23,-1.32,3.16,36.34,15.85,20.65,7.68,39.17,-1.46,13.86,21.43
23,Net Income Growth,-50.94%,-,1368.61%,-,-,-,-99.02%,-,-,-58.79%,-7.24%,-,49.01%,-64.17%,-,-,-,-
24,Shares Outstanding (Basic),81,51,64,70,75,70,63,68,69,65,68,50,51,49,45,49,47,-
25,Shares Outstanding (Diluted),81,51,64,70,75,70,63,68,69,66,84,50,51,49,52,49,47,-
26,Shares Change (YoY),8.12%,-27.01%,0.32%,2.91%,8.49%,5.90%,-24.74%,37.65%,35.24%,35.01%,62.78%,1.52%,8.56%,-,-,-,-,-
27,EPS (Basic),0.13,-0.06,0.08,0.04,0.28,-0.03,0.01,-0.15,-0.02,0.05,0.54,0.32,0.41,0.16,0.86,-0.03,0.30,-
28,EPS (Diluted),0.13,-0.06,0.08,0.04,0.28,-0.03,0.01,-0.15,-0.02,0.05,0.43,0.32,0.41,0.16,0.76,-0.03,0.30,-
29,EPS Growth,-54.62%,-,1364.10%,-,-,-,-98.70%,-,-,-69.48%,-43.02%,-,37.26%,-,-,-,-,-
30,Free Cash Flow,-,-33.02,-8.58,-17.19,-20.09,-17.93,-5.13,-58.85,-4.04,4.93,-21.15,-29.4,4.04,-27.24,-9.22,-42.38,44.62,-13.76
31,Free Cash Flow Per Share,-,-0.64,-0.13,-0.25,-0.27,-0.26,-0.08,-0.86,-0.06,0.07,-0.25,-0.59,0.08,-0.56,-0.18,-0.87,0.95,-
32,Dividend Per Share,-,-,-,-,0.130,-,-,-,0.450,-,-,-,-,-,-,-,-,-
33,Dividend Growth,-,-,-,-,-71.11%,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,169.57%,56.86%,58.08%,59.11%,59.82%,60.37%,56.77%,60.12%,42.44%,72.02%,68.70%,71.27%,62.60%,73.33%,80.67%,71.65%,68.75%,79.74%
35,Operating Margin,24.73%,-6.95%,-1.75%,-3.91%,22.39%,-17.55%,-30.43%,-42.83%,-57.05%,-10.82%,36.29%,25.09%,30.10%,19.95%,52.37%,-6.28%,28.15%,37.61%
36,Profit Margin,14.81%,-7.92%,10.41%,10.69%,36.37%,-5.34%,0.96%,-32.74%,-3.44%,9.11%,31.79%,28.85%,30.28%,20.71%,46.04%,-4.59%,37.33%,31.47%
37,Free Cash Flow Margin,-,-84.51%,-17.12%,-65.51%,-34.65%,-42.82%,-13.80%,-188.46%,-10.53%,14.20%,-18.50%,-53.53%,5.92%,-73.50%,-10.83%,-132.92%,120.18%,-20.21%
38,EBITDA,18.19,-1.81,0.21,-0.12,13.89,-6.55,-9.96,-12.57,-21.06,-3.27,42.28,14.27,21.02,7.89,45.14,-1.51,10.94,26.03
39,EBITDA Margin,26.03%,-4.63%,0.42%,-0.45%,23.95%,-15.63%,-26.81%,-40.26%,-54.95%,-9.41%,36.99%,25.98%,30.82%,21.28%,53.05%,-4.73%,29.48%,38.24%
40,D&A For EBITDA,0.91,0.91,1.09,0.91,0.91,0.8,1.35,0.8,0.8,0.49,0.8,0.49,0.49,0.49,0.58,0.49,0.49,0.42
41,EBIT,17.28,-2.72,-0.88,-1.02,12.98,-7.35,-11.31,-13.38,-21.87,-3.76,41.48,13.78,20.53,7.4,44.56,-2,10.45,25.61
42,EBIT Margin,24.73%,-6.95%,-1.75%,-3.91%,22.39%,-17.55%,-30.43%,-42.83%,-57.05%,-10.81%,36.29%,25.09%,30.10%,19.95%,52.37%,-6.28%,28.15%,37.61%
43,Effective Tax Rate,-,-,-,-,10.18%,-,-,-,-,-,11.41%,12.29%,10.45%,-,12.72%,-,-,17.59%
44,Revenue as Reported,-,39.07,50.14,26.24,57.98,41.89,37.15,31.23,38.33,34.74,114.29,54.92,68.2,37.07,85.09,31.88,37.12,68.09
