,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
11,EV/EBITDA Ratio,110.80,118.33,-,82.25,-,-94.89,-,-,-,-,-,19.20,30.99,-,-,-,-,-,-
12,EV/EBIT Ratio,142.52,153.88,-,-,-,-75.65,-,-,-,-,-,19.72,31.72,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-39.72,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.10,0.11,0.11,0.11,0.02,0.01,0.01,0.01,0.03,0.03,0.16,0.06,0.06,-
15,Debt / EBITDA Ratio,0.98,0.22,-,1.53,-,1.72,-,-,-,-,-,0.08,0.16,0.10,0.32,0.25,-,0.28,-
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-0.26,-,-,-0.13,-,-,-,0.39,-
17,Asset Turnover,-,0.12,0.15,0.08,0.16,0.12,0.10,0.09,0.11,0.10,0.33,0.25,0.77,0.41,-,-,-,-,
18,Inventory Turnover,-,-,1.33,1.61,0.81,1.68,1.10,1.06,0.92,1.85,0.89,3.33,1.60,2.81,1.06,-,-,-,-
19,Quick Ratio,-,-,18.35,18.32,28.19,8.30,7.78,8.48,8.33,25.26,38.83,26.18,38.41,7.96,9.99,4.15,-,2.35,-
20,Current Ratio,-,-,19.32,19.24,29.74,8.69,8.20,8.95,8.73,26.32,40.36,27.08,39.97,9.09,11.76,4.66,-,2.54,-
21,Return on Equity (ROE),3.27%,-0.98%,1.64%,0.88%,6.55%,-0.69%,0.11%,-3.08%,-0.39%,0.95%,10.97%,7.69%,26.04%,10.18%,64.06%,-3.05%,-,-,
22,Return on Assets (ROA),-,-0.51%,-0.17%,-0.19%,2.24%,-1.26%,-1.92%,-2.32%,-3.95%,-0.68%,7.55%,3.98%,14.41%,5.11%,-,-,-,-,
23,Return on Capital (ROIC),3.37%,-0.53%,-0.17%,-0.19%,2.28%,-1.29%,-1.95%,-2.37%,-4.04%,-0.70%,7.76%,4.13%,15.69%,5.60%,40.69%,-2.45%,-,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-1.47%,-,-,-,-,-,6.22%,6.50%,20.98%,19.20%,25.62%,-,18.65%,-
25,Earnings Yield,0.57%,0.54%,1.06%,1.75%,1.46%,0.39%,-0.63%,-0.31%,1.08%,2.09%,2.88%,3.00%,2.94%,-,-,-,-,-,-
26,FCF Yield,-,-3.22%,-4.16%,-4.00%,-4.41%,-4.05%,-2.45%,-3.06%,-1.92%,-1.57%,-2.75%,-2.18%,-,-,-,-,-,-,
27,Dividend Yield,0.31%,-,-,-,-,0.38%,-,-,-,1.19%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,162.02%,-,-,-,8439.12%,-,-,30.77%,79.89%,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,3.87%,-8.12%,27.01%,-0.32%,-2.91%,-8.49%,-5.90%,24.74%,-37.65%,-35.24%,-35.01%,-62.78%,-1.52%,-8.56%,-,-,-,-,-
30,Total Shareholder Return,4.18%,-8.12%,27.01%,-0.32%,-2.91%,-8.11%,-5.90%,24.74%,-37.65%,-34.04%,-35.01%,-62.78%,-1.52%,-8.56%,-,-,-,-,-
