,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
15,Long-Term Deferred Tax Assets,15.11,14.66,13.27,12.43,13.1,12.35,11.7,11.29,10.1,-,-,9.43
16,Long-Term Deferred Charges,3.66,4.14,4.19,4.28,4.4,2.69,3.06,3.36,3.09,-,-,3.34
17,Other Long-Term Assets,19.01,23.3,14.98,16.82,13.66,21.17,31.17,21.24,-,-,-,0.1
18,Total Assets,1216,1222,1269,1257,1262,1270,1280,1272,736.96,-,-,685.53
19,Accounts Payable,60.37,70.68,83.85,75.86,59.54,44.76,54.67,58.03,51.32,-,-,45.9
20,Accrued Expenses,13.21,13.08,9.21,20.91,12.1,9.19,7.28,19.62,7.82,-,-,24.83
21,Short-Term Debt,20.01,12.58,8.88,2.59,-,30.03,37.45,47.64,93.48,-,-,83.42
22,Current Portion of Leases,3.76,4.56,4.71,5.35,-,0.08,-,-,-,-,-,-
23,Current Income Taxes Payable,2.37,0.15,9.32,3.54,4.07,1.62,3.04,1.58,4.49,-,-,5.16
24,Current Unearned Revenue,74.53,64.99,62.97,45.62,76.14,70.77,78.44,56.59,87.15,-,-,104.66
25,Other Current Liabilities,25.47,24.42,34.36,24.77,40.19,62.41,58.18,46.77,62.87,-,-,47.34
26,Total Current Liabilities,199.7,190.46,213.29,178.64,192.03,218.86,239.05,230.25,307.13,-,-,311.31
27,Long-Term Leases,2.79,0.73,1.73,2.46,7.36,6.83,7.8,7.96,4.99,-,-,5.7
28,Long-Term Unearned Revenue,43.29,44.47,46.59,47.67,48.7,41.35,33.03,31.17,32.85,-,-,22.84
29,Long-Term Deferred Tax Liabilities,0.05,0.04,0.05,0.05,0.14,0.19,0.3,0.3,0.41,-,-,0.69
30,Other Long-Term Liabilities,7.5,8.47,9.27,10.03,9.59,11.43,13.99,13.29,12.14,-,-,11.97
31,Total Liabilities,253.32,244.16,270.94,238.84,257.81,278.66,294.17,282.97,357.52,-,-,352.52
32,Common Stock,71.64,71.64,71.64,71.64,71.64,71.64,71.64,71.64,53.73,-,-,53.73
33,Additional Paid-In Capital,661.76,661.48,661.19,660.91,660.62,660.34,660.05,659.77,72.81,-,-,71.96
34,Retained Earnings,221.11,235.67,257.8,277.44,262.82,259.65,254.41,257.67,252.9,-,-,207.32
35,Total Common Equity,954.52,968.79,990.64,1010,995.09,991.63,986.11,989.08,379.44,-,333.01,333.01
36,Minority Interest,8.62,8.99,7.74,8.5,9.12,-,-,-,-,-,-,-
37,Shareholders' Equity,963.13,977.78,998.38,1018,1004,991.63,986.11,989.08,379.44,-,333.01,333.01
38,Total Liabilities & Equity,1216,1222,1269,1257,1262,1270,1280,1272,736.96,-,-,685.53
39,Total Debt,26.56,17.87,15.32,10.4,7.36,36.94,45.25,55.6,98.47,-,89.12,89.12
40,Net Cash (Debt),225.64,262.24,316.48,339.84,371.39,410.66,461.34,518.33,-71.32,-,-47.55,-47.55
41,Net Cash Growth,-39.24%,-36.14%,-31.40%,-34.44%,-,-,-,-,-,-,-,-
42,Net Cash Per Share,3.26,3.66,4.35,5.07,4.93,5.38,7.09,7.89,-1.35,-,-0.88,-0.88
43,Filing Date Shares Outstanding,71.64,71.64,71.64,71.64,71.64,71.64,71.64,71.64,52.86,53.46,54.32,53.73
44,Total Common Shares Outstanding,71.64,71.64,71.64,71.64,71.64,71.64,71.64,71.64,52.86,53.46,54.32,53.73
45,Working Capital,598.17,620.84,662.88,702.01,734.34,730.69,758.19,798.41,224,-,-,174.14
46,Book Value Per Share,13.32,13.52,13.83,14.10,13.89,13.84,13.76,13.81,7.08,-,6.20,6.20
47,Tangible Book Value,888.91,902.55,923.72,942.33,926.58,928.8,922.67,925.03,315.66,-,268.68,268.68
48,Tangible Book Value Per Share,12.41,12.60,12.89,13.15,12.93,12.96,12.88,12.91,5.89,-,5.00,5.00
49,Buildings,-,144.39,-,51.91,-,51.91,-,51.91,-,-,-,51.91
50,Machinery,-,124.35,-,123.03,-,77.96,-,81.85,-,-,-,81.09
51,Construction In Progress,-,73.73,-,136.7,-,88.25,-,23.44,-,-,-,9.33
