,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
15,Other Long-Term Assets,-,15.73,16.92,16.42,19.02,42.82,7.25,44.78,55.91,19.65,16.97,11.77,11.77,-,11.77,-,10.06,9.77
16,Total Assets,-,862.83,857.88,865.06,867.14,864.4,856.7,860.53,869.13,854.28,843.08,851.13,347.59,-,283.63,-,276.95,204.32
17,Accounts Payable,-,22.69,7.94,16.02,12.5,16.38,7.12,16.96,18.42,29.97,20.48,25.49,34.66,-,25.68,-,21.38,15.06
18,Accrued Expenses,-,1.29,13.57,1.36,11.57,1.34,14.33,3.46,15.04,4.11,9.69,6.32,21.44,-,2.48,-,14.72,6.02
19,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7
20,Current Portion of Leases,-,1.41,1.8,1.84,1.88,1.73,0.12,0.48,0.72,1.19,-,0.36,0.72,-,1.42,-,-,-
21,Current Income Taxes Payable,-,0.13,-,1.78,2.08,1.65,0.46,0.04,2.27,0.55,0.98,0.89,2.8,-,-,-,-,-
22,Current Unearned Revenue,-,2.69,2.06,3.05,1.53,1.5,0.28,0.25,0.25,2.21,0.84,0.09,0.2,-,0.03,-,0.1,0.79
23,Other Current Liabilities,-,0.26,0.53,0.29,0.28,7.23,7.93,5.87,2.34,0.29,1.35,0.01,0.1,-,0.19,-,0.05,0.89
24,Total Current Liabilities,-,28.46,25.9,24.33,29.84,29.85,30.24,27.05,39.03,38.32,33.34,33.17,59.92,-,29.8,-,43.24,29.76
25,Long-Term Leases,-,-,0.07,0.49,0.93,1.3,-,0.06,-,-,-,-,-,-,-,-,-,-
26,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,-
27,Total Liabilities,-,28.46,25.97,24.82,30.77,31.15,30.24,27.11,39.03,38.32,33.34,33.17,59.92,-,29.8,-,44.74,29.76
28,Common Stock,-,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,62.83,-,62.83,-,62.83,62.83
29,Additional Paid-In Capital,-,594.66,594.66,594.66,594.66,594.66,594.66,594.66,594.66,594.66,594.66,594.66,95,-,95,-,95,95
30,Retained Earnings,-,155.94,153.48,161.81,157.93,154.82,148.03,154.99,151.66,137.53,131.31,139.53,129.84,-,96,-,74.38,16.72
31,Shareholders' Equity,834.37,834.37,831.91,840.24,836.37,833.26,826.46,833.43,830.09,815.96,809.74,817.96,287.67,-,253.83,232.22,232.22,174.56
32,Total Liabilities & Equity,-,862.83,857.88,865.06,867.14,864.4,856.7,860.53,869.13,854.28,843.08,851.13,347.59,-,283.63,-,276.95,204.32
33,Total Debt,1.41,1.41,1.87,2.33,2.8,3.04,0.12,0.54,0.72,1.19,-,0.36,0.72,-,1.42,7,7,7
34,Net Cash (Debt),565.34,565.34,566.96,577.26,581.49,574.64,607.8,595.08,598.13,631.51,648.09,662.66,144.58,-,137.82,127.64,127.64,97.82
35,Net Cash Growth,-2.78%,-1.62%,-6.72%,-2.99%,-2.78%,-9.01%,-6.22%,-10.20%,313.71%,-,370.23%,419.16%,13.27%,-,-,-,-,-
36,Net Cash Per Share,6.91,7.32,5.36,7.45,6.14,6.66,7.74,7.14,7.13,7.35,7.72,8.89,2.26,-,2.19,1.99,2.07,1.61
37,Filing Date Shares Outstanding,82.69,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,60.94,62.83,64.17,62.83,62.83
38,Total Common Shares Outstanding,82.69,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,83.77,62.83,60.94,62.83,64.17,62.83,62.83
39,Working Capital,-,683.57,689.16,708.64,707.79,715.5,731.54,739.34,737.6,770.95,770.21,803.13,272.59,-,238.56,-,221.52,162.72
40,Book Value Per Share,9.96,9.96,9.93,10.03,9.98,9.95,9.87,9.95,9.91,9.74,9.67,9.76,4.58,-,4.04,3.70,3.70,2.78
41,Tangible Book Value,822.73,822.73,820.2,828.47,824.52,821.35,814.48,821.38,817.97,815.89,809.66,817.87,287.56,-,253.7,232.06,232.06,174.36
42,Tangible Book Value Per Share,9.82,9.82,9.79,9.89,9.84,9.80,9.72,9.80,9.76,9.74,9.66,9.76,4.58,-,4.04,3.69,3.69,2.78
43,Buildings,-,-,8.56,-,8.56,-,-,-,-,-,-,-,-,-,-,-,-,-
44,Machinery,-,-,3.34,-,3.08,-,3.07,-,3.09,-,3.05,-,2.94,-,2.95,-,-,2.3
45,Construction In Progress,-,-,79.2,-,62.3,-,51.32,-,-,-,-,-,-,-,-,-,-,-
