,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
13,Gain (Loss) on Sale of Assets,-,-,-,-,-0,0,-0,-,-0,0,-0,-,-,-,-,-,-,-
14,Asset Writedown,-0.17,0.17,-0,0,0.38,-0.38,0.2,-0.2,-,-,0.32,-0.32,0.18,-0.18,-,-,-,-
15,Other Unusual Items,0,-0.24,0.23,-,0.79,0.28,-0.28,-,11.79,-0.02,0.02,-,4.38,-0.14,0.14,-,5.46,-
16,Pretax Income,8.04,2.6,-1.78,4.44,4.22,7.36,5.36,3.67,15.83,6.99,10.29,11.08,22.47,16.24,14.12,7.6,25.7,6.82
17,Income Tax Expense,1.27,0.14,-0.65,0.57,1.11,0.56,0.6,0.33,1.7,0.77,1.76,1.39,3.38,1.49,-0.44,0.54,2.15,0.81
18,Net Income,6.77,2.46,-1.13,3.87,3.11,6.8,4.76,3.33,14.13,6.22,8.53,9.69,19.09,14.75,14.56,7.06,23.55,6.01
19,Net Income to Common,6.77,2.46,-1.13,3.87,3.11,6.8,4.76,3.33,14.13,6.22,8.53,9.69,19.09,14.75,14.56,7.06,23.55,6.01
20,Net Income Growth,117.67%,-63.80%,-,16.19%,-77.99%,9.28%,-44.21%,-65.59%,-25.97%,-57.83%,-41.37%,37.28%,-18.95%,145.52%,-,-,-,-
21,Shares Outstanding (Basic),82,77,106,77,95,86,79,83,84,86,84,75,64,61,63,64,62,61
22,Shares Outstanding (Diluted),82,77,106,77,95,86,79,83,84,86,84,75,64,61,63,64,62,61
23,Shares Change (YoY),-13.58%,-10.49%,34.56%,-7.04%,12.93%,0.38%,-6.42%,11.85%,31.10%,41.07%,33.28%,16.16%,3.78%,-0.01%,-,-,-,-
24,EPS (Basic),0.08,0.03,-0.01,0.05,0.03,0.08,0.06,0.04,0.17,0.07,0.10,0.13,0.30,0.24,0.23,0.11,0.38,0.10
25,EPS (Diluted),0.08,0.03,-0.01,0.05,0.03,0.08,0.06,0.04,0.17,0.07,0.10,0.13,0.30,0.24,0.23,0.11,0.38,0.10
26,EPS Growth,151.88%,-59.55%,-,25.00%,-80.51%,8.87%,-40.39%,-69.23%,-43.53%,-70.11%,-56.01%,18.18%,-21.91%,145.55%,-,-,-,-
27,Free Cash Flow,-,-3.95,-4.23,-6.97,8.33,-32.21,22.95,-4.5,-34.61,-14.17,24.12,-4.95,2.92,3.94,-1.74,3.84,19.93,-2.97
28,Free Cash Flow Per Share,-,-0.05,-0.04,-0.09,0.09,-0.37,0.29,-0.05,-0.41,-0.16,0.29,-0.07,0.05,0.06,-0.03,0.06,0.32,-0.05
29,Dividend Per Share,-,-,-,-,0.086,-,-,-,0.140,-,-,-,0.200,-,-,-,-,-
30,Dividend Growth,-,-,-,-,-38.57%,-,-,-,-30.00%,-,-,-,-,-,-,-,-,-
31,Gross Margin,212.35%,37.27%,43.01%,40.00%,35.57%,39.63%,34.04%,25.76%,42.28%,37.35%,41.49%,39.20%,44.08%,70.47%,62.42%,62.69%,56.33%,70.60%
32,Operating Margin,39.19%,2.94%,-19.07%,11.72%,1.71%,15.91%,6.86%,7.14%,14.89%,14.39%,18.23%,6.37%,18.59%,51.68%,40.49%,37.54%,36.73%,39.58%
33,Profit Margin,19.92%,9.68%,-6.69%,18.38%,8.40%,21.22%,15.60%,16.25%,23.55%,18.17%,31.28%,54.04%,20.11%,47.42%,44.57%,37.43%,39.81%,37.42%
34,Free Cash Flow Margin,-,-15.56%,-25.13%,-33.06%,22.50%,-100.55%,75.21%,-21.91%,-57.68%,-41.41%,88.41%,-27.58%,3.08%,12.66%,-5.34%,20.36%,33.70%,-18.49%
35,EBITDA,13.42,0.84,-3.07,2.57,0.73,5.25,2.24,1.62,9.09,5.09,5.13,1.31,17.82,16.23,13.38,7.24,21.88,6.48
36,EBITDA Margin,39.47%,3.32%,-18.20%,12.17%,1.96%,16.40%,7.35%,7.91%,15.15%,14.87%,18.79%,7.30%,18.77%,52.19%,40.97%,38.38%,36.98%,40.39%
37,D&A For EBITDA,0.1,0.1,0.15,0.1,0.1,0.16,0.15,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.16,0.16,0.15,0.13
38,EBIT,13.32,0.75,-3.21,2.47,0.63,5.1,2.09,1.47,8.94,4.93,4.97,1.14,17.65,16.07,13.22,7.08,21.73,6.35
39,EBIT Margin,39.19%,2.94%,-19.07%,11.72%,1.71%,15.91%,6.86%,7.14%,14.89%,14.39%,18.23%,6.37%,18.59%,51.68%,40.49%,37.54%,36.73%,39.58%
40,Effective Tax Rate,15.82%,5.45%,-,12.73%,26.29%,7.65%,11.21%,9.01%,10.72%,10.98%,17.10%,12.57%,15.03%,9.19%,-,7.13%,8.35%,11.87%
41,Revenue as Reported,-,-,-,-,-,-,-,-,-,79.45,-,-,-,-,-,-,59.16,-
