,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
18,Inventory Turnover,-,-,3.13,2.09,2.79,4.78,4.21,4.09,3.05,7.37,4.62,4.25,2.71,-,-,-,-,-,-
19,Quick Ratio,-,-,23.85,26.59,29.04,23.68,24.01,24.44,27.07,19.09,20.35,23.55,24.41,5.13,-,8.38,-,5.80,6.01
20,Current Ratio,-,-,25.02,27.61,30.13,24.72,24.97,25.19,28.33,19.90,21.12,24.10,25.22,5.55,-,9.01,-,6.12,6.47
21,Return on Equity (ROE),3.25%,1.18%,-0.54%,1.85%,1.49%,3.28%,2.29%,1.60%,6.87%,3.06%,4.19%,7.01%,-,-,23.96%,12.16%,-,-,
22,Return on Assets (ROA),-,0.22%,-0.93%,0.71%,0.18%,1.48%,0.61%,0.42%,2.59%,1.45%,1.47%,0.48%,-,-,-,-,-,-,
23,Return on Capital (ROIC),3.98%,0.22%,-0.96%,0.73%,0.19%,1.53%,0.63%,0.44%,2.71%,1.51%,1.53%,0.52%,-,-,13.37%,7.40%,-,-,
24,Return on Capital Employed (ROCE),-,-,0.08%,-,1.22%,1.11%,2.11%,2.11%,2.44%,2.41%,3.52%,4.92%,5.88%,18.78%,-,19.06%,-,12.02%,3.64%
25,Earnings Yield,0.73%,0.85%,0.61%,1.00%,1.34%,0.96%,1.50%,1.39%,1.62%,2.42%,2.78%,2.65%,2.60%,-,-,-,-,-,-
26,FCF Yield,-,-0.50%,-2.78%,-0.57%,-0.29%,-2.50%,-1.48%,-1.47%,-1.86%,0.51%,1.33%,0.01%,-,-,-,-,-,-,
27,Dividend Yield,0.43%,-,-,-,-,0.38%,-,-,-,0.75%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,-,-,246.34%,-,-,-,196.32%,-,-,-,0.48%,-,0.29%,335.07%
29,Buyback Yield / Dilution,0.19%,13.58%,10.49%,-34.56%,7.04%,-12.93%,-0.38%,6.42%,-11.85%,-31.10%,-41.07%,-33.28%,-16.16%,-3.78%,0.01%,-,-,-,-
30,Total Shareholder Return,0.62%,13.58%,10.49%,-34.56%,7.04%,-12.55%,-0.38%,6.42%,-11.85%,-30.36%,-41.07%,-33.28%,-16.16%,-3.78%,0.01%,-,-,-,-
