,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
23,Shares Outstanding (Basic),227,224,270,220,233,206,191,167,167,184,180,180
24,Shares Outstanding (Diluted),227,224,270,220,233,206,191,167,167,184,180,180
25,Shares Change (YoY),-2.28%,8.45%,41.80%,31.89%,38.94%,12.27%,5.91%,-7.21%,-,-,-,-
26,EPS (Basic),0.14,0.17,0.12,-0.02,0.05,0.04,0.11,0.05,0.17,-0.05,0.08,0.08
27,EPS (Diluted),0.14,0.17,0.12,-0.02,0.05,0.04,0.11,0.05,0.17,-0.05,0.08,0.08
28,EPS Growth,170.57%,283.27%,9.25%,-,-68.70%,-,27.35%,-40.09%,-,-,-,-
29,Free Cash Flow,-,51.77,-6.31,3.09,52.44,41.83,16.19,-6.86,59.55,-21.35,-17.28,-17.28
30,Free Cash Flow Per Share,-,0.23,-0.02,0.01,0.23,0.20,0.08,-0.04,0.36,-0.12,-0.10,-0.10
31,Dividend Per Share,-,-,-,-,0.073,-,-,-,-,-,-,-
32,Gross Margin,-73.17%,52.54%,45.81%,44.14%,43.63%,42.30%,45.90%,42.89%,40.33%,40.20%,40.75%,40.75%
33,Operating Margin,21.01%,14.58%,7.67%,-5.35%,-6.82%,0.18%,11.58%,2.75%,2.98%,-7.09%,6.63%,6.63%
34,Profit Margin,12.54%,16.82%,15.38%,-2.73%,7.62%,5.70%,11.74%,5.71%,16.14%,-7.63%,9.19%,9.19%
35,Free Cash Flow Margin,-,23.35%,-3.09%,1.92%,32.78%,26.59%,9.38%,-4.69%,34.30%,-19.63%,-10.57%,-10.57%
36,EBITDA,58.34,36.71,20.4,-4.26,-6.53,4.91,24.69,8.65,9.82,-3.11,15.45,15.45
37,EBITDA Margin,22.71%,16.56%,10.00%,-2.64%,-4.08%,3.12%,14.30%,5.92%,5.65%,-2.86%,9.45%,9.45%
38,D&A For EBITDA,4.38,4.38,4.74,4.38,4.38,4.63,4.69,4.63,4.63,4.6,4.6,4.6
39,EBIT,53.96,32.33,15.66,-8.64,-10.91,0.28,19.99,4.02,5.18,-7.71,10.84,10.84
40,EBIT Margin,21.01%,14.58%,7.67%,-5.35%,-6.82%,0.18%,11.58%,2.75%,2.98%,-7.09%,6.63%,6.63%
41,Effective Tax Rate,-,-,-,-,-,3.48%,-,11.75%,-,-,4.11%,4.11%
42,Revenue as Reported,-,221.7,204.1,161.47,159.97,157.33,172.6,146.2,173.63,108.75,163.46,163.46
