,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
37,Net Cash (Debt),436.53,527.94,617.78,708.95,710.51,683.07,765.51,813.35,640.04,-,33.34,33.34
38,Net Cash Growth,-38.56%,-22.71%,-19.30%,-12.84%,11.01%,-,2195.74%,2339.23%,-,-,-,-
39,Net Cash Per Share,5.49,6.65,7.73,8.65,8.88,8.54,9.57,10.17,9.60,-,0.56,0.56
40,Filing Date Shares Outstanding,79.15,79.15,79.28,80,80,80,80,80,80,60,60.01,60
41,Total Common Shares Outstanding,79.15,79.15,79.28,80,80,80,80,80,80,60,60.01,60
42,Working Capital,1100,1085,1182,1195,1154,1150,1176,1166,1198,-,-,238.99
43,Book Value Per Share,19.36,19.18,19.40,19.21,18.23,18.20,17.90,17.67,17.23,-,5.92,5.92
44,Tangible Book Value,1509,1495,1516,1515,1437,1434,1410,1391,1357,-,335.44,335.44
45,Tangible Book Value Per Share,19.07,18.89,19.12,18.94,17.96,17.92,17.62,17.38,16.96,-,5.59,5.59
46,Buildings,-,227.65,-,107.16,-,100.69,-,91.93,-,-,-,-
47,Machinery,-,161.13,-,121.65,-,120.93,-,109.74,-,-,-,36.8
48,Construction In Progress,-,19.74,-,102.47,-,58.96,-,28.87,-,-,-,43.13
