,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
17,Debt / FCF Ratio,0.12,0.12,0.18,-,0.05,0.07,0.08,0.09,-,-0.02,-,-,-0.05,-,-,-,-,-,-,-
18,Asset Turnover,0.51,0.55,0.43,0.51,0.49,0.50,0.38,0.44,0.46,0.46,0.37,0.49,0.49,0.56,0.58,-,-,-,-,
19,Inventory Turnover,2.42,2.36,2.66,2.15,2.66,2.23,2.46,1.87,2.17,2.21,2.48,2.13,3.11,2.99,3.11,2.51,-,-,-,-
20,Quick Ratio,5.22,5.22,7.13,8.00,8.04,6.75,6.58,7.30,7.01,9.00,8.60,9.96,9.22,11.14,10.31,5.74,4.97,-,-,-
21,Current Ratio,6.95,6.95,9.46,10.56,10.26,8.70,8.49,9.49,9.14,11.55,10.83,12.27,11.05,13.12,12.01,7.77,6.51,-,-,-
22,Return on Equity (ROE),12.19%,14.52%,10.61%,13.25%,14.13%,14.11%,8.42%,12.10%,15.86%,14.95%,9.34%,11.93%,15.60%,15.43%,18.60%,-,-,-,-,
23,Return on Assets (ROA),8.86%,7.83%,6.83%,7.71%,9.12%,7.94%,5.86%,7.35%,8.90%,7.54%,6.35%,7.84%,10.06%,9.87%,12.35%,-,-,-,-,
24,Return on Capital (ROIC),9.52%,8.29%,7.22%,8.21%,9.76%,8.48%,6.25%,7.78%,9.37%,7.94%,6.70%,8.28%,10.61%,10.50%,13.40%,-,-,-,-,
25,Return on Capital Employed (ROCE),13.17%,13.20%,13.24%,13.14%,12.41%,12.37%,12.30%,11.80%,12.00%,12.24%,12.80%,12.95%,13.66%,14.28%,13.48%,20.50%,18.98%,-,-,-
26,Earnings Yield,5.50%,5.43%,6.61%,5.09%,4.88%,4.38%,4.50%,5.05%,5.08%,4.84%,4.84%,4.21%,3.71%,5.23%,3.71%,-,-,-,-,-
27,FCF Yield,2.66%,2.62%,2.39%,2.71%,3.22%,2.69%,2.61%,1.58%,-0.11%,-0.80%,-2.60%,-2.46%,-1.12%,0.08%,2.07%,-,-,-,-,-
28,Dividend Yield,1.88%,-,3.16%,-,1.69%,-,-,-,1.44%,-,-,-,0.73%,-,-,-,-,-,-,-
29,Payout Ratio,31.35%,-,109.50%,-,-,-,93.06%,-,-,-,59.96%,-,-,-,-,-,-,-,46.23%,-
30,Buyback Yield / Dilution,-0.44%,4.75%,-15.46%,9.64%,-3.82%,2.56%,10.41%,-7.09%,4.41%,-4.45%,-15.54%,-35.34%,-29.81%,-34.20%,-10.27%,-2.23%,-,-,-,-
31,Total Shareholder Return,1.44%,4.75%,-12.29%,9.64%,-2.13%,2.56%,10.41%,-7.09%,5.85%,-4.45%,-15.54%,-35.34%,-29.08%,-34.20%,-10.27%,-2.23%,-,-,-,-
