,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
13,Long-Term Deferred Tax Assets,26.68,27.47,19.46,18.91,4.81,4.36,3.45,6.27,3.08,3.41,3.04,2.9,-,-,-
14,Long-Term Deferred Charges,7.07,7.6,7.9,8.52,8.55,9.24,8.16,5.75,6.26,6.46,6.59,7.05,-,-,-
15,Other Long-Term Assets,3.77,3.96,24.24,4.89,8.97,7.42,1.83,2.1,11.81,0.02,-,1.04,-,-,-
16,Total Assets,1371,1398,1372,1172,1172,1176,1169,1170,1129,1181,1192,552.09,-,-,-
17,Accounts Payable,138.14,186.38,109.48,84.37,74.74,81.22,79.63,82.57,69.19,92.29,86.76,67.56,-,-,-
18,Accrued Expenses,8.22,25.32,23.97,41.84,9.54,15.84,12.74,20.58,6.3,7.65,4.97,25.26,-,-,-
19,Short-Term Debt,95,50,50,-,-,-,-,-,-,-,-,-,-,-,-
20,Current Portion of Leases,3.96,10.4,10.4,10.68,10.35,10.95,7.08,7.68,7.74,7.74,-,7.74,-,-,-
21,Current Income Taxes Payable,7.32,6.58,9.81,0.06,6.6,0.01,9.46,0.3,4.04,0.24,10.39,1.8,-,-,-
22,Current Unearned Revenue,6.5,4.86,7.3,1.14,4.96,3.52,2.35,0.48,0.69,0.67,1.97,0.21,-,-,-
23,Other Current Liabilities,31.64,20.13,49.39,11.47,24.71,18.9,7.87,10.07,17.06,66.96,34.54,35.28,-,-,-
24,Total Current Liabilities,290.78,303.68,260.36,149.57,130.9,130.43,119.14,121.68,105.01,175.54,138.63,137.85,-,-,-
25,Long-Term Debt,99.5,100,100,-,-,-,-,-,-,-,-,-,-,-,-
26,Long-Term Leases,15.5,11.21,12.18,15.06,15.62,17.91,11.69,13.14,13.71,16.29,16.04,15.76,-,-,-
27,Long-Term Unearned Revenue,-,-,-,-,0.07,0.14,0.21,0.28,-,-,-,-,-,-,-
28,Long-Term Deferred Tax Liabilities,4.28,4.28,4.77,4.77,-,-,-,3.32,-,-,-,-,-,-,-
29,Other Long-Term Liabilities,-,-,-,-,0.57,-,-,-,-,-,-,-,-,-,-
30,Total Liabilities,410.07,419.17,377.31,169.4,147.16,148.48,131.03,138.41,118.71,191.83,154.67,153.61,-,-,-
31,Common Stock,103.17,103.42,105.02,103.42,103.42,103.42,102.82,102.82,102.82,102.82,73.44,55.08,-,-,-
32,Additional Paid-In Capital,735.4,737.5,736.44,735.33,736.1,733.57,725.43,725.43,725.43,725.43,754.81,167.85,-,-,-
33,Retained Earnings,140.66,155.09,173.9,172.91,191.83,197.27,208.94,203.11,181.49,160.18,208.93,175.49,-,-,-
34,Treasury Stock,-18.75,-19,-19,-7.89,-7.89,-7.89,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,0,0.23,0.6,0.3,1.84,1.25,0.6,0.64,0.31,0.53,0.49,0.05,-,-,-
36,Total Common Equity,960.47,977.24,996.97,1004,1025,1028,1038,1032,1010,988.96,1038,398.47,-,-,268.16
37,Minority Interest,0.31,1.86,-2.56,-1.72,-0.46,-0.16,-0.13,-0.14,-0.09,-,-,-,-,-,-
38,Shareholders' Equity,960.78,979.11,994.41,1002,1025,1027,1038,1032,1010,988.96,1038,398.47,-,-,268.16
39,Total Liabilities & Equity,1371,1398,1372,1172,1172,1176,1169,1170,1129,1181,1192,552.09,-,-,-
40,Total Debt,213.97,171.61,172.58,25.74,25.98,28.86,18.78,20.82,21.45,24.03,16.04,23.5,-,-,-
41,Net Cash (Debt),330.84,376.81,504.3,639.94,578.12,574.35,627.43,774.16,670.15,686.02,754.58,151.3,-,-,125.95
42,Net Cash Growth,-42.77%,-34.39%,-19.62%,-17.34%,-13.73%,-16.28%,-16.85%,411.67%,-,-,499.12%,-,-,-,-
43,Net Cash Per Share,2.52,5.20,4.43,5.42,5.80,5.08,6.42,7.33,6.77,6.52,8.35,2.77,-,-,2.25
44,Filing Date Shares Outstanding,102.79,103.04,103.42,103.04,103.42,103.42,102.82,102.82,102.82,102.82,102.82,54.54,85.05,112.67,56.04
45,Total Common Shares Outstanding,102.79,103.04,103.42,103.04,103.42,103.42,102.82,102.82,102.82,102.82,102.82,54.54,85.05,112.67,56.04
46,Working Capital,710.22,800.2,839.28,818.68,909.35,914.75,943.84,959.58,949.16,940.91,992.47,369.14,-,-,-
47,Book Value Per Share,9.34,9.48,9.64,9.74,9.91,9.94,10.09,10.04,9.82,9.62,10.09,7.31,-,-,3.48
48,Tangible Book Value,943.04,959.88,979.21,985.91,1007,1010,1020,1015,992.7,971.56,1020,397.85,-,-,268.04
49,Tangible Book Value Per Share,9.17,9.32,9.47,9.57,9.73,9.77,9.92,9.87,9.66,9.45,9.92,7.29,-,-,3.48
50,Machinery,-,53,-,43.54,-,34.43,-,29.01,-,20.07,-,12.82,-,-,-
51,Construction In Progress,-,121.22,-,48.55,-,10.6,-,1.84,-,1.2,-,-,-,-,-
