,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
31,Common Stock,282.66,282.66,282.66,282.66,282.66,282.66,282.66,282.66,282.66,282.66,211.96,211.96,-,-,-
32,Additional Paid-In Capital,561.95,561.95,561.95,561.95,563.29,563.29,563.29,563.29,563.29,563.29,32.4,33.2,-,-,-
33,Retained Earnings,531.39,501.52,511.6,491.5,470.45,438.03,440,418.07,399.18,363.93,329.87,307.18,-,-,-
34,Total Common Equity,1376,1346,1356,1336,1316,1284,1286,1264,1245,1210,574.24,552.33,-,-,566.63
35,Minority Interest,8.59,8.85,8.95,9.36,8.54,9.15,9.75,10.58,11.54,12.23,12.81,13.14,-,-,-
36,Shareholders' Equity,1385,1355,1365,1345,1325,1293,1296,1275,1257,1222,587.05,565.47,-,-,581.46
37,Total Liabilities & Equity,1453,1418,1427,1427,1388,1366,1354,1358,1319,1383,742.19,740.8,-,-,-
38,Total Debt,1.94,2.15,2.58,2.55,-,0.44,0.96,0.96,1.4,101.4,101.9,101.9,-,-,100.08
39,Net Cash (Debt),507.05,945.25,474.77,935.33,433.31,872.37,395.11,842.41,872.55,877.98,215.75,226.87,-,-,250.71
40,Net Cash Growth,17.02%,8.36%,20.16%,11.03%,-50.34%,-0.64%,83.13%,271.31%,-,-,-13.95%,-,-,-,-
41,Net Cash Per Share,1.79,3.34,1.68,3.31,1.53,3.09,1.40,3.18,3.06,3.51,1.02,1.07,-,-,1.18
42,Filing Date Shares Outstanding,282.66,282.66,282.66,282.66,282.66,282.66,282.66,282.66,282.66,282.66,211.96,212.08,211.92,211.88,212.01
43,Total Common Shares Outstanding,282.66,282.66,282.66,282.66,282.66,282.66,282.66,282.66,282.66,282.66,211.96,212.08,211.92,211.88,212.01
44,Working Capital,1008,980.71,977.54,949.6,931.03,894.72,891.81,861.45,923.19,924.4,291.65,261.91,-,-,-
45,Book Value Per Share,4.87,4.76,4.80,4.73,4.66,4.54,4.55,4.47,4.41,4.28,2.71,2.60,-,-,2.67
46,Tangible Book Value,1354,1324,1334,1314,1294,1261,1263,1241,1221,1186,549.97,527.83,-,-,541.23
47,Tangible Book Value Per Share,4.79,4.68,4.72,4.65,4.58,4.46,4.47,4.39,4.32,4.20,2.59,2.49,-,-,2.55
48,Buildings,-,197.14,-,191.89,-,187.91,-,184.81,-,184.81,-,184.81,-,-,-
49,Machinery,-,203.79,-,199.41,-,188.61,-,189.48,-,186.16,-,187.7,-,-,-
50,Construction In Progress,-,1.8,-,5.52,-,9.65,-,10.74,-,0.68,-,1.44,-,-,-
