,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
15,Debt / EBITDA Ratio,4.79,10.93,2.64,9.87,32.75,-,4.41,1.92,2.65,1.20,0.44,0.27,-,-,-,-,0.25,-,0.25,0.52,0.25
16,Debt / FCF Ratio,0.76,0.76,1.53,-,21.59,-,-,-1.36,-,-,-,-,-,-,-,-,1.07,-,-,2.16,-
17,Asset Turnover,0.17,0.31,0.15,0.35,0.27,0.29,0.21,0.48,0.34,0.41,0.28,0.61,0.32,0.54,0.31,-,-,-,-,-,
18,Inventory Turnover,2.44,1.77,2.80,1.47,3.25,3.01,3.49,3.45,6.80,3.86,4.67,3.01,6.35,2.80,4.82,2.55,-,-,-,-,-
19,Quick Ratio,2.66,2.66,2.38,2.19,1.96,1.95,1.97,2.14,2.24,2.33,2.57,2.77,3.00,3.22,3.58,4.05,3.38,-,1.62,-,1.41
20,Current Ratio,3.06,3.06,2.74,2.58,2.27,2.25,2.21,2.34,2.41,2.59,2.84,3.15,3.31,3.59,4.00,4.53,3.76,-,2.01,-,1.94
21,Return on Equity (ROE),-0.09%,2.73%,2.29%,-0.64%,-2.72%,3.05%,6.63%,9.88%,4.16%,8.02%,8.62%,9.95%,11.72%,14.10%,9.48%,-,-,26.41%,18.58%,-,
22,Return on Assets (ROA),-0.52%,1.05%,-0.06%,-0.63%,-1.31%,1.13%,3.68%,3.17%,2.50%,4.28%,3.49%,4.10%,7.09%,6.64%,5.53%,-,-,-,-,-,
23,Return on Capital (ROIC),-0.64%,1.30%,-0.08%,-0.80%,-1.69%,1.46%,4.62%,4.09%,3.38%,5.74%,4.66%,5.46%,9.22%,8.38%,6.99%,-,-,18.68%,11.10%,-,
24,Return on Capital Employed (ROCE),-,-,-0.62%,-,-,-,6.12%,7.58%,7.26%,7.64%,9.74%,10.40%,11.37%,12.38%,13.52%,13.51%,12.80%,-,21.52%,-,10.17%
25,Earnings Yield,0.83%,0.92%,0.34%,0.31%,1.06%,2.67%,3.42%,3.51%,3.70%,3.53%,6.32%,6.12%,5.01%,5.08%,5.01%,3.86%,4.43%,-,-,-,-
26,FCF Yield,11.68%,12.91%,9.20%,-3.52%,0.69%,-15.09%,-12.89%,-7.75%,-10.82%,-0.94%,-1.57%,-0.30%,-0.89%,-4.13%,-2.73%,-1.14%,1.37%,-,-,-,-
27,Dividend Yield,0.38%,-,-,-,0.33%,-,-,-,1.04%,-,-,-,1.27%,-,-,-,1.30%,-,-,-,-
28,Payout Ratio,81.90%,-,102.11%,-,-,-,240.29%,8.00%,5.94%,5.89%,121.47%,-,-,8.62%,85.25%,1.01%,1.97%,1.17%,7.03%,86.93%,-
29,Buyback Yield / Dilution,1.15%,6.98%,10.32%,-4.16%,-4.20%,-0.58%,-3.06%,-0.77%,1.30%,-2.09%,-2.49%,-3.50%,-36.24%,-36.70%,-31.05%,-33.45%,0.28%,-,-,-,-
30,Total Shareholder Return,1.53%,6.98%,10.32%,-4.16%,-3.87%,-0.58%,-3.06%,-0.77%,2.34%,-2.09%,-2.49%,-3.50%,-34.97%,-36.70%,-31.05%,-33.45%,1.58%,-,-,-,-
