,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
18,Accrued Expenses,12.91,38.53,5.29,43.22,13.19,-,5.68,51.07,-,57.74,-
19,Short-Term Debt,144.46,191.25,151.26,115.96,130.1,-,169.65,158.11,-,77.74,-
20,Current Portion of Long-Term Debt,160.61,140.59,152.52,144.7,152.03,-,211.11,168.95,-,129.76,-
21,Current Unearned Revenue,71.01,79.13,75.88,80.24,92.19,-,74.85,75.29,-,69.43,-
22,Current Portion of Leases,-,9.59,-,4.15,-,-,-,6.38,-,6.08,-
23,Current Income Taxes Payable,29.88,19.92,43.19,30.74,17.61,-,17.72,27.42,-,16,-
24,Other Current Liabilities,65.81,45.74,59.07,40.57,68.43,-,86.19,90.43,-,103.84,-
25,Total Current Liabilities,740.5,774.39,748.43,769.68,784.47,-,870.71,913.77,-,748.59,-
26,Long-Term Debt,551.58,570.38,533.87,525.9,575.75,-,603.94,570.24,-,606.83,-
27,Long-Term Leases,20.63,24.13,24.14,16.71,20.31,-,22.27,21.58,-,50.12,-
28,Long-Term Unearned Revenue,320.3,317.88,321.8,326.87,187.14,-,193.34,321.11,-,175.93,-
29,Long-Term Deferred Tax Liabilities,41.52,40.21,42.9,43.21,52.98,-,52.7,52.05,-,50.54,-
30,Other Long-Term Liabilities,203.97,202.92,198.65,197.66,329.74,-,317.39,193.02,-,319.42,-
31,Total Liabilities,1879,1930,1870,1880,1950,-,2060,2072,-,1951,-
32,Common Stock,423.22,423.22,423.22,423.22,423.22,-,423.22,380.9,-,380.9,-
33,Additional Paid-In Capital,490.22,490.22,490.22,490.22,489.59,-,488.33,331.59,-,330.46,-
34,Retained Earnings,840.88,808.93,822.99,789.35,737.36,-,676.75,659.66,-,579.08,-
35,Comprehensive Income & Other,0.21,1.95,3.47,3.29,2.43,-,1.74,2.15,-,3.43,-
36,Total Common Equity,1755,1724,1740,1706,1653,-,1590,1374,-,1294,1244
37,Minority Interest,47.57,49.92,50.23,49.02,45.69,-,43.32,44.43,-,39.84,-
38,Shareholders' Equity,1802,1774,1790,1755,1698,-,1633,1419,-,1334,1277
39,Total Liabilities & Equity,3681,3704,3660,3635,3649,-,3694,3491,-,3285,-
40,Total Debt,877.29,935.95,861.79,807.43,878.19,-,1007,925.26,-,870.53,813.41
41,Net Cash (Debt),-737.2,-739.36,-663.19,-607.07,-680.33,-,-642.89,-761.2,-,-734.1,-682.96
42,Net Cash Per Share,-1.74,-,-1.57,-,-1.61,-,-1.69,-2.00,-,-1.73,-2.06
43,Filing Date Shares Outstanding,423.22,423.22,423.22,423.22,423.22,422.82,423.22,380.9,386.59,380.9,332.01
44,Total Common Shares Outstanding,423.22,423.22,423.22,423.22,423.22,422.82,423.22,380.9,386.59,380.9,332.01
45,Working Capital,-20.76,-29.13,8.01,-48.41,-31.66,-,9.71,-227.35,-,-146.6,-
46,Book Value Per Share,4.15,4.07,4.11,4.03,3.90,-,3.76,3.61,-,3.40,3.27
47,Tangible Book Value,-292.47,-311.89,-304.28,-358.4,-389.27,-,-494.4,-690.01,-,-722.15,-748.83
48,Tangible Book Value Per Share,-0.69,-0.74,-0.72,-0.85,-0.92,-,-1.17,-1.81,-,-1.90,-1.97
49,Buildings,-,429.3,-,379.49,-,-,-,266.74,-,266.22,-
50,Machinery,-,320.84,-,291.92,-,-,-,193.51,-,196.79,-
51,Construction In Progress,-,5.15,-,44.16,-,-,-,108.04,-,99.3,-
