,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020
9,P/OCF Ratio,15.33,15.33,10.46,-,13.60,14.29,15.86,20.08,-,8.56,38.12,-,14.57,-,-,-,-,-,-
10,EV/Sales Ratio,3.53,2.21,1.96,2.68,2.64,2.09,2.05,1.97,1.45,1.42,1.78,1.76,2.20,1.91,2.83,-,-,-,-
11,EV/EBITDA Ratio,13.67,8.80,8.06,11.09,11.92,9.88,10.60,10.89,8.41,9.26,13.15,13.07,16.05,11.59,15.46,-,-,-,-
12,EV/EBIT Ratio,19.83,12.38,11.26,15.38,17.08,14.68,16.48,18.30,13.96,15.92,26.24,25.18,31.03,19.63,24.71,-,-,-,-
13,EV/FCF Ratio,-122.27,-76.34,-,-,-,-20.02,-,-,-,47.22,-11.16,-,-22.92,-,-,-,-,-,-
14,Debt / Equity Ratio,0.37,0.37,0.38,0.30,0.29,0.34,0.32,0.34,0.19,0.20,0.17,0.14,0.11,0.09,0.10,-,-,-,0.49
15,Debt / EBITDA Ratio,1.37,1.26,1.51,1.09,1.03,1.07,1.45,1.70,1.02,0.88,1.36,0.78,0.90,0.79,0.93,-,-,-,4.60
16,Debt / FCF Ratio,-,-12.28,-,-,-,-3.11,-,-,-,6.38,-1.06,-,-1.32,-,-,-,-,-,901.94
17,Asset Turnover,0.54,0.58,0.44,0.63,0.61,0.56,0.46,0.61,0.64,0.45,0.57,0.71,0.56,0.50,-,-,-,-,
18,Inventory Turnover,5.70,5.55,6.08,4.43,6.55,6.02,5.02,4.13,5.55,5.65,4.06,4.81,6.58,5.04,-,-,-,-,-
19,Quick Ratio,0.77,0.77,0.76,0.76,0.80,0.81,0.84,0.69,0.81,0.74,0.70,0.76,0.80,0.84,1.10,-,-,-,-
20,Current Ratio,0.95,0.95,0.95,0.99,0.98,0.98,1.06,0.92,1.07,0.96,0.94,1.08,1.09,1.16,1.42,0.94,-,-,-
21,Return on Equity (ROE),16.18%,14.38%,13.93%,20.78%,14.63%,10.79%,8.01%,11.70%,12.46%,3.74%,8.04%,6.32%,5.35%,3.18%,-,-,-,-,
22,Return on Assets (ROA),7.11%,5.01%,6.28%,5.94%,7.46%,4.60%,3.69%,3.87%,5.40%,1.45%,3.88%,2.26%,2.06%,1.92%,-,-,-,-,
23,Return on Capital (ROIC),10.29%,7.25%,9.62%,9.45%,11.43%,7.00%,5.62%,6.04%,8.86%,2.30%,6.03%,3.53%,3.05%,3.19%,-,-,-,-,
24,Return on Capital Employed (ROCE),18.05%,18.05%,18.37%,17.61%,15.46%,14.05%,11.56%,10.53%,9.39%,9.02%,6.38%,6.32%,6.09%,7.62%,8.86%,11.30%,-,-,-
25,Earnings Yield,4.52%,7.59%,7.91%,5.25%,4.81%,5.36%,5.40%,4.65%,6.26%,5.33%,3.53%,3.40%,2.68%,3.50%,2.90%,-,-,-,-
26,FCF Yield,-0.88%,-1.48%,-0.72%,-0.57%,-1.52%,-5.44%,-4.32%,-3.42%,-8.06%,2.24%,-9.44%,-12.48%,-4.48%,-8.93%,-0.34%,-,-,-,-
27,Dividend Yield,1.64%,-,3.31%,-,2.15%,-,0.65%,-,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,40.36%,12.53%,120.99%,7.15%,27.75%,7.88%,10.72%,10.86%,5.93%,60.48%,73.03%,42.31%,6.27%,2.10%,45.58%,17.37%,15.42%,42.95%,-
29,Buyback Yield / Dilution,-0.78%,3.27%,-8.20%,-5.05%,4.84%,-11.73%,4.03%,-0.18%,-50.13%,-11.10%,-60.30%,-56.12%,-35.67%,-33.65%,-,-,-,-,-
30,Total Shareholder Return,0.86%,3.27%,-4.89%,-5.05%,6.99%,-11.73%,4.69%,-0.18%,-50.13%,-11.10%,-60.30%,-56.12%,-35.67%,-33.65%,-,-,-,-,-
