,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
22,Current Unearned Revenue,74.12,54.27,41.17,27.94,21.06,39.95,37.18,102.6,18,-,-,26.89
23,Other Current Liabilities,159.3,9.16,4.59,3.85,1.86,5.44,4.53,14.64,5.66,-,-,5.17
24,Total Current Liabilities,424.34,201.33,128.77,112.25,95.25,173.21,230.8,289.38,191.31,-,-,128.48
25,Long-Term Leases,10.37,12.7,13.65,16.4,17.1,21.26,21.92,17.34,8.59,-,-,2.54
26,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,0.54
27,Long-Term Deferred Tax Liabilities,0.58,0.63,0.69,0.74,4.77,5.44,2.13,1.5,-,-,-,-
28,Other Long-Term Liabilities,1.55,1.5,1.66,2.23,1.37,1.6,1.58,1.44,1.22,-,-,0.86
29,Total Liabilities,436.84,216.16,144.77,131.62,118.49,201.5,256.43,309.66,201.12,-,-,132.41
30,Common Stock,89.6,89.6,64,64,64,64,64,64,48,-,-,48
31,Additional Paid-In Capital,1747,1747,1773,1773,1801,1787,1773,1773,50.56,-,-,50.56
32,Retained Earnings,1004,970.84,992.38,942.47,913.6,886.71,928.45,773.13,662.36,-,-,392.72
33,Treasury Stock,-42.26,-11.52,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,0.01,-0.01,-0.02,-0,-0.03,-,-,-,-,-,-,-
35,Total Common Equity,2798,2796,2829,2779,2779,2738,2765,2610,760.93,-,491.28,491.28
36,Minority Interest,8.47,8.99,8.28,7.64,9.83,9.22,8.57,7.15,-,-,-,-
37,Shareholders' Equity,2807,2805,2837,2787,2789,2747,2774,2617,760.93,-,491.28,491.28
38,Total Liabilities & Equity,3243,3021,2982,2919,2907,2948,3030,2927,962.04,-,-,623.69
39,Total Debt,50.75,53.44,24.33,26.75,26.82,30.54,29.98,21.06,11.16,-,4.11,4.11
40,Net Cash (Debt),2589,2479,2556,2456,2439,2466,2554,2495,585.3,-,404.83,404.83
41,Net Cash Growth,6.13%,0.54%,0.11%,-1.56%,316.75%,-,530.77%,516.32%,-,-,-,-
42,Net Cash Per Share,29.11,27.62,28.53,27.51,27.17,27.57,28.51,30.44,8.70,-,6.03,6.02
43,Filing Date Shares Outstanding,88.91,89.42,89.6,89.6,89.6,89.6,89.6,89.6,67.2,67.17,67.13,67.2
44,Total Common Shares Outstanding,88.91,89.42,89.6,89.6,89.6,89.6,89.6,89.6,67.2,67.17,67.13,67.2
45,Working Capital,2537,2621,2731,2679,2685,2649,2701,2560,713.6,-,-,460.98
46,Book Value Per Share,31.47,31.27,31.58,31.02,31.01,30.55,30.86,29.13,11.32,-,7.31,7.31
47,Tangible Book Value,2792,2790,2823,2773,2772,2731,2758,2602,759.04,-,488.77,488.77
48,Tangible Book Value Per Share,31.41,31.20,31.51,30.95,30.94,30.48,30.78,29.04,11.30,-,7.27,7.27
49,Machinery,-,63.68,-,62.25,-,-,-,47.51,-,-,-,29.05
