,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
16,Gain (Loss) on Sale of Investments,1.84,-,0.12,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.08,0.24,-0.04,0,0.04,0.37,0.07,-,0.01,0.01,-,-
18,Asset Writedown,-0.88,-,-,-0.02,-,-,-,-,-,-,-,-0.01
19,Other Unusual Items,-3.81,0.22,2.01,0.39,-0.06,0.06,-,5.52,-0.65,0.65,-,6.24
20,Pretax Income,42.29,47,55.63,28.2,28.18,96.43,181.22,124.42,135.12,114.53,61.02,27.49
21,Income Tax Expense,8.47,3.82,5.08,1.52,0.69,7.63,24.36,13.09,17.95,15.23,7.79,0.57
22,Earnings From Continuing Operations,33.82,43.17,50.55,26.68,27.49,88.8,156.87,111.33,117.17,99.3,53.23,26.92
23,Minority Interest in Earnings,-1.08,-0.71,-0.64,0.19,-0.6,-0.66,-1.42,-0.74,-,-,-,-
24,Net Income,32.74,42.46,49.91,26.86,26.89,88.14,155.45,110.59,117.17,99.3,53.23,26.92
25,Net Income to Common,32.74,42.46,49.91,26.86,26.89,88.14,155.45,110.59,117.17,99.3,53.23,26.92
26,Net Income Growth,21.78%,-51.82%,-67.89%,-75.71%,-77.05%,-11.24%,192.03%,310.80%,-,-,-,-
27,Shares Outstanding (Basic),89,90,90,89,90,89,90,82,67,67,67,67
28,Shares Outstanding (Diluted),89,90,90,89,90,89,90,82,67,67,67,67
29,Shares Change (YoY),-0.94%,0.36%,0.04%,8.92%,33.42%,33.17%,33.41%,21.99%,-,-,-,-
30,EPS (Basic),0.37,0.47,0.56,0.30,0.30,0.99,1.74,1.35,1.74,1.48,0.79,0.40
31,EPS (Diluted),0.37,0.47,0.56,0.30,0.30,0.99,1.74,1.35,1.74,1.48,0.79,0.40
32,EPS Growth,22.94%,-51.99%,-67.90%,-77.70%,-82.80%,-33.35%,118.91%,236.76%,-,-,-,-
33,Free Cash Flow,63.17,35.95,72.62,54.01,-40.3,42.63,70.64,177.48,0.86,133.71,39.41,67.3
34,Free Cash Flow Per Share,0.71,0.40,0.81,0.60,-0.45,0.48,0.79,2.17,0.01,1.99,0.59,1.00
35,Dividend Per Share,-,-,-,0.714,-,-,-,1.429,-,-,-,-
36,Dividend Growth,-,-,-,-50.00%,-,-,-,-,-,-,-,-
37,Gross Margin,51.17%,50.67%,51.75%,38.28%,47.58%,44.00%,47.02%,45.41%,38.42%,40.53%,42.23%,33.47%
38,Operating Margin,14.90%,11.70%,23.77%,5.85%,10.08%,25.85%,36.61%,27.20%,27.73%,29.54%,28.41%,9.84%
39,Profit Margin,14.89%,22.34%,25.99%,15.17%,13.51%,33.15%,32.36%,27.58%,25.95%,27.92%,25.69%,12.89%
40,Free Cash Flow Margin,28.73%,18.91%,37.80%,30.49%,-20.25%,16.03%,14.70%,44.27%,0.19%,37.59%,19.02%,32.22%
41,EBITDA,35.08,24.92,47.98,12.67,21.48,71.08,177.31,110.48,126.35,106.29,60.03,21.71
42,EBITDA Margin,15.95%,13.11%,24.98%,7.15%,10.79%,26.74%,36.91%,27.56%,27.98%,29.88%,28.97%,10.39%
43,D&A For EBITDA,2.31,2.67,2.31,2.31,1.41,2.36,1.41,1.41,1.16,1.22,1.16,1.16
44,EBIT,32.76,22.24,45.67,10.36,20.07,68.72,175.9,109.07,125.19,105.07,58.87,20.55
45,EBIT Margin,14.90%,11.70%,23.77%,5.85%,10.08%,25.85%,36.61%,27.20%,27.73%,29.54%,28.41%,9.84%
46,Effective Tax Rate,20.02%,8.14%,9.13%,5.39%,2.44%,7.92%,13.44%,10.52%,13.29%,13.30%,12.76%,2.07%
47,Revenue as Reported,219.92,190.08,192.09,177.12,199.01,265.85,480.44,400.94,451.53,355.68,207.22,208.9
