,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
40,Net Cash (Debt),1012,1077,1084,1158,1120,1095,1098,1100,1141,1288,127.94,177.47,-,73.75,-14.29
41,Net Cash Growth,-9.58%,-1.65%,-1.32%,5.20%,-1.87%,-14.94%,758.52%,520.11%,-,1645.79%,-,-,-,-,-
42,Net Cash Per Share,5.99,6.39,6.45,6.79,6.68,6.52,6.56,9.86,8.49,5.25,1.04,1.41,-,0.60,-0.11
43,Filing Date Shares Outstanding,167.57,167.79,167.55,170.37,167.67,167.67,167.67,167.67,167.67,167.67,125.67,125.67,127.14,125.67,127.14
44,Total Common Shares Outstanding,167.57,167.79,167.55,170.37,167.67,167.67,167.67,167.67,167.67,167.67,125.67,125.67,127.14,125.67,127.14
45,Working Capital,1497,1513,1612,1637,1630,1621,1661,1664,1692,1758,618.62,603.31,-,487.82,-
46,Book Value Per Share,12.21,12.11,12.47,12.20,12.13,11.97,12.01,11.98,11.85,11.67,6.34,6.16,-,5.23,4.62
47,Tangible Book Value,1898,1884,1940,1961,1915,1887,1894,1887,1865,1945,784.61,761.03,-,645.41,569.38
48,Tangible Book Value Per Share,11.33,11.23,11.58,11.51,11.42,11.25,11.30,11.26,11.12,11.60,6.24,6.06,-,5.14,4.53
49,Buildings,-,118.49,-,118.45,-,116.01,-,114.54,-,88.66,-,86.98,-,89.07,-
50,Machinery,-,168.16,-,142.41,-,111.19,-,104.32,-,102.3,-,101.17,-,101.55,-
51,Construction In Progress,-,148.72,-,115.17,-,77.05,-,14.95,-,32.41,-,22.01,-,7.82,-
