,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2021,Q1 2021
17,Gain (Loss) on Sale of Assets,-,-,-,-,0,-,-,-,0.02,-0.02,-0.02
18,Asset Writedown,27.35,-27.35,7.06,-7.06,9.56,-10.07,13.37,-13.37,22.16,-0.05,-0.05
19,Other Unusual Items,-0.53,-10.06,10.32,0.27,3.38,-,-,-,22.41,9.21,9.21
20,Pretax Income,-21.97,8.42,17.39,10.16,-17.3,10.22,25.72,0.78,-25.01,21.04,21.04
21,Income Tax Expense,-1.44,2.05,1.74,1.45,-2.97,0.23,5.41,2.2,-2.87,2.73,2.73
22,Earnings From Continuing Operations,-20.53,6.37,15.65,8.71,-14.32,9.99,20.3,-1.43,-22.14,18.31,18.31
23,Minority Interest in Earnings,0.98,0.4,-0.26,-1.12,-0.21,-0.77,-0.03,0.17,2.45,0.7,0.7
24,Net Income,-19.55,6.77,15.38,7.58,-14.54,9.22,20.27,-1.25,-19.69,19.01,19.01
25,Net Income to Common,-19.55,6.77,15.38,7.58,-14.54,9.22,20.27,-1.25,-19.69,19.01,19.01
26,Net Income Growth,-,-26.58%,-24.10%,-,-,-51.51%,6.63%,-,-,-,-
27,Shares Outstanding (Basic),1384,1475,1477,1477,2655,612,959,1252,1188,1054,1054
28,Shares Outstanding (Diluted),1384,1475,1477,1477,2655,612,959,1252,1188,1054,1054
29,Shares Change (YoY),-47.85%,140.85%,54.05%,17.97%,123.49%,-41.91%,-9.02%,-,-,-,-
30,EPS (Basic),-0.01,0.00,0.01,0.01,-0.01,0.02,0.02,-0.00,-0.02,0.02,0.02
31,EPS (Diluted),-0.01,0.00,0.01,0.01,-0.01,0.02,0.02,-0.00,-0.02,0.02,0.02
32,EPS Growth,-,-69.52%,-50.73%,-,-,-16.52%,17.19%,-,-,-,-
33,Free Cash Flow,-,-42.4,-20.2,-69.12,-101.09,-89.94,-16.92,-77.94,-120.34,-54.85,-54.85
34,Free Cash Flow Per Share,-,-0.03,-0.01,-0.05,-0.04,-0.15,-0.02,-0.06,-0.10,-0.05,-0.05
35,Dividend Per Share,-,-,-,-,0.010,-,-,-,-,-,-
36,Gross Margin,-33.02%,18.79%,8.03%,14.62%,4.66%,22.12%,13.97%,22.96%,-2.48%,23.63%,23.63%
37,Operating Margin,-7.58%,13.78%,-3.88%,2.30%,-16.31%,8.71%,6.37%,7.96%,-30.82%,6.25%,6.25%
38,Profit Margin,-7.01%,2.43%,6.49%,3.25%,-5.93%,3.92%,9.70%,-0.61%,-8.86%,15.11%,15.11%
39,Free Cash Flow Margin,-,-15.23%,-8.53%,-29.58%,-41.20%,-38.29%,-8.10%,-38.05%,-54.14%,-43.59%,-43.59%
40,EBITDA,8.53,68.04,27.92,35.03,-10.35,43.94,42.6,39.79,-45.04,19.23,19.23
41,EBITDA Margin,3.06%,24.44%,11.79%,14.99%,-4.22%,18.70%,20.39%,19.42%,-20.26%,15.28%,15.28%
42,D&A For EBITDA,29.67,29.67,37.13,29.67,29.67,23.48,29.3,23.48,23.48,11.36,11.36
43,EBIT,-21.14,38.37,-9.2,5.37,-40.02,20.46,13.3,16.31,-68.52,7.87,7.87
44,EBIT Margin,-7.58%,13.78%,-3.88%,2.30%,-16.31%,8.71%,6.37%,7.96%,-30.82%,6.25%,6.25%
45,Effective Tax Rate,-,24.40%,10.02%,14.30%,-,2.28%,21.05%,283.52%,-,12.96%,12.96%
46,Revenue as Reported,-,278.44,236.92,233.65,245.33,234.91,208.91,204.87,222.28,-,-
