,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
38,Operating Margin,12.76%,15.00%,6.93%,9.16%,14.40%,18.70%,9.00%,11.50%,14.02%,18.57%,10.21%,30.23%,18.19%,15.50%,15.50%,23.76%,23.76%
39,Profit Margin,13.15%,18.56%,11.92%,21.99%,15.57%,21.37%,12.63%,21.87%,19.54%,19.68%,8.75%,29.54%,15.94%,13.50%,13.50%,21.41%,21.41%
40,Free Cash Flow Margin,-63.53%,-0.93%,-57.04%,50.37%,-4.57%,17.84%,-67.95%,38.45%,8.92%,14.92%,-31.80%,23.19%,27.31%,-4.03%,-4.03%,12.34%,12.34%
41,EBITDA,18.71,20.13,7.92,14.27,17.87,20.63,8.01,16.66,11.38,15.38,6.49,31.96,14.14,9.52,9.52,8.76,8.76
42,EBITDA Margin,13.29%,16.70%,7.65%,9.67%,14.90%,19.38%,9.73%,11.93%,14.39%,19.20%,10.70%,30.52%,18.55%,15.97%,15.97%,24.68%,24.68%
43,D&A For EBITDA,0.75,2.05,0.75,0.75,0.6,0.72,0.6,0.6,0.3,0.5,0.3,0.3,0.28,0.28,0.28,0.32,0.32
44,EBIT,17.96,18.08,7.17,13.52,17.28,19.9,7.41,16.07,11.09,14.88,6.19,31.66,13.87,9.24,9.24,8.43,8.43
45,EBIT Margin,12.76%,15.00%,6.93%,9.16%,14.40%,18.70%,9.00%,11.50%,14.02%,18.57%,10.21%,30.23%,18.19%,15.50%,15.50%,23.76%,23.76%
46,Effective Tax Rate,16.89%,4.04%,21.01%,-,17.67%,9.13%,16.19%,-,1.65%,3.41%,16.76%,1.82%,15.69%,16.53%,16.53%,15.18%,15.18%
47,Revenue as Reported,140.76,120.51,103.51,147.49,119.96,106.46,82.31,139.71,79.09,80.12,60.61,104.72,76.23,59.6,59.6,35.48,35.48
