,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
41,Total Debt,2021,2253,2215,2072,2335,2694,2914,2603,2185,1921,1299,1299
42,Net Cash (Debt),1067,907.81,450.23,757.46,1261,1420,1100,-2121,-1562,-1197,-668.58,-668.58
43,Net Cash Growth,-15.43%,-36.06%,-59.08%,-,-,-,-,-,-,-,-,-
44,Net Cash Per Share,2.17,1.89,0.92,1.58,2.62,3.08,2.39,-5.35,-4.15,-3.27,-1.81,-1.81
45,Filing Date Shares Outstanding,482.61,489.26,489.26,489.26,486.16,486.16,486.16,364.62,364.62,364.62,360.32,364.62
46,Total Common Shares Outstanding,482.61,489.26,489.26,489.26,486.16,486.16,486.16,364.62,364.62,364.62,360.32,364.62
47,Working Capital,3307,4061,4131,3554,4242,4229,4882,1023,947.1,1421,-,1323
48,Book Value Per Share,9.04,9.47,9.44,9.20,9.85,10.11,10.42,4.05,4.01,4.40,3.72,3.72
49,Tangible Book Value,4120,4396,4370,4267,4532,4683,4829,1252,1239,1390,1272,1272
50,Tangible Book Value Per Share,8.54,8.99,8.93,8.72,9.32,9.63,9.93,3.43,3.40,3.81,3.49,3.49
51,Buildings,-,222.41,-,222.38,-,221.43,-,172.76,173.45,169.65,-,167.04
52,Machinery,-,1071,-,988.3,-,940.67,-,773.08,723.92,679.6,-,625.73
53,Construction In Progress,-,350.31,-,269.75,-,150.73,-,131,79.64,70.48,-,9.47
