,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
30,EPS (Basic),-0.23,-0.02,0.27,-0.62,-0.25,-0.31,0.20,0.18,-0.14,0.29,0.41,0.15
31,EPS (Diluted),-0.23,-0.02,0.26,-0.62,-0.25,-0.31,0.19,0.16,-0.14,0.29,0.40,0.15
32,EPS Growth,-,-,39.37%,-,-,-,-52.50%,7.39%,-,-,-,-
33,Free Cash Flow,293.07,484.15,-284.42,-270.87,-136.42,429.37,-484.26,-514.7,-212.71,-228.3,-226.24,-538.62
34,Free Cash Flow Per Share,0.60,1.01,-0.58,-0.56,-0.28,0.93,-1.05,-1.30,-0.57,-0.62,-0.61,-1.46
35,Dividend Per Share,-,-,-,-,-,-,-,0.062,-,-,-,-
36,Gross Margin,20.56%,23.19%,30.29%,9.16%,24.22%,10.28%,33.94%,26.35%,24.05%,21.96%,28.65%,28.09%
37,Operating Margin,-5.97%,-2.80%,7.13%,-27.29%,-13.22%,-27.19%,8.32%,-4.16%,-9.84%,0.61%,9.72%,2.35%
38,Profit Margin,-11.32%,-0.64%,7.94%,-26.06%,-13.63%,-13.74%,5.64%,6.17%,-5.21%,6.57%,9.45%,4.36%
39,Free Cash Flow Margin,29.66%,35.71%,-17.39%,-23.57%,-15.38%,41.71%,-31.22%,-49.64%,-21.35%,-14.14%,-14.47%,-42.37%
40,EBITDA,-28.83,28.87,146.69,-283.55,-94.14,-217.17,152.22,-20.56,-77.63,31.57,169.81,57.55
41,EBITDA Margin,-2.92%,2.13%,8.97%,-24.67%,-10.61%,-21.10%,9.81%,-1.98%,-7.79%,1.96%,10.86%,4.53%
42,D&A For EBITDA,30.12,66.87,30.12,30.12,23.11,62.74,23.11,22.55,20.42,21.79,17.87,27.64
43,EBIT,-58.95,-38,116.57,-313.67,-117.26,-279.92,129.1,-43.12,-98.05,9.78,151.95,29.91
44,EBIT Margin,-5.96%,-2.80%,7.13%,-27.29%,-13.22%,-27.19%,8.32%,-4.16%,-9.84%,0.61%,9.72%,2.35%
45,Effective Tax Rate,-,-,-,-,-,-,8.19%,-,-,-,-,-
46,Revenue as Reported,988.19,1356,1636,1149,886.9,1029,1551,1037,996.21,1615,1563,5004
