,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
24,Current Portion of Leases,9.79,10.38,7.45,4.81,-,2.27,-,2.61,-,-,-
25,Current Income Taxes Payable,15.85,5.02,8.5,1.8,3.58,3.26,-,4.22,-,-,-
26,Current Unearned Revenue,13.38,20.3,51.63,3.18,2.24,0.26,-,0.75,-,-,-
27,Other Current Liabilities,18.72,31.1,26.5,14.2,6.76,10.51,-,20.49,-,-,-
28,Total Current Liabilities,318.6,304.54,255.94,101.39,114.5,127.27,-,163.67,-,-,-
29,Long-Term Debt,-,-,-,-,-,228.67,-,227.59,-,-,-
30,Long-Term Leases,69.66,72.17,22.56,23.97,23.71,25.2,-,26.37,-,-,-
31,Long-Term Unearned Revenue,3.3,3.52,3.74,3.97,4.19,4.42,-,1.14,-,-,-
32,Long-Term Deferred Tax Liabilities,2.63,2.73,2.3,1.8,4.85,3.28,-,3.55,-,-,-
33,Other Long-Term Liabilities,2.28,1.87,2.44,0.29,0.5,0.47,-,0.27,-,-,-
34,Total Liabilities,396.47,384.82,286.98,131.42,147.75,389.3,-,422.6,-,-,-
35,Common Stock,128.68,128.68,128.68,128.68,128.68,96.51,-,96.51,-,-,-
36,Additional Paid-In Capital,1967,1966,1963,1963,1963,304.98,-,304.42,-,-,-
37,Retained Earnings,432.58,412.92,439.15,424.07,407.92,393.31,-,351.06,-,-,-
38,Treasury Stock,-49.99,-29.99,-17.24,-,-,-,-,-,-,-,-
39,Comprehensive Income & Other,-0.68,-1.32,0.18,-0.25,0.05,0.98,-,0.11,-,-,-
40,Total Common Equity,2478,2476,2514,2515,2499,795.78,752.11,752.11,-,-,634.07
41,Minority Interest,143.18,124.24,118.84,51.24,50.16,3.18,-,3.14,-,-,-
42,Shareholders' Equity,2621,2600,2633,2567,2550,798.96,755.25,755.25,-,-,634.07
43,Total Liabilities & Equity,3018,2985,2920,2698,2697,1188,-,1178,-,-,-
44,Total Debt,79.45,82.55,30.01,28.77,27.72,277.13,297.07,297.07,-,-,71.7
45,Net Cash (Debt),592.17,1449,1313,1647,1623,-73.26,-104.07,-104.07,-,-,159.62
46,Net Cash Growth,-63.52%,-,-,-,-,-,-,-,-,-,-
47,Net Cash Per Share,4.83,11.31,10.08,26.78,8.29,-0.78,-1.06,-1.06,-,-,1.64
48,Filing Date Shares Outstanding,122.72,127.93,128.21,128.21,128.68,96.51,98.34,96.51,95.25,97.27,97.27
49,Total Common Shares Outstanding,122.72,127.93,128.21,128.68,128.68,96.51,98.34,96.51,95.25,97.27,97.27
50,Working Capital,1834,1839,1891,1937,1936,420.35,-,389.2,-,-,-
51,Book Value Per Share,20.19,19.36,19.61,19.55,19.42,8.25,7.79,7.79,-,-,6.56
52,Tangible Book Value,2333,2331,2364,2453,2437,766.82,722.57,722.57,-,-,603.79
53,Tangible Book Value Per Share,19.01,18.22,18.44,19.07,18.94,7.95,7.49,7.49,-,-,6.25
54,Buildings,-,432.57,-,352.1,-,352.1,-,352.1,-,-,-
55,Machinery,-,226.2,-,198.28,-,143.98,-,131.32,-,-,-
56,Construction In Progress,-,8.74,-,74.36,-,74.61,-,59.55,-,-,-
