,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
19,Return on Assets (ROA),3.32%,4.53%,3.29%,3.35%,4.69%,5.69%,3.43%,0.87%,-,-,3.45%,1.50%,-,-,-,-,-,-,-,
20,Return on Capital (ROIC),3.75%,5.06%,3.71%,3.80%,5.24%,6.33%,3.84%,0.97%,-,-,3.88%,1.68%,-,9.09%,5.62%,-,-,-,-,
21,Return on Capital Employed (ROCE),6.97%,6.97%,7.80%,8.41%,8.73%,7.57%,7.68%,7.25%,7.31%,7.73%,-,10.24%,11.19%,12.76%,12.78%,-,11.42%,-,-,-
22,Earnings Yield,2.08%,2.31%,2.27%,2.37%,2.11%,2.01%,1.47%,3.51%,3.48%,3.66%,3.25%,2.90%,2.77%,2.85%,8.03%,-,-,-,-,-
23,Earnings Yield,2.08%,2.31%,2.27%,2.37%,2.11%,2.01%,1.47%,3.51%,3.48%,3.66%,3.25%,2.90%,2.77%,2.85%,8.03%,-,-,-,-,-
24,FCF Yield,1.22%,1.36%,1.04%,3.17%,3.20%,3.00%,2.93%,5.33%,5.30%,2.94%,1.23%,-0.45%,-0.43%,1.44%,-,-,-,-,-,-
25,Dividend Yield,0.67%,-,-,-,0.64%,-,-,-,1.06%,-,-,-,0.87%,-,-,-,-,-,-,-
26,Payout Ratio,37.53%,5.65%,95.19%,8.85%,13.85%,9.69%,107.91%,20.90%,25.18%,23.32%,119.11%,30.93%,32.27%,191.89%,-,25.90%,21.56%,19.29%,117.00%,117.00%
27,Buyback Yield / Dilution,1.02%,4.49%,-5.53%,2.02%,2.51%,-1.18%,1.47%,-1.25%,6.55%,-6.52%,-2.15%,-18.10%,-15.28%,-8.22%,-4.09%,2.27%,-,-,-,-
28,Total Shareholder Return,1.69%,4.49%,-5.53%,2.02%,3.15%,-1.18%,1.47%,-1.25%,7.61%,-6.52%,-2.15%,-18.10%,-14.40%,-8.22%,-4.09%,2.27%,-,-,-,-
