,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,1.53,1.92,1.96,1.96,0.28,-3.06,1.96,1.96,1.8,3.25
17,Gain (Loss) on Sale of Assets,-,0.17,-0.17,-,-,0.1,-0.1,-,-,0.04,-0.04,-,-0.06,0.09,-,-
18,Asset Writedown,29.94,-29.94,28.03,-28.03,-0.07,0.07,11.64,-11.64,13.43,-13.5,8.59,-8.59,1.62,-1.58,-0.04,-
19,Other Unusual Items,132.3,-74.74,52.84,21.9,156.18,-0.21,0.21,-,67.53,0.11,-0.11,-,48.28,-10.7,10.7,-
20,Pretax Income,625.86,916.13,841.68,400.76,478.19,329.53,537.79,334.67,212.16,239.65,485.3,199.39,289.19,244.34,58.28,-155.11
21,Income Tax Expense,15.73,35.13,10.22,6.4,-6.44,4.57,-22,2.85,11.55,-0.61,1.32,-0.73,0.37,-1.11,0.62,-0.78
22,Earnings From Continuing Operations,610.14,881,831.46,394.36,484.62,324.95,559.8,331.81,200.62,240.27,483.98,200.12,288.82,245.45,57.66,-154.33
23,Minority Interest in Earnings,-204.87,-208.68,-266.61,-105.82,-123.08,-100.77,-121.74,-92.42,-49.02,-64.07,-151.53,-56.67,-86.12,-79.33,-8.4,63.35
24,Net Income,405.27,672.32,564.86,288.54,361.54,224.18,438.06,239.39,151.59,176.2,332.45,143.46,202.7,166.13,49.26,-90.98
25,Net Income to Common,405.27,672.32,564.86,288.54,361.54,224.18,438.06,239.39,151.59,176.2,332.45,143.46,202.7,166.13,49.26,-90.98
26,Net Income Growth,12.09%,199.90%,28.95%,20.53%,138.50%,27.23%,31.77%,66.87%,-25.21%,6.06%,574.81%,-,-,-,-,-
27,Shares Outstanding (Basic),2371,2322,2208,2404,2421,2264,2278,2394,2347,2148,1916,2049,1957,2172,2024,2024
28,Shares Outstanding (Diluted),2371,2322,2208,2404,2421,2264,2278,2394,2347,2148,1916,2049,1957,2172,2024,2024
29,Shares Change (YoY),-2.08%,2.59%,-3.06%,0.44%,3.18%,5.40%,18.87%,16.81%,19.89%,-1.11%,-5.33%,1.24%,-,-,-,-
30,EPS (Basic),0.17,0.29,0.26,0.12,0.15,0.10,0.19,0.10,0.06,0.08,0.17,0.07,0.10,0.08,0.02,-0.04
31,EPS (Diluted),0.17,0.29,0.26,0.12,0.15,0.10,0.19,0.10,0.06,0.08,0.17,0.07,0.10,0.08,0.02,-0.04
32,EPS Growth,14.47%,192.34%,33.01%,20.00%,131.13%,20.71%,10.85%,42.86%,-37.62%,7.27%,613.89%,-,-,-,-,-
33,Free Cash Flow,366.44,277.96,-333.83,-278.74,-291.96,198.06,588.27,-598.79,576.62,-448.34,-204.68,-1348,613.27,-179.26,-215.01,-373.57
34,Free Cash Flow Per Share,0.15,0.12,-0.15,-0.12,-0.12,0.09,0.26,-0.25,0.25,-0.21,-0.11,-0.66,0.31,-0.08,-0.11,-0.18
35,Dividend Per Share,0.170,-,-,-,0.110,-,-,-,0.040,-,-,-,-,-,-,-
36,Dividend Growth,54.41%,-,-,-,175.25%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,56.68%,69.74%,63.17%,62.87%,56.53%,56.93%,61.52%,63.74%,44.99%,47.60%,52.87%,64.96%,57.68%,40.45%,85.72%,28.33%
38,Operating Margin,13.71%,41.81%,32.89%,21.65%,12.20%,19.93%,29.26%,26.78%,5.73%,17.26%,29.94%,22.27%,24.27%,32.58%,6.15%,-101.86%
39,Profit Margin,13.39%,28.32%,26.02%,18.12%,17.47%,16.84%,30.20%,20.61%,11.61%,13.66%,21.28%,14.83%,21.33%,21.07%,11.79%,-59.23%
40,Free Cash Flow Margin,12.11%,11.71%,-15.38%,-17.51%,-14.11%,14.88%,40.56%,-51.56%,44.17%,-34.75%,-13.10%,-139.36%,64.52%,-22.73%,-51.47%,-243.18%
41,EBITDA,730.23,1169,962.23,521.54,435.12,433.94,599.2,479.73,243.5,322.63,633.82,373.71,330.7,339.68,118.49,-60.73
42,EBITDA Margin,24.14%,49.26%,44.33%,32.76%,21.03%,32.60%,41.31%,41.31%,18.65%,25.01%,40.57%,38.63%,34.79%,43.07%,28.36%,-39.53%
43,D&A For EBITDA,315.56,176.87,248.33,176.87,182.66,168.73,174.79,168.73,168.73,99.98,166.11,158.28,99.98,82.73,92.78,95.75
44,EBIT,414.68,992.49,713.9,344.67,252.45,265.21,424.41,311,74.77,222.65,467.71,215.43,230.72,256.95,25.71,-156.48
45,EBIT Margin,13.71%,41.81%,32.89%,21.65%,12.20%,19.93%,29.26%,26.78%,5.73%,17.26%,29.94%,22.27%,24.27%,32.58%,6.15%,-101.86%
46,Effective Tax Rate,2.51%,3.83%,1.21%,1.60%,-,1.39%,-,0.85%,5.44%,-,0.27%,-,0.13%,-,1.06%,-
47,Revenue as Reported,3026,2374,2171,1592,2069,1331,1450,1161,1305,1290,1562,967.44,950.44,788.61,417.75,153.62
