,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
16,Gain (Loss) on Sale of Investments,-0.45,0.2,-1.11,1.36,3.59,-4,1.01,1.04,1.06,0.66,-0.17,-0.46,0.9,-0.19,1.58,0.13,-,0.36,0.79,-0.58
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-0.04,0.04,-0.04,-,-,-,-,-
18,Asset Writedown,0.58,-0.58,0.45,-0.45,5.28,-0.18,-0.42,0.42,2.59,-2.59,0.43,-0.43,-,-,-0.17,0.17,-,-,-,-
19,Other Unusual Items,-0,-1,1,0,4.63,-0.42,0.42,0,7.15,0.29,-0.29,-,3.32,1.37,-1.37,-,0.97,-0.15,0.15,-
20,Pretax Income,4.78,6.6,3.75,0.93,13.85,10.99,4.24,7.21,33.74,14.93,4.52,5.41,53.66,12.29,4.96,4.56,32.53,9.68,3.33,3.53
21,Income Tax Expense,4.27,-0.18,-1.07,-1.41,-1.94,-0.6,-3.19,0.75,0.01,1.3,-5.03,0.5,7.54,1.28,-0.2,0.21,2.95,0.94,0.28,0.08
22,Earnings From Continuing Operations,0.5,6.78,4.83,2.34,15.79,11.58,7.43,6.46,33.73,13.64,9.55,4.91,46.12,11,5.16,4.34,29.58,8.75,3.06,3.45
23,Minority Interest in Earnings,3.6,-2.59,-0.38,-0.62,-7.19,-4.52,-0.18,-2.27,-2.72,-3.19,-3.4,-2.1,-5.71,-,-,-,-,-,-,-
24,Net Income,4.1,4.19,4.44,1.72,8.6,7.07,7.25,4.19,31.01,10.45,6.15,2.81,40.41,11,5.16,4.34,29.58,8.75,3.06,3.45
25,Net Income to Common,4.1,4.19,4.44,1.72,8.6,7.07,7.25,4.19,31.01,10.45,6.15,2.81,40.41,11,5.16,4.34,29.58,8.75,3.06,3.45
26,Net Income Growth,-52.33%,-40.71%,-38.78%,-58.98%,-72.26%,-32.36%,18.02%,49.14%,-23.27%,-5.04%,19.15%,-35.31%,36.63%,25.78%,68.83%,26.03%,-,-,-,-
27,Shares Outstanding (Basic),67,68,81,73,75,79,70,73,75,73,72,73,66,74,73,53,54,52,57,54
28,Shares Outstanding (Diluted),67,68,81,73,75,79,70,73,75,73,73,73,66,74,73,53,54,52,57,54
29,Shares Change (YoY),-10.25%,-14.28%,15.45%,0.54%,0.47%,8.54%,-3.09%,0.20%,12.88%,-1.01%,-1.23%,36.41%,22.48%,41.07%,30.03%,-2.08%,-,-,-,-
30,EPS (Basic),0.06,0.06,0.05,0.02,0.11,0.09,0.10,0.06,0.42,0.14,0.08,0.04,0.62,0.15,0.07,0.08,0.55,0.17,0.05,0.06
31,EPS (Diluted),0.06,0.06,0.05,0.02,0.11,0.09,0.10,0.06,0.42,0.14,0.08,0.04,0.61,0.15,0.07,0.08,0.55,0.17,0.05,0.06
32,EPS Growth,-46.88%,-30.83%,-46.97%,-59.20%,-72.39%,-37.68%,21.79%,48.84%,-32.03%,-4.07%,20.64%,-52.57%,11.55%,-10.84%,29.84%,28.71%,-,-,-,-
33,Free Cash Flow,-,8.55,-28.95,-67.72,107.19,-27.26,-23.36,-59.06,42.09,9.96,-4.86,-50.43,49.36,3.87,-11.54,-35.24,44.39,-20.47,27.03,-22.59
34,Free Cash Flow Per Share,-,0.13,-0.36,-0.93,1.43,-0.34,-0.33,-0.81,0.56,0.14,-0.07,-0.69,0.75,0.05,-0.16,-0.66,0.82,-0.39,0.48,-0.42
35,Dividend Per Share,-,-,0.080,-,0.120,-,-,-,0.257,-,-,-,0.255,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-53.33%,-,-,-,0.78%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,247.20%,38.93%,38.93%,31.85%,24.95%,41.26%,31.85%,31.08%,39.20%,39.91%,39.17%,39.63%,47.43%,40.91%,37.11%,31.57%,45.46%,35.77%,28.68%,35.17%
38,Operating Margin,10.54%,11.17%,0.70%,-0.11%,2.09%,11.46%,-2.91%,3.49%,15.64%,16.98%,4.27%,5.09%,27.70%,10.87%,11.26%,10.48%,30.89%,15.51%,7.77%,8.50%
39,Profit Margin,5.07%,6.55%,6.86%,2.90%,5.09%,7.76%,12.48%,5.50%,21.71%,12.57%,10.99%,5.17%,23.35%,16.02%,12.03%,9.68%,28.86%,13.77%,10.35%,10.25%
40,Free Cash Flow Margin,-,13.37%,-44.68%,-114.19%,63.47%,-29.94%,-40.18%,-77.52%,29.47%,11.99%,-8.68%,-92.80%,28.51%,5.64%,-26.92%,-78.54%,43.31%,-32.22%,91.51%,-67.18%
41,EBITDA,10.25,8.87,2.55,1.66,5.26,11.86,0.08,4.08,23.76,14.74,3.66,3.39,48.58,7.87,5.28,5.11,32.06,10.14,2.65,3.15
42,EBITDA Margin,12.67%,13.86%,3.94%,2.80%,3.11%,13.02%,0.13%,5.36%,16.64%,17.73%,6.54%,6.24%,28.06%,11.46%,12.31%,11.38%,31.28%,15.96%,8.96%,9.36%
43,D&A For EBITDA,1.72,1.72,2.1,1.72,1.72,1.43,1.77,1.43,1.43,0.63,1.27,0.63,0.63,0.4,0.45,0.4,0.4,0.29,0.35,0.29
44,EBIT,8.52,7.14,0.45,-0.06,3.53,10.43,-1.69,2.66,22.33,14.11,2.39,2.77,47.96,7.47,4.83,4.7,31.66,9.86,2.29,2.86
45,EBIT Margin,10.54%,11.17%,0.70%,-0.11%,2.09%,11.46%,-2.91%,3.49%,15.64%,16.98%,4.27%,5.09%,27.70%,10.87%,11.26%,10.48%,30.89%,15.51%,7.77%,8.50%
46,Effective Tax Rate,89.46%,-,-,-,-,-,-,10.39%,0.04%,8.70%,-,9.23%,14.05%,10.46%,-,4.68%,9.08%,9.67%,8.36%,2.29%
47,Revenue as Reported,-,63.98,64.79,59.3,168.88,91.03,58.14,76.18,142.81,83.11,55.94,54.34,173.12,68.68,42.87,44.87,102.49,63.54,29.53,33.63
