,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
15,Debt / Equity Ratio,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.04,0.05,0.07,0.13,0.20,0.22,0.86,-,0.18,0.18,0.18,0.27,0.27
16,Debt / EBITDA Ratio,0.33,0.20,0.56,-,0.10,0.36,0.33,-,0.31,0.83,1.17,-,1.16,2.47,-,-,0.16,-,1.48,1.48
17,Debt / FCF Ratio,-,-,-,-,0.71,-,-,-,-0.98,-,-,-,-1.53,-,-,-,0.59,-0.61,-,-
18,Asset Turnover,0.40,0.31,0.29,0.69,0.44,0.44,0.31,0.64,0.47,0.39,0.27,0.72,-,-,-,-,1.55,1.00,-,
19,Inventory Turnover,4.97,4.18,3.05,5.22,6.97,7.12,7.32,10.26,18.92,23.81,20.30,33.12,76.97,-,-,-,-,55.23,31.54,-
20,Quick Ratio,2.88,2.88,3.09,3.01,2.90,3.12,3.07,3.16,2.92,4.21,3.67,3.41,2.94,1.13,-,-,1.25,1.25,1.05,1.05
21,Current Ratio,3.18,3.18,3.39,3.31,3.18,3.34,3.31,3.33,3.03,4.33,3.78,3.50,2.99,1.20,-,-,1.31,1.31,1.13,1.13
22,Return on Equity (ROE),11.85%,3.26%,-7.40%,22.84%,7.10%,7.85%,-6.86%,23.01%,7.87%,9.39%,-8.34%,29.60%,-,-,-25.30%,-,76.74%,10.43%,-,
23,Return on Assets (ROA),6.14%,1.16%,-4.12%,10.55%,3.27%,3.06%,-3.77%,5.41%,3.37%,3.78%,-4.42%,7.82%,-,-,-,-,19.06%,2.26%,-,
24,Return on Capital (ROIC),7.94%,1.51%,-5.48%,14.04%,4.30%,4.01%,-5.00%,6.91%,4.04%,4.46%,-5.25%,10.10%,-,-,-15.33%,-,45.99%,4.88%,-,
25,Return on Capital Employed (ROCE),6.05%,6.85%,5.51%,-,6.61%,3.93%,3.85%,-,3.80%,4.40%,4.47%,-,6.64%,28.87%,-,-,38.59%,16.84%,3.88%,1.94%
26,Earnings Yield,0.86%,1.12%,1.27%,1.21%,2.26%,2.99%,2.95%,3.12%,3.24%,3.42%,2.31%,2.91%,3.04%,-,-,-,-,-,-,-
27,FCF Yield,-0.82%,-1.06%,-0.96%,-0.02%,1.17%,-1.20%,-0.85%,-0.80%,-2.33%,-2.74%,-2.17%,-2.52%,-5.51%,-,-,-,-,-,-,-
28,Dividend Yield,0.05%,-,-,-,0.13%,-,-,-,0.25%,-,-,-,0.93%,-,-,-,-,-,-,-
29,Payout Ratio,7.18%,0.48%,44.88%,-,1.27%,1.09%,31.34%,-,0.85%,104.65%,61.59%,-,-,30.52%,7.34%,-,13.32%,11.84%,8.44%,8.44%
30,Buyback Yield / Dilution,-0.21%,36.13%,-20.48%,-1.82%,-8.69%,-293.87%,39.06%,0.77%,45.48%,71.92%,-154.13%,-33.32%,-131.83%,-5.42%,3.19%,-1.45%,-,-,-,-
31,Total Shareholder Return,-0.16%,36.13%,-20.48%,-1.82%,-8.56%,-293.87%,39.06%,0.77%,45.74%,71.92%,-154.13%,-33.32%,-130.90%,-5.42%,3.19%,-1.45%,-,-,-,-
