,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
14,Other Non Operating Income (Expenses),-0.57,0.19,-0.24,0.31,0,-0.32,-0.28,-0.87,0.57,0.07,-0.31,0.87,-1.26,-0.09,-0.09
15,EBT Excluding Unusual Items,2.82,1.18,6.65,-10.12,-4.86,-8.49,12.09,-3.57,4.24,19.46,29.87,21.27,18.91,25.58,25.58
16,Gain (Loss) on Sale of Investments,0.01,0.44,-0.25,0.1,0.45,0.25,-0.28,-0.21,0.22,-0.1,-0.11,-0.93,0.18,-0.46,-0.46
17,Gain (Loss) on Sale of Assets,-0.08,-0.03,-0.05,-0.05,0.03,-0.02,0.02,-0.18,-0.16,0.08,-0.06,-0.02,0,0.01,0.01
18,Asset Writedown,-2.14,0.28,-0.28,0.96,-0.96,-0.01,-,-0.48,0.48,1.03,-1.12,-0.44,0.43,-0,-0
19,Other Unusual Items,2.46,5.04,-,-3.55,-0.5,0.5,-,15.91,-,-,-,7.51,-,-,-
20,Pretax Income,3.07,6.91,6.07,-12.65,-5.84,-7.77,11.83,11.47,4.78,20.47,28.57,27.4,19.52,25.13,25.13
21,Income Tax Expense,-0.15,0.44,0.88,-4.14,1.65,0.73,0.16,0.43,0.3,2.91,2.82,3.71,1.18,3.02,3.02
22,Earnings From Continuing Operations,3.22,6.47,5.18,-8.51,-7.49,-8.5,11.66,11.05,4.48,17.56,25.75,23.69,18.35,22.11,22.11
23,Minority Interest in Earnings,-,0.19,0.29,0.32,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,3.22,6.65,5.47,-8.19,-7.49,-8.5,11.66,11.05,4.48,17.56,25.75,23.69,18.35,22.11,22.11
25,Net Income to Common,3.22,6.65,5.47,-8.19,-7.49,-8.5,11.66,11.05,4.48,17.56,25.75,23.69,18.35,22.11,22.11
26,Net Income Growth,-,-,-53.13%,-,-,-,-54.71%,-53.37%,-75.60%,-20.59%,16.48%,-,-,-,-
27,Shares Outstanding (Basic),73,73,78,75,66,85,73,75,74,57,56,56,56,56,56
28,Shares Outstanding (Diluted),73,73,78,75,66,85,73,75,74,57,56,56,56,56,56
29,Shares Change (YoY),10.06%,-13.81%,7.14%,-0.74%,-10.59%,50.66%,30.20%,33.38%,32.45%,0.96%,0.02%,-,-,-,-
30,EPS (Basic),0.04,0.09,0.07,-0.11,-0.11,-0.10,0.16,0.15,0.06,0.31,0.46,0.42,0.33,0.40,0.40
31,EPS (Diluted),0.04,0.09,0.07,-0.11,-0.11,-0.10,0.16,0.15,0.06,0.31,0.46,0.42,0.33,0.40,0.40
32,EPS Growth,-,-,-56.25%,-,-,-,-65.22%,-65.04%,-81.58%,-21.34%,16.46%,-,-,-,-
33,Free Cash Flow,-28.07,-32.15,-38.1,52.82,-31.89,-150.09,-111.71,-52.41,-98.4,-16.54,-27.33,-49.93,-65,-78.89,-78.89
34,Free Cash Flow Per Share,-0.39,-0.44,-0.49,0.71,-0.48,-1.76,-1.53,-0.70,-1.34,-0.29,-0.49,-0.88,-1.17,-1.41,-1.41
35,Dividend Per Share,-,-,-,-,0.400,-,-,-,-,0.536,-,-,-,-,-
36,Gross Margin,15.09%,8.86%,12.64%,-0.19%,4.54%,8.10%,13.17%,14.02%,11.87%,15.14%,21.23%,19.12%,18.77%,18.07%,18.07%
37,Operating Margin,2.22%,-0.75%,4.93%,-8.88%,-4.87%,-7.98%,6.92%,-2.92%,1.92%,14.37%,14.40%,8.93%,11.02%,11.44%,11.44%
38,Profit Margin,2.18%,4.54%,3.71%,-6.79%,-7.49%,-8.25%,6.98%,6.38%,2.52%,13.02%,11.88%,10.01%,9.67%,9.61%,9.61%
39,Free Cash Flow Margin,-19.01%,-21.95%,-25.86%,43.78%,-31.88%,-145.69%,-66.89%,-30.26%,-55.41%,-12.27%,-12.61%,-21.09%,-34.27%,-34.28%,-34.28%
40,EBITDA,7.29,3.13,11.27,-6.71,-1.16,-4.13,15.28,-1.34,6.26,23.03,34.05,24,23.59,29.02,29.02
41,EBITDA Margin,4.94%,2.14%,7.65%,-5.56%,-1.16%,-4.01%,9.15%,-0.78%,3.52%,17.09%,15.71%,10.14%,12.44%,12.61%,12.61%
42,D&A For EBITDA,4,4.22,4,4,3.72,4.09,3.72,3.72,2.84,3.66,2.84,2.84,2.69,2.69,2.69
43,EBIT,3.28,-1.09,7.27,-10.72,-4.87,-8.23,11.56,-5.06,3.41,19.37,31.21,21.15,20.9,26.33,26.33
44,EBIT Margin,2.22%,-0.75%,4.93%,-8.88%,-4.87%,-7.98%,6.92%,-2.92%,1.92%,14.37%,14.40%,8.93%,11.02%,11.44%,11.44%
45,Effective Tax Rate,-,6.40%,14.57%,-,-,-,1.38%,3.74%,6.32%,14.24%,9.86%,13.53%,6.02%,12.01%,12.01%
46,Revenue as Reported,147.65,146.48,147.33,120.63,100.02,103.02,167.01,173.2,177.58,134.82,216.78,236.75,189.67,230.13,230.13
