,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
28,EPS (Basic),0.13,0.10,0.17,0.17,0.17,0.14,0.17,0.19,0.24,0.15,0.26,0.20
29,EPS (Diluted),0.13,0.10,0.17,0.17,0.17,0.14,0.17,0.19,0.24,0.15,0.26,0.20
30,EPS Growth,-23.45%,-28.47%,-0.67%,-10.53%,-29.14%,-5.03%,-34.59%,-5.00%,-,-,-,-
31,Free Cash Flow,-,-205.54,7.77,61.34,102.81,-16.1,-90.67,-92.08,18.29,107.01,-39.77,-13.3
32,Free Cash Flow Per Share,-,-0.37,0.02,0.12,0.20,-0.03,-0.18,-0.21,0.04,0.24,-0.09,-0.03
33,Dividend Per Share,-,-,-,-,0.190,-,-,-,0.218,-,-,-
34,Dividend Growth,-,-,-,-,-12.84%,-,-,-,-,-,-,-
35,Gross Margin,275.88%,26.16%,31.16%,34.39%,36.38%,33.08%,38.96%,36.86%,34.45%,34.33%,40.46%,40.44%
36,Operating Margin,20.55%,21.99%,7.40%,21.00%,-9.41%,17.08%,23.61%,21.61%,13.26%,13.02%,23.00%,23.95%
37,Profit Margin,12.78%,11.99%,18.30%,20.75%,20.57%,19.30%,21.77%,21.25%,21.51%,13.72%,21.64%,21.54%
38,Free Cash Flow Margin,-,-43.84%,1.63%,14.09%,24.64%,-4.04%,-22.74%,-22.93%,3.63%,21.53%,-7.54%,-3.11%
39,EBITDA,149.88,140.72,92.76,128.99,-1.67,104.78,132.64,123.42,103.52,103.23,156.71,140.92
40,EBITDA Margin,27.43%,30.01%,19.40%,29.63%,-0.40%,26.27%,33.27%,30.74%,20.53%,20.77%,29.70%,32.96%
41,D&A For EBITDA,37.61,37.61,57.35,37.61,37.61,36.66,38.51,36.66,36.66,38.53,35.33,38.53
42,EBIT,112.28,103.11,35.41,91.39,-39.27,68.12,94.13,86.76,66.86,64.7,121.38,102.39
43,EBIT Margin,20.55%,21.99%,7.40%,21.00%,-9.41%,17.08%,23.61%,21.61%,13.26%,13.02%,23.00%,23.95%
44,Effective Tax Rate,5.23%,11.45%,15.95%,10.45%,-,3.59%,12.18%,7.15%,6.07%,-,10.14%,10.21%
45,Revenue as Reported,-,468.84,478.18,435.27,417.31,398.82,398.66,401.48,504.29,496.95,955.22,-
