,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
9,"Property, Plant & Equipment",1314,1315,1326,-,-,1343,1322,1293,1186,1124,1103,1036,1000,990.29,988.47,992.94,985.68,984.46,1033,1039,Upgrade
10,Long-Term Investments,5.19,5.56,5.56,-,-,0.66,0.66,40.66,0.71,0.71,0.71,0.71,1,1,1,1,1,1,1,1,Upgrade
11,Other Intangible Assets,83.13,83.76,84.46,-,-,99.54,100.02,102.41,85,41.79,42.59,24.02,22.8,23.19,23.62,24.06,21.18,42.97,45.14,45.67,Upgrade
12,Long-Term Deferred Tax Assets,175.79,174.42,173.89,-,-,152.71,116.5,90.23,43.59,39.42,34.92,32.55,27.82,24.46,25.41,23.94,21.9,21.17,23.82,21.5,Upgrade
13,Long-Term Deferred Charges,19.39,19.67,18.92,-,-,18.56,20.14,20.99,15.89,13.1,14.16,15.18,13.62,13.67,13.28,14.22,13.98,13.97,12.18,13.01,Upgrade
14,Other Long-Term Assets,8.07,11.89,13.8,-,-,37.18,41.45,50.74,112.82,89.72,41.58,82.62,84.41,35.01,17.34,12.32,21.98,21.95,84.74,87.09,Upgrade
15,Total Assets,3107,3065,3114,-,-,3410,3515,3729,3792,3423,3009,3032,2880,2744,2714,2741,2582,2537,2549,2594,Upgrade
16,Accounts Payable,559.5,467.56,554.33,-,-,547.51,561.9,660.16,753.58,651.2,603.16,579.31,457.65,442.53,390.52,362.69,364.52,375.41,399.33,409.91,Upgrade
17,Accrued Expenses,30.17,73.01,19.13,-,-,67.05,20.36,77.82,41.71,70.59,22.42,76.92,18.84,45.94,12.97,54.18,14.3,29.41,10.82,36.07,Upgrade
18,Short-Term Debt,630.84,680.86,651.37,-,-,549.24,627.56,539.96,590.8,662.7,463.96,452.06,491.59,485.79,488.01,514.56,489.19,436,444.12,451.22,Upgrade
19,Current Portion of Long-Term Debt,55.23,25.23,31.87,-,-,40.1,42.12,15.09,55.35,19.89,59.96,24.13,59.13,25.35,29.7,49.6,-,-,-,-,Upgrade
20,Current Portion of Leases,-,4.07,-,-,-,6.07,-,31.95,-,41.3,-,41.8,-,-,-,-,-,-,-,-,Upgrade
21,Current Income Taxes Payable,11.24,-,9.78,-,-,0.83,6.78,-,11,2.52,7.54,0.12,7.46,-0.03,5.66,0,9.27,0.02,3.59,0.01,Upgrade
22,Current Unearned Revenue,15.39,14.17,6.99,-,-,5.96,13.58,5.99,7.76,11.61,6.23,5.49,4.92,4.15,3.61,4.15,9.75,8.19,8.08,3.15,Upgrade
23,Other Current Liabilities,239.93,202.74,248,-,-,209.26,245,234.27,220.21,148.34,153.44,196.05,191.48,150.77,185.6,170.04,75.34,70.3,79.61,79.54,Upgrade
24,Total Current Liabilities,1542,1468,1521,-,-,1426,1517,1565,1680,1608,1317,1376,1231,1154,1116,1155,962.37,919.33,945.55,979.91,Upgrade
25,Long-Term Debt,149.98,174.98,174.98,-,-,344.02,349.09,331.91,312.62,101.06,7.76,7.76,19.8,210.49,266.25,263.68,310.35,318.58,326.92,323.28,Upgrade
26,Long-Term Leases,4.1,5.42,9.44,-,-,18.05,8.84,8.09,10.02,19.75,29.9,33.84,-,-,-,-,-,-,-,-,Upgrade
27,Long-Term Unearned Revenue,33.26,34.79,33.08,-,-,32.8,25,26.02,25.76,29.94,31.09,31.8,30.74,31.69,27.49,30.36,31.66,32.08,33.69,34.9,Upgrade
28,Long-Term Deferred Tax Liabilities,22.11,22.76,23.42,-,-,25.57,26.23,26.79,-,-,-,-,0.47,0.47,0.47,0.47,0.54,0.54,0.54,0.54,Upgrade
29,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,36.28,0.89,-,-,-,-,-,-,Upgrade
30,Total Liabilities,1752,1706,1762,-,-,1846,1926,1958,2029,1759,1385,1449,1318,1398,1410,1450,1305,1271,1307,1339,Upgrade
31,Common Stock,399.48,399.48,399.48,-,-,398.89,398.74,398.32,397.74,393.36,393.36,393.36,393.36,376.47,374.42,374.26,374.26,374.25,374.24,374.24,Upgrade
32,Additional Paid-In Capital,674.95,674.95,674.95,-,-,676.02,673.78,667.64,667.62,597.65,591.81,586.19,577.54,342.77,315.62,313.48,313.44,313.31,313.2,313.16,Upgrade
33,Retained Earnings,279.81,283.77,276.83,-,-,487.76,515.32,703.75,693.81,669.42,633.99,598.68,585.37,566.44,546.95,536.39,521.6,511.05,486.71,500.25,Upgrade
34,Comprehensive Income & Other,-0.02,-0.01,-0.02,-,-,-0.01,-0.01,-0.01,0.73,0.61,0.54,0.53,0.78,56.04,62.54,63.06,63.14,63.12,63.21,63.21,Upgrade
35,Total Common Equity,1354,1358,1351,-,-,1563,1588,1770,1760,1661,1620,1579,1557,1342,1300,1287,1272,1262,1237,1251,Upgrade
36,Minority Interest,0.78,0.73,0.59,-,-,0.57,0.81,0.99,3,3.05,3.37,3.77,4.11,4,3.9,3.88,4.8,5.02,4.91,4.44,Upgrade
37,Shareholders' Equity,1355,1359,1352,-,-,1563,1589,1771,1763,1664,1623,1583,1561,1346,1303,1291,1277,1267,1242,1255,Upgrade
38,Total Liabilities & Equity,3107,3065,3114,-,-,3410,3515,3729,3792,3423,3009,3032,2880,2744,2714,2741,2582,2537,2549,2594,Upgrade
39,Total Debt,840.14,890.56,867.67,-,-,957.49,1028,927,968.79,844.69,561.58,559.58,570.51,721.63,783.96,827.84,799.53,754.58,771.04,774.5,Upgrade
40,Net Cash (Debt),-639.01,-652.72,-640.98,-,-,-530.39,-714.54,-596.62,-545.06,-565.33,-424.49,-323.21,-391.97,-587.42,-613.33,-569.89,-612.58,-566.94,-644.26,-631.32,Upgrade
41,Net Cash Per Share,-1.61,-1.64,-1.60,-,-,-1.33,-1.79,-1.41,-1.37,-1.43,-1.07,-0.75,-1.05,-1.47,-1.74,-1.18,-1.65,-1.38,-1.90,-2.76,Upgrade
42,Filing Date Shares Outstanding,399.48,399.48,399.48,-,398.51,398.89,398.74,398.32,397.74,393.36,393.36,393.36,393.36,376.47,374.42,374.26,374.26,374.25,374.24,374.24,Upgrade
43,Total Common Shares Outstanding,399.48,399.48,399.48,-,398.51,398.89,398.74,398.32,397.74,393.36,393.36,393.36,393.36,376.47,374.42,374.26,374.26,374.25,374.24,374.24,Upgrade
44,Working Capital,-41.33,-13.6,-30.2,-,-,332.05,396.97,565.2,667.52,505.75,454.91,464.85,498.6,501.64,528.53,517.09,554.07,532.43,403.8,406.5,Upgrade
45,Book Value Per Share,3.39,3.40,3.38,-,-,3.92,3.98,4.44,4.42,4.22,4.12,4.01,3.96,3.56,3.47,3.44,3.40,3.37,3.31,3.34,Upgrade
46,Tangible Book Value,1271,1274,1267,-,-,1463,1488,1667,1675,1619,1577,1555,1534,1319,1276,1263,1251,1219,1192,1205,Upgrade
47,Tangible Book Value Per Share,3.18,3.19,3.17,-,-,3.67,3.73,4.19,4.21,4.12,4.01,3.95,3.90,3.50,3.41,3.38,3.34,3.26,3.19,3.22,Upgrade
48,Buildings,-,601.94,-,-,-,543.35,-,541.97,-,474.72,-,468.48,-,464.62,-,463.29,-,373.92,-,341.21,Upgrade
49,Machinery,-,1038,-,-,-,937.96,-,914.56,-,683.71,-,592.47,-,587.68,-,534.28,-,405.8,-,413.7,Upgrade
50,Construction In Progress,-,66.55,-,-,-,121.58,-,49.33,-,137.36,-,112.55,-,58.43,-,77.86,-,277.43,-,282.58,Upgrade
