,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
33,Common Stock,937.09,934.56,669.82,669.82,669.82,669.82,670.63,670.63,609.67,609.67,605.67,605.67,569.65,569.65,569.65,569.65,2417,512.68,-,512.68
34,Additional Paid-In Capital,14384,14317,14770,14623,13859,13737,13334,13311,8130,8126,7848,7841,2795,2788,2780,2773,-,1541,-,1527
35,Retained Earnings,4940,4741,5027,4647,4043,3424,3170,2830,2370,1946,1642,1387,1213,935.82,705.06,493.51,-,227.46,-,73.35
36,Treasury Stock,-374.09,-295.35,-360.21,-339.85,-310.92,-158.84,-255.49,-255.49,-255.49,-255.49,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,179.44,242.79,192.2,226.99,333.73,379.58,-5.56,-32.64,185.18,33.37,-4.71,-1.01,0.68,0.7,-1.15,0.15,-,1.61,-,0.77
38,Total Common Equity,20067,19940,20299,19827,18595,18052,16913,16523,11039,10459,10091,9832,4578,4294,4054,3837,2417,2283,2114,2114
39,Minority Interest,8379,8357,8640,8096,6940,5855,3870,3821,2773,2146,817.25,790.07,1.78,-,-,-,-,-,-,-
40,Shareholders' Equity,28445,28297,28939,27924,25535,23907,20783,20344,13812,12605,10908,10623,4580,4294,4054,3837,2417,2283,2114,2114
41,Total Liabilities & Equity,71061,68165,64177,62186,60015,55913,53668,53880,42799,37953,34880,28200,20687,15859,13084,9864,7292,6467,-,6164
42,Total Debt,27501,27936,24059,23392,22713,23898,21255,22536,19113,14566,13004,6438,5895,3445,2832,1788,1349,1676,1253,1253
43,Net Cash (Debt),-13116,-15195,-11683,-11830,-10206,-10729,-10533,-7283,-11007,-4544,-2066,2262,-1498,265.8,460.95,924.57,-1349,-632.06,-239.9,-239.9
44,Net Cash Growth,-,-,-,-,-,-,-,-,-,-,-,144.61%,-,-,-,-,-,-,-,-
45,Net Cash Per Share,-13.99,-16.04,-12.33,-12.51,-10.89,-11.44,-11.25,-8.38,-12.76,-5.36,-2.43,2.80,-1.85,0.34,0.58,1.27,-1.92,-0.89,-0.33,-0.33
46,Filing Date Shares Outstanding,937.79,947.11,932.31,933,937.75,937.75,938.89,938.89,853.53,853.53,847.94,847.94,797.51,797.51,797.51,797.51,701.8,717.75,731.12,717.75
47,Total Common Shares Outstanding,937.79,947.11,932.31,933,937.75,937.75,938.89,938.89,853.53,853.53,847.94,847.94,797.51,797.51,797.51,797.51,701.8,717.75,731.12,717.75
48,Working Capital,13538,14275,14870,13484,15784,15927,13878,15000,7701,5924,6959,5312,722.56,1226,1666,1868,957.02,949.73,-,559.49
49,Book Value Per Share,21.40,21.05,21.77,21.25,19.83,19.25,18.01,17.60,12.93,12.25,11.90,11.60,5.74,5.38,5.08,4.81,-,3.18,2.95,2.95
50,Tangible Book Value,17043,16881,17295,16817,15534,15429,14447,14122,9091,9525,9238,9046,3787,3707,3616,3429,2417,1924,1838,1838
51,Tangible Book Value Per Share,18.17,17.82,18.55,18.02,16.57,16.45,15.39,15.04,10.65,11.16,10.89,10.67,4.75,4.65,4.53,4.30,-,2.68,2.56,2.56
52,Buildings,-,6536,-,5622,-,4604,-,3628,-,2571,-,1904,-,1360,-,-,-,826.55,-,805.93
53,Machinery,-,13177,-,10266,-,7817,-,5521,-,4345,-,2974,-,1826,-,-,-,578.64,-,1044
54,Construction In Progress,-,10449,-,10078,-,6744,-,6657,-,3489,-,2304,-,695.3,-,-,-,356.49,-,193.75
