,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
39,Shareholders' Equity,2105,2049,2109,2075,2037,1870,1841,1841,1813,-,1770,1770
40,Total Liabilities & Equity,3951,3535,3438,3540,3293,2566,-,2621,2500,-,-,2384
41,Total Debt,742.7,627.25,568.12,559.59,553.37,8.52,8.68,8.68,4.36,-,20,20
42,Net Cash (Debt),708.69,670.17,730.82,925.95,846.36,728,882.71,882.71,844.61,-,947.46,947.46
43,Net Cash Growth,-16.27%,-7.94%,-17.21%,4.90%,0.21%,-,-6.83%,-6.83%,-,-,-,-
44,Net Cash Per Share,4.55,4.18,4.55,5.68,5.32,4.65,5.50,5.78,5.12,-,5.90,6.44
45,Filing Date Shares Outstanding,161.36,157.67,159.1,160,160,160,160.61,160,160,160.61,160.61,160
46,Total Common Shares Outstanding,161.36,157.67,159.1,160,160,160,160.61,160,160,160.61,160.61,160
47,Working Capital,2278,2230,2295,2090,2076,1339,-,1353,1366,-,-,1398
48,Book Value Per Share,13.04,12.99,13.26,12.97,12.73,11.69,11.47,11.47,11.30,-,11.06,11.06
49,Tangible Book Value,2001,1956,2055,2021,1983,1815,1796,1796,1769,-,1731,1731
50,Tangible Book Value Per Share,12.40,12.40,12.92,12.63,12.39,11.34,11.23,11.23,11.06,-,10.82,10.82
51,Buildings,-,372.8,-,260.02,-,240.06,-,240.06,-,-,-,240.06
52,Machinery,-,151.41,-,121.94,-,108.5,-,85.09,-,-,-,81.73
53,Construction In Progress,-,8.34,-,138.21,-,122.83,-,101.34,-,-,-,0.25
