,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
31,EPS (Diluted),0.15,0.19,0.19,0.20,0.13,0.14,0.17,0.20,0.11,0.11,0.12,0.24
32,EPS Growth,14.74%,36.08%,11.76%,-2.47%,18.12%,21.41%,47.83%,-16.16%,-,-,-,-
33,Free Cash Flow,61.94,-17,-350.66,95.27,-62.56,-58.86,-46.37,40.44,-67.52,-13.59,-13.59,24.41
34,Free Cash Flow Per Share,0.40,-0.11,-2.18,0.58,-0.39,-0.38,-0.29,0.26,-0.41,-0.08,-0.08,0.17
35,Dividend Per Share,-,-,-,0.250,-,-,-,0.100,-,-,-,0.100
36,Dividend Growth,-,-,-,150.00%,-,-,-,0%,-,-,-,-
37,Gross Margin,35.05%,27.46%,30.97%,22.35%,26.94%,21.24%,21.16%,24.19%,25.72%,22.76%,22.76%,26.37%
38,Operating Margin,9.49%,12.85%,14.75%,8.81%,11.07%,7.93%,14.44%,6.17%,10.71%,10.45%,10.45%,9.73%
39,Profit Margin,8.45%,9.26%,11.56%,7.88%,11.96%,8.07%,13.80%,7.20%,14.89%,10.27%,10.27%,9.51%
40,Free Cash Flow Margin,22.51%,-5.18%,-132.69%,23.15%,-36.19%,-21.71%,-23.43%,9.35%,-55.34%,-7.55%,-7.55%,6.48%
41,EBITDA,30.82,48.65,43.69,40.97,23.3,25.84,32.73,30.87,17.19,22.92,22.92,41
42,EBITDA Margin,11.20%,14.81%,16.53%,9.95%,13.48%,9.53%,16.54%,7.13%,14.09%,12.74%,12.74%,10.88%
43,D&A For EBITDA,4.71,6.44,4.71,4.71,4.16,4.35,4.16,4.16,4.13,4.13,4.13,4.33
44,EBIT,26.1,42.2,38.97,36.25,19.14,21.48,28.57,26.71,13.07,18.8,18.8,36.67
45,EBIT Margin,9.49%,12.85%,14.75%,8.81%,11.07%,7.93%,14.44%,6.17%,10.71%,10.45%,10.45%,9.73%
46,Effective Tax Rate,15.78%,9.45%,12.76%,12.95%,15.00%,8.77%,15.53%,15.83%,7.53%,15.95%,15.95%,17.04%
47,Revenue as Reported,275.12,328.46,264.28,411.63,172.88,271.07,197.88,432.63,122.02,179.91,179.91,376.89
