,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
13,EV/FCF Ratio,-,-,12.52,-,-,23.67,-,-,440.26,-32.51,-,-,-,-279.33,-110.72,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.05,0.08,-,0.08,0.04
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,0.01,0.05,0.02,0.00,0.00,0.01,0.00,0.01,-,0.58,0.45,-,0.25,0.56
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,0.34,-0.03,-,-,-,-0.06,-0.02,-,-,0.63,-,-,-
17,Asset Turnover,-,0.76,0.66,0.43,0.83,0.62,-,-,0.63,0.79,0.60,0.31,0.63,0.40,0.52,0.37,-,-,-,-,
18,Inventory Turnover,-,-,8.21,8.58,6.32,10.07,5.87,-,-,8.50,8.71,8.01,4.59,8.34,5.74,8.15,5.89,-,-,-,-
19,Quick Ratio,-,-,2.47,2.58,2.77,2.81,2.06,2.07,-,2.34,2.52,2.87,3.75,2.95,3.55,4.37,4.32,2.04,-,2.10,-
20,Current Ratio,-,-,2.83,2.96,3.18,3.04,2.57,2.41,-,2.59,2.91,3.25,4.18,3.26,4.22,4.80,4.76,2.27,-,2.48,-
21,Return on Equity (ROE),13.89%,18.64%,9.83%,8.53%,12.43%,14.08%,10.44%,1.43%,10.09%,10.94%,11.47%,2.94%,14.41%,5.50%,12.30%,9.07%,-,-,29.32%,-,
22,Return on Assets (ROA),-,12.48%,4.51%,3.29%,6.35%,6.43%,-,-,4.27%,5.50%,4.58%,1.29%,5.89%,2.81%,7.50%,4.09%,-,-,-,-,
23,Return on Capital (ROIC),12.94%,15.77%,5.61%,4.08%,8.15%,8.53%,5.08%,1.41%,5.57%,7.00%,5.62%,1.60%,7.39%,3.41%,8.96%,5.25%,-,-,19.10%,-,
24,Return on Capital Employed (ROCE),-,-,13.23%,10.12%,9.92%,8.81%,7.89%,7.42%,-,7.52%,8.31%,7.04%,8.16%,9.32%,9.12%,11.09%,11.46%,15.43%,-,8.09%,-
25,Earnings Yield,5.15%,5.63%,6.09%,5.35%,5.62%,3.64%,3.53%,3.04%,3.21%,4.06%,4.66%,3.45%,3.62%,3.50%,3.09%,3.45%,3.72%,-,-,-,-
26,FCF Yield,-,6.62%,2.39%,3.44%,3.72%,0.24%,0.23%,0.20%,-2.58%,-2.23%,0.75%,-1.21%,-0.30%,-0.75%,2.37%,3.18%,-,-,-,-,
27,Dividend Yield,2.18%,-,-,-,-,2.26%,-,-,-,2.10%,-,-,-,1.84%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,116.36%,-,-,-,-,160.61%,-,-,-,169.06%,-,-,-,155.80%,0.41%,-,9.72%,33.06%,-
29,Buyback Yield / Dilution,2.55%,7.96%,-16.72%,20.13%,-13.24%,-0.94%,11.02%,-1.87%,-3.94%,-8.11%,7.87%,-15.05%,-20.25%,-37.59%,-35.43%,-37.08%,4.99%,-,-,-,-
30,Total Shareholder Return,4.73%,7.96%,-16.72%,20.13%,-13.24%,1.32%,11.02%,-1.87%,-3.94%,-6.01%,7.87%,-15.05%,-20.25%,-35.75%,-35.43%,-37.08%,4.99%,-,-,-,-
