,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
13,EV/FCF Ratio,-11.20,-,-,-,-,-,-,-,-,-,-,-,-145.29,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.99,0.99,1.04,0.82,0.77,0.76,0.75,0.80,0.79,0.64,0.63,0.30,0.20,0.22,0.21,0.33,0.28,-,0.35,0.37
15,Debt / EBITDA Ratio,73.82,-,-,17.84,11.53,14.32,8.77,24.92,19.23,8.92,5.10,3.30,3.42,2.23,1.36,1.76,1.43,-,1.56,10.79
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-4.91,-,-,6.65,-,-,16.37,-
17,Asset Turnover,0.19,0.17,0.20,0.31,0.22,0.28,0.23,0.33,0.42,0.39,0.38,0.51,0.55,0.69,0.70,-,-,-,-,
18,Inventory Turnover,1.13,1.29,0.98,1.00,1.47,0.78,0.97,0.84,1.17,1.37,1.05,0.91,1.48,1.68,2.02,2.01,-,-,-,-
19,Quick Ratio,0.44,0.44,0.66,0.49,0.61,0.73,0.97,1.23,1.26,1.05,1.32,1.14,1.37,1.78,1.91,1.45,1.38,-,1.28,-
20,Current Ratio,0.97,0.97,1.22,1.09,1.27,1.61,1.99,2.40,2.11,1.93,2.13,2.20,2.58,2.96,2.98,2.36,2.35,-,2.18,-
21,Return on Equity (ROE),-3.72%,-3.78%,1.13%,-0.03%,1.89%,5.23%,1.49%,0.06%,5.80%,6.44%,6.06%,12.00%,6.65%,15.47%,11.06%,-,-,16.93%,-,
22,Return on Assets (ROA),-1.50%,-0.90%,0.52%,0.93%,0.83%,1.61%,0.22%,0.13%,1.51%,3.25%,2.80%,1.14%,3.29%,6.53%,6.46%,-,-,-,-,
23,Return on Capital (ROIC),-1.97%,-1.18%,0.70%,1.22%,1.02%,1.92%,0.25%,0.16%,1.80%,3.92%,3.37%,1.32%,3.64%,7.28%,7.37%,-,-,8.77%,-,
24,Return on Capital Employed (ROCE),-,-,-,1.96%,1.77%,1.39%,1.63%,2.02%,3.04%,4.16%,4.51%,6.23%,7.34%,10.00%,10.63%,14.47%,11.02%,-,4.42%,-
25,Earnings Yield,-0.72%,-0.67%,0.02%,1.16%,0.87%,0.89%,1.19%,1.05%,1.29%,2.41%,1.87%,1.66%,1.66%,1.78%,1.44%,-,-,-,-,-
26,FCF Yield,-13.43%,-12.59%,-12.31%,-11.98%,-12.88%,-16.10%,-21.11%,-18.02%,-13.88%,-11.33%,-3.97%,-2.89%,-0.70%,-1.64%,-1.01%,-,-,-,-,-
27,Dividend Yield,0.09%,-,-,-,0.07%,-,-,-,-,-,-,-,0.33%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,87.25%,-,54.39%,-,205.68%,971.20%,11.83%,139.78%,23.78%,7.43%,18.86%,6.52%,10.73%,8.62%,16.80%,12.40%,-
29,Buyback Yield / Dilution,-2.89%,9.82%,-39.34%,11.86%,-0.85%,2.54%,20.83%,-13.12%,-0.80%,3.03%,-17.72%,-39.72%,-40.18%,-26.63%,-9.98%,-15.58%,-,-,-,-
30,Total Shareholder Return,-2.80%,9.82%,-39.34%,11.86%,-0.78%,2.54%,20.83%,-13.12%,-0.80%,3.03%,-17.72%,-39.72%,-39.84%,-26.63%,-9.98%,-15.58%,-,-,-,-
